Facility,Chargecode,Description,Rev,CPT,1/1/22 Fee
BAYCARE,10001278,ANTI-MITOCHONDRIAL ANTIBODY,301,83516,170.00
BAYCARE,10001279,ENDOMYSIAL IGA AUTOANTIBODIES,302,86255,140.00
BAYCARE,10001284,PARIETAL CELL ANTIBODY,302,86255,180.00
BAYCARE,10001285,"RETICULIN ANTIBODY, IGA",302,86255,180.00
BAYCARE,10001286,STRIATED MUSCLE ANTIBODY,302,86255,180.00
BAYCARE,10001290,NEURONAL NUCLEAR AB IGG TITER,302,86256,190.00
BAYCARE,10001291,NEUTROPHIL CYTOPLASMIC AB,302,86256,190.00
BAYCARE,10001292,PARIETAL CELL AB TITER,302,86256,120.00
BAYCARE,10001294,SMOOTH MUSCLE AB TITER,302,86256,120.00
BAYCARE,10001295,STRIATED MUSCLE AB TITER,302,86256,120.00
BAYCARE,10001297,CANCER ANTIGEN 27.29,302,86300,195.00
BAYCARE,10001298,CANCER ANTIGEN 19-9,302,86301,200.00
BAYCARE,10001299,CANCER ANTIGEN 125,302,86304,215.00
BAYCARE,10001300,MONOTEST,302,86308,110.00
BAYCARE,10001302,CHROMOGRANIN A,302,86316,195.00
BAYCARE,10001303,NEURON SPECIFIC ENOLASE,301,83520,210.00
BAYCARE,10001304,INFECTIOUS AGENT ANTIBODY,302,86317,110.00
BAYCARE,10001306,GEL DIFFUSION QUALITATIVE,302,86331,105.00
BAYCARE,10001307,"AB, PNEUMOCOCCAL",302,86609,100.00
BAYCARE,10001308,"IMMUNOFIXATION ELECTRO, SERUM",302,86334,255.00
BAYCARE,10001309,"B2 TRANSFERRIN, CSF",302,86335,280.00
BAYCARE,10001310,"IMMUNOFIXATION ELECTRO, URINE",302,86335,205.00
BAYCARE,10001311,INHIBIN A,302,86336,195.00
BAYCARE,10001312,INSULIN ANTIBODIES,302,86337,195.00
BAYCARE,10001313,INTRINSIC FACTOR ANTIBODIES,302,86340,175.00
BAYCARE,10001316,ISLET CELL ANTIBODY,302,86341,240.00
BAYCARE,10001318,"B CELLS, TOTAL COUNT",302,86355,240.00
BAYCARE,10001319,"NK CELLS, TOTAL COUNT",302,86357,240.00
BAYCARE,10001320,"T CELLS, TOTAL COUNT",302,86359,240.00
BAYCARE,10001321,"T CELLS, CD4 & CD8 RATIO",302,86360,315.00
BAYCARE,10001322,CD4 COUNT,302,86361,175.00
BAYCARE,10001324,LIVER-KIDNEY MICROSOME AB,302,86376,150.00
BAYCARE,10001325,MICROSOMAL AB,302,86376,120.00
BAYCARE,10001326,CRYPTOCOCCAL AGGLUTINATION,302,86403,85.00
BAYCARE,10001327,STREP GROUP AGGLUTINATION,302,86403,85.00
BAYCARE,10001328,CRYPTOCOCCUS TITER EA ANTIBODY,302,86406,100.00
BAYCARE,10001329,STREPTOZYME R TITER,302,86406,100.00
BAYCARE,10001330,RHEUMATOID FACTOR QUANTITATIVE,302,86431,100.00
BAYCARE,10001331,"TB, INTERFERON AG RESPONSE",302,86480,315.00
BAYCARE,10001334,SKIN TESTING TUBERCULOSIS,302,86580,45.00
BAYCARE,10001335,RPR QUALITATIVE,302,86592,70.00
BAYCARE,10001336,VDRL CSF QUALITATIVE,302,86592,70.00
BAYCARE,10001337,RPR QUANTITATIVE,302,86593,35.00
BAYCARE,10001338,"AB, ADENOVIRUS",302,86603,140.00
BAYCARE,10001339,"AB, ASPERGILLUS (CF)",302,86606,85.00
BAYCARE,10001340,"AB, ASPERGILLUS (ID)",302,86606,85.00
BAYCARE,10001341,"AB, PNEUMOCOCCAL",302,86317,85.00
BAYCARE,10001342,"AB, BARTONELLA",302,86611,70.00
BAYCARE,10001343,"AB, BLASTOMYCES (CF)",302,86612,85.00
BAYCARE,10001344,"AB, BLASTOMYCES (ID)",302,86612,85.00
BAYCARE,10001345,"AB, BORDETELLA IGA",302,86615,145.00
BAYCARE,10001346,"AB, BORDETELLA IGG",302,86615,145.00
BAYCARE,10001347,"AB, BORDETELLA IGM",302,86615,145.00
BAYCARE,10001348,"AB, LYME DISEASE CONFIRMATORY",302,86617,125.00
BAYCARE,10001349,"AB, LYME DISEASE",302,86618,165.00
BAYCARE,10001350,"AB, LYME DISEASE CSF",302,86618,165.00
BAYCARE,10001351,"AB, BRUCELLA",302,86622,70.00
BAYCARE,10001352,CANDIDA ANTIBODY,302,86628,110.00
BAYCARE,10001353,"AB, CHLAMYDIA PNEUMONIAE IGG",302,86631,65.00
BAYCARE,10001354,"AB, CHLAMYDIA PSITTACI IGG",302,86631,65.00
BAYCARE,10001355,"AB, CHLAMYDIA TRACHOMATIS IGG",302,86631,65.00
BAYCARE,10001356,"AB, CHLAMYDIA PNEUMONIAE IGM",302,86632,65.00
BAYCARE,10001357,"AB, CHLAMYDIA PSITTACI IGM",302,86632,65.00
BAYCARE,10001358,"AB, CHLAMYDIA TRACHOMATIS IGM",302,86632,65.00
BAYCARE,10001359,"AB, COCCIDIOIDES",302,86635,65.00
BAYCARE,10001360,"AB, CMV NEGATIVE BLOOD PRODUCT",302,86644,95.00
BAYCARE,10001361,"AB, CYTOMEGALOVIRUS",302,86644,175.00
BAYCARE,10001362,"AB, CYTOMEGALOVIRUS IGM",302,86645,185.00
BAYCARE,10001363,"AB, DIPTHERIA",302,86317,85.00
BAYCARE,10001364,"AB, COXSACKIE A9 VIRUS",302,86658,105.00
BAYCARE,10001365,"AB, COXSACKIE B VIRUS",302,86658,70.00
BAYCARE,10001371,"AB, ECHOVIRUS",302,86658,70.00
BAYCARE,10001372,"AB, POLIOVIRUS",302,86658,75.00
BAYCARE,10001373,"AB, EBV EARLY ANTIGEN",302,86663,70.00
BAYCARE,10001374,"AB, EBV NUCLEAR ANTIGEN",302,86664,80.00
BAYCARE,10001375,"AB, EBV VIRAL CAPSID IGG",302,86665,145.00
BAYCARE,10001376,"AB, EBV VIRAL CAPSID IGM",302,86665,145.00
BAYCARE,10001377,"AB, EHRLICHIA",302,86666,120.00
BAYCARE,10001378,S CEREVISIAE IGG/IGA,302,86671,140.00
BAYCARE,10001380,"AB, GIARDIA LAMBLIA",302,86674,155.00
BAYCARE,10001381,"AB, HELICOBACTER PYLORI IGG",302,86677,200.00
BAYCARE,10001384,"AB, HELICOBACTER PYLORI IGM",302,86677,200.00
BAYCARE,10001385,"AB, TOXOCARA",302,86682,125.00
BAYCARE,10001386,"AB, H INFLUENZA B IGG",302,86684,150.00
BAYCARE,10001387,"AB, HIV WESTERN BLOT",302,86689,200.00
BAYCARE,10001388,"AB, HTLV WESTERN BLOT",302,86689,200.00
BAYCARE,10001390,"AB, HERPES SIMPLEX IGM",302,86694,115.00
BAYCARE,10001391,"AB, HERPES SIMPLEX  TYPE 1 IGG",302,86695,115.00
BAYCARE,10001392,"AB, HERPES SIMPLEX TYPE 1",302,86695,115.00
BAYCARE,10001393,"AB, HERPES SIMPLEX TYPE 2",302,86696,115.00
BAYCARE,10001394,"AB, HERPES SIMPLEX TYPE 2 IGG",302,86696,115.00
BAYCARE,10001395,"AB, HISTOPLASMA",302,86698,80.00
BAYCARE,10001403,"AB, HIV-1/HIV-2",302,86703,135.00
BAYCARE,10001405,HEPATITIS B CORE AB TOTAL,302,86704,140.00
BAYCARE,10001406,HEPATITIS B CORE AB IGM,302,86705,140.00
BAYCARE,10001407,HEPATITIS B SURFACE AB,302,86706,140.00
BAYCARE,10001408,HEPATITIS BE AB,302,86707,115.00
BAYCARE,10001409,HEPATITIS A AB TOTAL,302,86708,170.00
BAYCARE,10001410,HEPATITIS A AB IGM,302,86709,170.00
BAYCARE,10001411,"AB, INFLUENZA A",302,86710,110.00
BAYCARE,10001412,"AB, INFLUENZA B",302,86710,110.00
BAYCARE,10001413,"AB, LEGIONELLA",302,86713,185.00
BAYCARE,10001414,"AB, LEPTOSPIRA",302,86720,130.00
BAYCARE,10001416,"AB, MUMPS IGG",302,86735,155.00
BAYCARE,10001417,"AB, MUMPS IGM",302,86735,155.00
BAYCARE,10001420,"AB, MYCOPLASMA IGM",302,86738,130.00
BAYCARE,10001421,"AB, PARVOVIRUS IGG",302,86747,140.00
BAYCARE,10001422,"AB, PARVOVIRUS IGM",302,86747,140.00
BAYCARE,10001423,"AB, E HISTOLYTICA",302,86753,135.00
BAYCARE,10001425,RICKETTSIA AB IGG,302,86757,125.00
BAYCARE,10001426,RICKETTSIA AB IGM,302,86757,125.00
BAYCARE,10001427,DEBRIDE EXCISIONAL BY MD OR NP,360,,690.00
BAYCARE,10001428,"AB, RUBELLA IGG",302,86762,145.00
BAYCARE,10001430,"AB, RUBELLA IGM",302,86762,145.00
BAYCARE,10001431,"AB, RUBEOLA IGG",302,86765,145.00
BAYCARE,10001432,"AB, RUBEOLA IGM",302,86765,145.00
BAYCARE,10001434,"AB, TETANUS",302,86317,150.00
BAYCARE,10001435,"AB, TOXOPLASMA IGG",302,86777,110.00
BAYCARE,10001436,"AB, TOXOPLASMA IGM",302,86778,110.00
BAYCARE,10001437,"AB, TREPONEMA PALLIDUM",302,86780,90.00
BAYCARE,10001440,EMERGENCY SERVICE FEE,360,99058,"2,090.00"
BAYCARE,10001442,"AB, VARICELLA ZOSTER IGG",302,86787,155.00
BAYCARE,10001443,"AB, VARICELLA ZOSTER IGM",302,86787,155.00
BAYCARE,10001444,"AB, WEST NILE VIRUS IGM",302,86788,105.00
BAYCARE,10001445,"AB, WEST NILE VIRUS",302,86789,150.00
BAYCARE,10001451,"AB, HTLV-I/II",302,86790,185.00
BAYCARE,10001452,"AB, HUMAN HERPES VIRUS 6",302,86790,185.00
BAYCARE,10001464,RABIES ANTIBODY,302,86790,160.00
BAYCARE,10001465,"AB, ANTI THYROGLOBULIN",302,86800,165.00
BAYCARE,10001467,HEPATITIS C AB SCREEN,302,86803,205.00
BAYCARE,10001476,HLA CROSSMATCH FLOW CYTOMETRY,302,86825,420.00
BAYCARE,10001477,INJECT FACET W/IMAGE 1ST,360,,"1,920.00"
BAYCARE,10001478,INJECT FACET W/IMAGE 1ST BILAT,360,,"2,880.00"
BAYCARE,10001479,INJECT FACET W/IMAGE 2ND,360,,960.00
BAYCARE,10001480,INJECT FACET W/IMAGE 2ND BILAT,360,,"1,440.00"
BAYCARE,10001481,INJECT FACET W/IMAGE 3 OR >,360,,960.00
BAYCARE,10001482,INJECT FACET W/IMAGE 3 OR > BILAT,360,,"1,440.00"
BAYCARE,10001483,"ANTIBODY SCREEN, BC",300,86850,185.00
BAYCARE,10001485,EPIDURAL INJ ADDL LEVEL W/ IMAGING,360,,"1,110.00"
BAYCARE,10001495,"ANTIBODY SCREEN, EACH",300,86850,150.00
BAYCARE,10001497,"ANTIBODY ELUTION, EACH",300,86860,270.00
BAYCARE,10001498,"INJECT SI JOINT, THERAPEUTIC",360,,"1,890.00"
BAYCARE,10001499,INJECT/ASPIRATE MAJOR JOINT*,516,20610,445.00
BAYCARE,10001500,"ANTIBODY ID, BC",300,86870,355.00
BAYCARE,10001501,"ANTIBODY ID, EACH",300,86870,355.00
BAYCARE,10001502,"DIRECT COOMBS, BC",300,86880,120.00
BAYCARE,10001503,"DIRECT COOMBS, EA ANTISERUM",300,86880,120.00
BAYCARE,10001504,"ANTIBODY TITER, INDIRECT, EACH",300,86886,235.00
BAYCARE,10001505,AUTOLOGOUS PROCESSING FEE,300,86890,680.00
BAYCARE,10001506,CELL SAVER-REINFUSION,300,86891,"1,880.00"
BAYCARE,10001507,ABO TYPING,300,86900,75.00
BAYCARE,10001508,"ABO TYPING, BC",300,86900,75.00
BAYCARE,10001509,RH TYPING,300,86901,75.00
BAYCARE,10001510,"RH TYPING, BC",300,86901,75.00
BAYCARE,10001515,RARE UNIT,300,86902,180.00
BAYCARE,10001516,SCREEN UNIT 1 AG,300,86902,180.00
BAYCARE,10001517,RBC ANTIGEN TYPING,300,86905,165.00
BAYCARE,10001518,"RH PHENOTYPE, COMPLETE",300,86906,205.00
BAYCARE,10001519,NASAL HEMORRHAGE,360,,590.00
BAYCARE,10001520,NASAL SINUS ENDOSCOPY,360,,580.00
BAYCARE,10001524,"CROSSMATCH, IMMEDIATE SPIN",300,86920,245.00
BAYCARE,10001529,"CROSSMATCH, INCUBATED",300,86921,150.00
BAYCARE,10001530,"CROSSMATCH, ANTIGLOBULIN",300,86922,255.00
BAYCARE,10001534,OPHTHALMIC LASER PROCEDURE,360,,"5,400.00"
BAYCARE,10001535,"CROSSMATCH, ELECTRONIC",300,86923,120.00
BAYCARE,10001536,FROZEN PLASMA THAWING EA UNIT,300,86927,85.00
BAYCARE,10001540,IRRADIATION BLOOD PRODUCT/UNIT,300,86945,115.00
BAYCARE,10001544,"PRETREATMENT-AB ID, CHEMICAL",300,86970,115.00
BAYCARE,10001545,"PRETREATMENT-AB ID, ENZYMES",300,86971,160.00
BAYCARE,10001546,"PRETREATMENT FOR AB ID,INHIBIT",300,86977,210.00
BAYCARE,10001547,"RBC ABSORPTION, EACH",300,86978,270.00
BAYCARE,10001548,SPLIT OF BLOOD PRODCUTS,300,86985,135.00
BAYCARE,10001551,SACRAL AUGMENTATION UNILATERAL,360,0200T,"3,500.00"
BAYCARE,10001552,SACRAL AUGMENTATION BILATERAL,360,0201T,"5,250.00"
BAYCARE,10001553,DIRECTED DONOR PROCESSING FEE,300,86999,260.00
BAYCARE,10001554,CONCENTRATION,306,87015,90.00
BAYCARE,10001555,"CULTURE, BLOOD",306,87040,145.00
BAYCARE,10001556,"CULTURE, STOOL SALM/SHIG",306,87045,145.00
BAYCARE,10001559,"CULTURE, STOOL, ADD PATH",306,87046,145.00
BAYCARE,10001560,TRIM NAILS-NONDYSTHROPHIC,360,11719,100.00
BAYCARE,10001561,"CULTURE, AEROBIC",306,87070,145.00
BAYCARE,10001563,"CULTURE, QUANTITATIVE, AEROBIC",306,87071,145.00
BAYCARE,10001564,"CULTURE,QUANTITATIVE,ANAEROBIC",306,87073,145.00
BAYCARE,10001565,DEBRIDE NAIL(S) 1-5,360,11720,130.00
BAYCARE,10001566,DEBRIDE NAIL(S) 6 OR >,360,11721,170.00
BAYCARE,10001567,"CULTURE, ANAEROBIC",306,87075,145.00
BAYCARE,10001568,ANESTH MAC IV ADD'L 1/2 HR,370,,90.00
BAYCARE,10001569,ANESTH REGIONAL 1ST 1/2 HR,370,,370.00
BAYCARE,10001570,ANESTH REGIONAL ADD'L 1/2 HR,370,,85.00
BAYCARE,10001572,ANAEROBIC ISOLATE ID,306,87076,80.00
BAYCARE,10001573,"CULTURE, AEROBIC ID",306,87077,145.00
BAYCARE,10001574,"CULTURE, H PYLORI UREASE",306,87077,145.00
BAYCARE,10001575,"CULTURE, ORGANISM SCREEN",306,87081,145.00
BAYCARE,10001576,"CULTURE, PERTUSIS",306,87081,145.00
BAYCARE,10001577,"CULTURE, URINE QUANTITATIVE",306,87086,145.00
BAYCARE,10001578,"CULTURE, URINE PRESUMPTIVE ID",306,87088,145.00
BAYCARE,10001579,"CULTURE, FUNGI, SKIN, NAILS",306,87101,145.00
BAYCARE,10001580,"CULTURE, FUNGI OTHER SOURCE",306,87102,145.00
BAYCARE,10001581,"CULTURE, FUNGI BLOOD",306,87103,145.00
BAYCARE,10001582,"CULTURE, YEAST ID",306,87106,145.00
BAYCARE,10001583,"CULTURE, MOLD ID",306,87107,145.00
BAYCARE,10001584,"CULTURE, MYCOPLASMA, ANY SOURCE",306,87109,145.00
BAYCARE,10001585,"CULTURE, CHLAMYDIA",306,87110,145.00
BAYCARE,10001586,CULTURE AFB ANY SOURCE,306,87116,145.00
BAYCARE,10001587,CULTURE AFB ISOLATE ID,306,87118,145.00
BAYCARE,10001588,CULTURE TYPING IFA,306,87140,45.00
BAYCARE,10001589,CULTURE TYPING AGGLUTINATION,306,87147,45.00
BAYCARE,10001590,CULTURE ID BY PROBE,306,87149,145.00
BAYCARE,10001591,ARTHROPOD MACRO EXAM,306,87168,40.00
BAYCARE,10001592,PARASITE MACRO EXAM,306,87169,40.00
BAYCARE,10001593,PINWORM EXAM,306,87172,90.00
BAYCARE,10001594,TISSUE GRINDING FOR CULTURE,306,87176,55.00
BAYCARE,10001595,OVA & PARASITES,306,87177,110.00
BAYCARE,10001596,"SUSCEPTIBILITY, E-TEST, EACH",306,87181,40.00
BAYCARE,10001597,"SUSCEPTIBILITY, KIRBY BAUER",306,87184,55.00
BAYCARE,10001598,SUSCEPTIBILITY BETA LACTAMASE,306,87185,40.00
BAYCARE,10001599,SUSCEPTIBILITY MIC,306,87186,75.00
BAYCARE,10001601,GRAM SMEAR,306,87205,75.00
BAYCARE,10001602,GRAM SMEAR EOS,306,87205,75.00
BAYCARE,10001603,ACID FAST STAIN,306,87206,95.00
BAYCARE,10001604,STAIN FOR PARASITES,306,87207,120.00
BAYCARE,10001605,TRICHROME STAIN,306,87209,95.00
BAYCARE,10001606,POC SMEAR WET MOUNT,306,87210,70.00
BAYCARE,10001608,"SMEAR,WET MOUNT",306,87210,70.00
BAYCARE,10001609,KOH PREP,306,87220,60.00
BAYCARE,10001621,PNEUMOCYSTIS CARINII,306,87281,245.00
BAYCARE,10001626,ASPERGILLUS ANTIGEN EIA,306,87305,285.00
BAYCARE,10001628,CRYPTOSPORDIUM BY EIA,306,87328,75.00
BAYCARE,10001629,GIARDIA ANTIGEN BY EIA,306,87329,140.00
BAYCARE,10001630,H PYLORI STOOL,306,87338,230.00
BAYCARE,10001631,HEPATITIS B SURFACE AG,306,87340,155.00
BAYCARE,10001632,HBSAG NEUTRALIZATION,306,87341,105.00
BAYCARE,10001633,HEPATITIS BE AG,306,87350,100.00
BAYCARE,10001634,HISTOPLASMA ANTIGEN,306,87385,295.00
BAYCARE,10001636,ROTAVIRUS ANTIGEN,306,87425,130.00
BAYCARE,10001637,SHIGA-LIKE TOXIN,306,87427,100.00
BAYCARE,10001638,BLASTOMYCES ANTIGEN EIA,306,87449,205.00
BAYCARE,10001639,GIARDIA/CRYPTO EIA MULT ORG,306,87451,85.00
BAYCARE,10001640,LYME BY PCR,306,87476,285.00
BAYCARE,10001641,CHLAMYDIA PNEUMONIAE PCR,306,87486,255.00
BAYCARE,10001642,CHLAMYDIA TRACHOMATIS DNA,306,87491,205.00
BAYCARE,10001643,C DIFFICILE TOXIN BY PCR,306,87493,210.00
BAYCARE,10001644,"CMV, DNA AMPLIFIED PROBE",306,87496,310.00
BAYCARE,10001645,CMV BY PCR,306,87496,210.00
BAYCARE,10001646,CMV DNA QUANT PCR,306,87497,570.00
BAYCARE,10001647,"ENTEROVIRUS, AMP PROBE",306,87498,410.00
BAYCARE,10001648,"HEPATITIS B DNA, QUAL PCR",306,87516,325.00
BAYCARE,10001649,HEPATITIS B VIRUS QUANT,306,87517,325.00
BAYCARE,10001650,HEPATITIS C VIRUS RNA,306,87521,400.00
BAYCARE,10001651,HEPATITIS C VIRUS QUANT,306,87522,355.00
BAYCARE,10001652,"HERPES SIMPLEX VIRUS, PCR",306,87529,260.00
BAYCARE,10001653,"HERPES VIRUS-6, QUANT",306,87533,640.00
BAYCARE,10001656,"HIV-1 DNA PCR, QUAL",306,87535,495.00
BAYCARE,10001657,HIV-1 RNA QUANTITATIVE,306,87536,685.00
BAYCARE,10001659,MYCOBACTERIA TB RNA,306,87556,450.00
BAYCARE,10001662,TB BY AMP PROBE TISSUE,306,87556,450.00
BAYCARE,10001663,MYCOPLASMA PNEUMONIAE PCR,306,87581,280.00
BAYCARE,10001664,N GONORRHOREAE DNA,306,87591,190.00
BAYCARE,10001665,HPV HIGH RISK W/O PAP,306,87624,245.00
BAYCARE,10001668,S AUREUS BY PCR,306,87640,230.00
BAYCARE,10001669,MRSA BY PCR,306,87641,180.00
BAYCARE,10001672,BORDETELLA PERTUSSIS PCR,306,87798,285.00
BAYCARE,10001675,JC VIRUS BY PCR,306,87798,400.00
BAYCARE,10001676,PARVOVIRUS DNA BY PCR,306,87798,235.00
BAYCARE,10001677,VARICELLA ZOSTER BY PCR,306,87798,195.00
BAYCARE,10001678,BK VIRUS DNA QUANTITATIVE,306,87799,610.00
BAYCARE,10001679,INFECT AGENT PCR MULT ORG,306,87801,365.00
BAYCARE,10001680,NOROVIRUS GROUP 1&2 BY RT-PCR,306,87798,285.00
BAYCARE,10001681,PERTUSSIS/PARAPERTUSSIS BY PCR,306,87801,360.00
BAYCARE,10001683,"INFLUENZA A ANTIGEN, RAPID",306,87804,155.00
BAYCARE,10001684,"INFLUENZA B ANTIGEN, RAPID",306,87804,155.00
BAYCARE,10001685,"RSV ANTIGEN, RAPID",306,87807,190.00
BAYCARE,10001686,TRICHOMONAS ANTIGEN EIA,306,87808,90.00
BAYCARE,10001687,STREP GROUP A SCREEN,306,87880,90.00
BAYCARE,10001689,LEGIONELLA ANTIGEN,306,87899,130.00
BAYCARE,10001690,S PNEUMONIAL ANTIGEN,306,87899,120.00
BAYCARE,10001691,HIV-1 GENOTYPE PCR,306,87901,"1,300.00"
BAYCARE,10001692,HEPATITIS C GENOTYPE PCR,306,87902,"1,300.00"
BAYCARE,10001693,HIV-1 PHENOTYPE 1 TO 10 DRUGS,306,87903,"2,060.00"
BAYCARE,10001694,HIV PHENOTYPE ADD DRUGS,306,87904,155.00
BAYCARE,10001695,"CYTOPATHOLOGY, NON-GYN",311,88104,185.00
BAYCARE,10001696,CYTOPATHOLOGY CONCENTRATED,311,88108,275.00
BAYCARE,10001697,CYTOPATH THINPREP NON-GYN,311,88112,145.00
BAYCARE,10001700,PERICARDIOCENTESIS,481,,"4,810.00"
BAYCARE,10001701,"CYTOPATHOLOGY SMEARS, NON-GYN",311,88160,170.00
BAYCARE,10001702,CYTOPATH SMEARS WITH PROCESS,311,88161,155.00
BAYCARE,10001705,FNA ADEQUACY EVALUATION,311,88172,220.00
BAYCARE,10001706,FNA INTERPRETATION & REPORT,311,88173,380.00
BAYCARE,10001707,PAP THIN PREP AUTO SCREEN,311,88175,175.00
BAYCARE,10001709,MISC PROCEDURE MINOR,360,,250.00
BAYCARE,10001712,"FLOW CYTOMETRY, DNA ANALYSIS",311,88182,520.00
BAYCARE,10001713,"FLOW CYTOMETRY, FIRST MARKER",311,88184,300.00
BAYCARE,10001714,FLOW CYTOMETRY EA ADDL MARKER,311,88185,180.00
BAYCARE,10001715,"TISSUE CULTURE, LYMPHOCYTES",311,88230,395.00
BAYCARE,10001717,TISSUE CULTURE; SOLID TISSUE,311,88233,"1,050.00"
BAYCARE,10001719,"TISSUE CULTURE, AMNIO FL OR CV",311,88235,675.00
BAYCARE,10001720,"TISSUE CULTURE, BONE MARROW",311,88237,570.00
BAYCARE,10001721,TISSUE CULTURE; TUMOR,311,88239,680.00
BAYCARE,10001723,"CHROM ANALYSIS, 5 CELLS, 1 KAR",311,88261,825.00
BAYCARE,10001725,"CHROM ANA, 15-20 CELLS, 2 KARY",311,88262,"1,150.00"
BAYCARE,10001727,CHROMOSOME ANALYSIS 20-25 CELL,311,88264,775.00
BAYCARE,10001729,"CHROM ANALYSIS 15 CELLS, 1 KAR",311,88267,"1,310.00"
BAYCARE,10001731,"CHROM ANAL INSITU 6-12COL,1KAR",311,88269,"1,140.00"
BAYCARE,10001732,"CHROMOSOME ANALYSIS, IN SITU",311,88269,"1,140.00"
BAYCARE,10001733,"CYTOGENETIC PROBE, EACH (FISH)",311,88271,295.00
BAYCARE,10001734,CHROMOSOME IN SITU 10-30 CELLS,311,88273,440.00
BAYCARE,10001735,FISH INSITU 10-30 CELLS,311,88273,440.00
BAYCARE,10001737,FISH INSITU 25-99 CELLS,311,88274,480.00
BAYCARE,10001739,FISH INSITU 100-300 CELLS,311,88275,330.00
BAYCARE,10001740,CHROMOSOME ANALYSIS ADD KARYO,311,88280,185.00
BAYCARE,10001741,CHROMOSOME ANALYSIS ADD CELLS,311,88285,150.00
BAYCARE,10001742,"SURGICAL PATHOLOGY, LEVEL I",312,88300,160.00
BAYCARE,10001743,"SURGICAL PATHOLOGY, LEVEL II",312,88302,265.00
BAYCARE,10001744,"SURGICAL PATHOLOGY, LEVEL III",312,88304,345.00
BAYCARE,10001747,"SURGICAL PATHOLOGY, LEVEL IV",312,88305,560.00
BAYCARE,10001748,"SURGICAL PATHOLOGY, LEVEL V",312,88307,870.00
BAYCARE,10001749,"SURGICAL PATHOLOGY, LEVEL VI",312,88309,"1,230.00"
BAYCARE,10001750,DECALCIFICATION,312,88311,135.00
BAYCARE,10001751,SMEAR FUNGAL,312,88312,120.00
BAYCARE,10001752,SPECIAL STAIN GROUP I,312,88312,250.00
BAYCARE,10001754,"SPECIAL STAIN II, KIDNEY",312,88313,"1,380.00"
BAYCARE,10001755,"SPECIAL STAIN, GROUP II",312,88313,240.00
BAYCARE,10001756,HISTOCHEMICAL STAIN W/FROZEN,312,88314,215.00
BAYCARE,10001758,"HISTOCHEMISTRY, ENZYME",312,88319,480.00
BAYCARE,10001760,CONSULT WITH SLIDE PREP,312,88323,725.00
BAYCARE,10001763,"FROZEN SECTION, 1ST BLOCK",312,88331,415.00
BAYCARE,10001764,FROZEN SECTION ADDITIONAL,312,88332,290.00
BAYCARE,10001765,TOUCH PREP DURING SURGERY,312,88333,115.00
BAYCARE,10001766,TOUCH PREP ADD SITE,312,88334,100.00
BAYCARE,10001768,IMMUNOHISTOCHEMISTRY EACH AB Q,312,88360,420.00
BAYCARE,10001771,"IHC PER SPEC, INITIAL AB STAIN",312,88342,385.00
BAYCARE,10001774,PACU ADDITIONAL RN ASSIST,710,,185.00
BAYCARE,10001783,"IMMUNOFLUORESCENT AB, DIRECT",310,88346,315.00
BAYCARE,10001784,"IMMUNOFLUORESCENT AB, INITIAL",310,88346,235.00
BAYCARE,10001785,DELIVERY C SECTION,720,,"11,480.00"
BAYCARE,10001786,DELIVERY C SECTION ADD'L FETUS,720,,900.00
BAYCARE,10001788,DELIVERY VAGINAL,720,,"2,390.00"
BAYCARE,10001789,DELIVERY VAGINAL ADD'L FETUS,720,,600.00
BAYCARE,10001790,DELIVERY W/WO INDUCTION <24wks,720,,"1,650.00"
BAYCARE,10001791,ELECTRON MICROSCOPY KIDNEY,310,88348,"1,740.00"
BAYCARE,10001792,"MORPHOMETRIC ANALYSIS, NERVE",312,88356,700.00
BAYCARE,10001795,HB FISH IN SITU INITIAL SINGL PROB,312,88365,580.00
BAYCARE,10001799,"IN SITU HYBRID, (FISH-URINE)",312,88367,540.00
BAYCARE,10001802,"IN SITU HYBRID, SEMI-QT MANUAL",312,88368,650.00
BAYCARE,10001805,MACRO EXAM FOR MOLECULAR STUDY,312,88387,20.00
BAYCARE,10001806,MACRO EXAM TISSUE IN SURGERY,312,88388,10.00
BAYCARE,10001808,POC BILIRUBIN TRANSCUTANEOUS,300,88720,40.00
BAYCARE,10001809,CELL COUNT W/O DIFF,300,89050,85.00
BAYCARE,10001810,CELL COUNT/DIFF,300,89051,120.00
BAYCARE,10001816,"CRYSTAL EXAM, BODY FLUID",300,89060,95.00
BAYCARE,10001817,FAT STAIN,300,89125,80.00
BAYCARE,10001821,NASAL SMEAR FOR EOS,300,89190,60.00
BAYCARE,10001822,SPUTUM SPEC AEROSOL INDUCED,300,89220,155.00
BAYCARE,10001823,SEMEN ANALYSIS,300,89320,190.00
BAYCARE,10001824,SEMEN ANALYSIS SPERM PRESENCE,300,89321,125.00
BAYCARE,10001826,ADMIN FEE VACCINE 1ST,510,90471,60.00
BAYCARE,10001827,ADMIN FEE VACCINE EA ADD'L,510,90472,30.00
BAYCARE,10001830,HEMODIALYSIS-INPATIENT,801,90935,"1,770.00"
BAYCARE,10001831,CVVH/HEMOFILTRATION PER DAY,881,90945,"1,470.00"
BAYCARE,10001835,NASOPHARYNGOSCOPY W/ENDOSCOPE,920,92511,860.00
BAYCARE,10001856,HEARING RAPID SCREEN,471,92587,200.00
BAYCARE,10001870,CPR,410,92950,"2,230.00"
BAYCARE,10001871,EXTERNAL PACING,480,92953,"1,350.00"
