Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBS_KS_2022,HEALTH_PARTNERS,HUMANA_MEDICARE,UHC_MILITARY___VA,UHC_VA_CCN,WPPA
4337663_1,ER 31500 INTUBATION,Inpatient,0450,31500,"Intubation, endotracheal, emergency procedure",,0,130.00,130.00,114.40,130.00,N/A,114.40,N/A,N/A,N/A,126.10
4337664_1,ER 12001 SIMPLE RPR STHF 2.5CM OR LESS,Emergency,0450,12001,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less",,0,515.00,515.00,453.20,515.00,492.70,453.20,515.00,0.00,N/A,499.55
4337664_1,ER 12001 SIMPLE RPR STHF 2.5CM OR LESS,Inpatient,0450,12001,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less",,0,515.00,515.00,453.20,515.00,N/A,453.20,N/A,N/A,N/A,499.55
4337665_1,ER 12013 REPAIR SIMP FEL 2.6CM-5.0CM,Emergency,0450,12013,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",,0,370.00,370.00,325.60,612.30,612.30,325.60,370.00,0.00,N/A,358.90
4337665_1,ER 12013 REPAIR SIMP FEL 2.6CM-5.0CM,Inpatient,0450,12013,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",,0,370.00,370.00,325.60,612.30,N/A,325.60,N/A,N/A,N/A,358.90
4337667_1,ER 10120 I&R FRGN BODY SUBCU TISS SIMPLE,Emergency,0450,10120,"Incision and removal of foreign body, subcutaneous tissues; simple",,0,1273.74,1273.74,1120.89,1384.50,1384.50,1120.89,1273.74,0.00,N/A,1235.53
4337667_1,ER 10120 I&R FRGN BODY SUBCU TISS SIMPLE,Inpatient,0450,10120,"Incision and removal of foreign body, subcutaneous tissues; simple",,0,1273.74,1273.74,1120.89,1384.50,N/A,1120.89,N/A,N/A,N/A,1235.53
4337668_1,ER 20610 DRN/INJ MAJOR JOINT/BURSA WO US,Emergency,0450,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",,0,525.00,525.00,462.00,536.90,536.90,462.00,525.00,0.00,N/A,509.25
4337668_1,ER 20610 DRN/INJ MAJOR JOINT/BURSA WO US,Inpatient,0450,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",,0,525.00,525.00,462.00,536.90,N/A,462.00,N/A,N/A,N/A,509.25
4337669_1,ER 65205 REM FRGN BODY EXT EYE SUPRF,Emergency,0450,65205,"Removal of foreign body, external eye; conjunctival superficial",,0,200.00,200.00,176.00,399.10,399.10,176.00,200.00,0.00,N/A,194.00
4337669_1,ER 65205 REM FRGN BODY EXT EYE SUPRF,Inpatient,0450,65205,"Removal of foreign body, external eye; conjunctival superficial",,0,200.00,200.00,176.00,399.10,N/A,176.00,N/A,N/A,N/A,194.00
4337675_1,ER 26725 CLSD TRMT FINGER SHAFT W OR WO,Emergency,0450,26725,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb; with manipulation, with or without skin or skeletal traction, each",,0,1500.00,1500.00,1320.00,1500.00,1463.80,1320.00,1500.00,0.00,N/A,1455.00
4337675_1,ER 26725 CLSD TRMT FINGER SHAFT W OR WO,Inpatient,0450,26725,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb; with manipulation, with or without skin or skeletal traction, each",,0,1500.00,1500.00,1320.00,1500.00,N/A,1320.00,N/A,N/A,N/A,1455.00
4337676_1,ER 23650  CLSD TRMT SHOULDER DISCLOC W/MNP,Emergency,0450,23650,"Closed treatment of shoulder dislocation, with manipulation; without anesthesia",,0,975.00,975.00,858.00,1155.70,1155.70,858.00,975.00,0.00,N/A,945.75
4337676_1,ER 23650  CLSD TRMT SHOULDER DISCLOC W/MNP,Inpatient,0450,23650,"Closed treatment of shoulder dislocation, with manipulation; without anesthesia",,0,975.00,975.00,858.00,1155.70,N/A,858.00,N/A,N/A,N/A,945.75
4337679_1,ER 24640 CLSD TRMT RADIAL HD SBLUX CHILD,Emergency,0450,24640,"Closed treatment of radial head subluxation in child, nursemaid elbow, with manipulation",,0,525.00,525.00,462.00,1041.30,1041.30,462.00,525.00,0.00,N/A,509.25
4337679_1,ER 24640 CLSD TRMT RADIAL HD SBLUX CHILD,Inpatient,0450,24640,"Closed treatment of radial head subluxation in child, nursemaid elbow, with manipulation",,0,525.00,525.00,462.00,1041.30,N/A,462.00,N/A,N/A,N/A,509.25
4337682_1,ER 10060 I&D ABSCESS SIMPLE/SINGLE,Emergency,0450,10060,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single",,0,375.00,375.00,330.00,1020.50,1020.50,330.00,375.00,0.00,N/A,363.75
4337682_1,ER 10060 I&D ABSCESS SIMPLE/SINGLE,Inpatient,0450,10060,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single",,0,375.00,375.00,330.00,1020.50,N/A,330.00,N/A,N/A,N/A,363.75
4337686_1,ER 10140 I&D HEMATOMA SEROMA/FLUID COLL,Emergency,0450,10140,"Incision and drainage of hematoma, seroma or fluid collection",,0,375.00,375.00,330.00,1527.50,1527.50,330.00,375.00,0.00,N/A,363.75
4337686_1,ER 10140 I&D HEMATOMA SEROMA/FLUID COLL,Inpatient,0450,10140,"Incision and drainage of hematoma, seroma or fluid collection",,0,375.00,375.00,330.00,1527.50,N/A,330.00,N/A,N/A,N/A,363.75
4337690_1,ER 11044 DEBRIDEMENT SKIN TISS/MSCL/BONE,Emergency,0450,11044,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less",,0,350.00,350.00,308.00,358.80,358.80,308.00,350.00,0.00,N/A,339.50
4337690_1,ER 11044 DEBRIDEMENT SKIN TISS/MSCL/BONE,Inpatient,0450,11044,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less",,0,350.00,350.00,308.00,358.80,N/A,308.00,N/A,N/A,N/A,339.50
4337712_1,ER 11730 AVULSN NAIL PLATE PART/COM SIMP,Emergency,0450,11730,"Avulsion of nail plate, partial or complete, simple; single",,0,125.00,125.00,110.00,135.20,135.20,110.00,125.00,0.00,N/A,121.25
4337712_1,ER 11730 AVULSN NAIL PLATE PART/COM SIMP,Inpatient,0450,11730,"Avulsion of nail plate, partial or complete, simple; single",,0,125.00,125.00,110.00,135.20,N/A,110.00,N/A,N/A,N/A,121.25
4337715_1,ER 12002 SIMPLE RPR STHF 2.6CM-7.5CM,Emergency,0450,12002,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm",,0,541.79,541.79,476.78,588.90,588.90,476.78,541.79,0.00,N/A,525.54
4337715_1,ER 12002 SIMPLE RPR STHF 2.6CM-7.5CM,Inpatient,0450,12002,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm",,0,541.79,541.79,476.78,588.90,N/A,476.78,N/A,N/A,N/A,525.54
4337716_1,ER 12004 SIMPLE RPR STHF 7.6CM-12.5CM,Emergency,0450,12004,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm",,0,370.00,370.00,325.60,743.60,743.60,325.60,370.00,0.00,N/A,358.90
4337716_1,ER 12004 SIMPLE RPR STHF 7.6CM-12.5CM,Inpatient,0450,12004,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm",,0,370.00,370.00,325.60,743.60,N/A,325.60,N/A,N/A,N/A,358.90
4337717_1,ER 12005 SIMPLE RPR STHF 12.6-20CM,Emergency,0450,12005,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm",,0,970.00,970.00,853.60,1041.30,1041.30,853.60,970.00,0.00,N/A,940.90
4337717_1,ER 12005 SIMPLE RPR STHF 12.6-20CM,Inpatient,0450,12005,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm",,0,970.00,970.00,853.60,1041.30,N/A,853.60,N/A,N/A,N/A,940.90
4337720_1,ER 12011 SIMPLE RPR FACE 2.5CM OR LESS,Emergency,0450,12011,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",,0,416.21,416.21,366.26,612.30,612.30,366.26,416.21,0.00,N/A,403.72
4337720_1,ER 12011 SIMPLE RPR FACE 2.5CM OR LESS,Inpatient,0450,12011,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",,0,416.21,416.21,366.26,612.30,N/A,366.26,N/A,N/A,N/A,403.72
4337721_1,ER 12014 RPR SIMP F/E/E/N/L/M 5.1-7.5 CM,Emergency,0450,12014,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",,0,918.53,918.53,612.30,918.53,612.30,808.31,918.53,0.00,N/A,890.97
4337721_1,ER 12014 RPR SIMP F/E/E/N/L/M 5.1-7.5 CM,Inpatient,0450,12014,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",,0,918.53,918.53,612.30,918.53,N/A,808.31,N/A,N/A,N/A,890.97
4337722_1,ER 12015 RPR SIMP F/E/E/N/L/M 7.6-12.5 CM,Emergency,0450,12015,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",,0,960.00,960.00,844.80,1041.30,1041.30,844.80,960.00,0.00,N/A,931.20
4337722_1,ER 12015 RPR SIMP F/E/E/N/L/M 7.6-12.5 CM,Inpatient,0450,12015,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",,0,960.00,960.00,844.80,1041.30,N/A,844.80,N/A,N/A,N/A,931.20
4337725_1,ER 12020 TRMT SUPERFICIAL DEHISCENCE SIMP,Emergency,0450,12020,Treatment of superficial wound dehiscence; simple closure,,0,285.00,285.00,250.80,285.00,278.20,250.80,285.00,0.00,N/A,276.45
4337725_1,ER 12020 TRMT SUPERFICIAL DEHISCENCE SIMP,Inpatient,0450,12020,Treatment of superficial wound dehiscence; simple closure,,0,285.00,285.00,250.80,285.00,N/A,250.80,N/A,N/A,N/A,276.45
4337727_1,ER 12031 INTRMD RPR SATE 2.5CM OR LESS,Emergency,0450,12031,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less",,0,1855.00,1855.00,1341.60,1855.00,1341.60,1632.40,1855.00,0.00,N/A,1799.35
4337727_1,ER 12031 INTRMD RPR SATE 2.5CM OR LESS,Inpatient,0450,12031,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less",,0,1855.00,1855.00,1341.60,1855.00,N/A,1632.40,N/A,N/A,N/A,1799.35
4337728_1,ER 12032 REPAIR INTER SATE 2.6-7.5CM,Emergency,0450,12032,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm",,0,1660.00,1660.00,1460.80,1691.30,1691.30,1460.80,1660.00,0.00,N/A,1610.20
4337728_1,ER 12032 REPAIR INTER SATE 2.6-7.5CM,Inpatient,0450,12032,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm",,0,1660.00,1660.00,1460.80,1691.30,N/A,1460.80,N/A,N/A,N/A,1610.20
4337729_1,ER 12034 INTMD RPR S/TR/EXT 7.6-12.5,Emergency,0450,12034,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm",,0,2700.57,2700.57,1992.90,2700.57,1992.90,2376.50,2700.57,0.00,N/A,2619.55
4337729_1,ER 12034 INTMD RPR S/TR/EXT 7.6-12.5,Inpatient,0450,12034,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm",,0,2700.57,2700.57,1992.90,2700.57,N/A,2376.50,N/A,N/A,N/A,2619.55
4337734_1,ER 12044 INTMD RPR N-HF/GENIT7.6-12.5,Emergency,0450,12044,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm",,0,1085.00,1085.00,954.80,1085.00,1041.30,954.80,1085.00,0.00,N/A,1052.45
4337734_1,ER 12044 INTMD RPR N-HF/GENIT7.6-12.5,Inpatient,0450,12044,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm",,0,1085.00,1085.00,954.80,1085.00,N/A,954.80,N/A,N/A,N/A,1052.45
4337735_1,ER 12051 INTMD RPR FACE/MM 2.5 CM/<,Emergency,0450,12051,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",,0,370.00,370.00,325.60,920.40,920.40,325.60,370.00,0.00,N/A,358.90
4337735_1,ER 12051 INTMD RPR FACE/MM 2.5 CM/<,Inpatient,0450,12051,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",,0,370.00,370.00,325.60,920.40,N/A,325.60,N/A,N/A,N/A,358.90
4337736_1,ER 12052 INTMD RPR FACE/MM 2.6-5.0 CM,Emergency,0450,12052,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",,0,310.00,310.00,272.80,1134.90,1134.90,272.80,310.00,0.00,N/A,300.70
4337736_1,ER 12052 INTMD RPR FACE/MM 2.6-5.0 CM,Inpatient,0450,12052,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",,0,310.00,310.00,272.80,1134.90,N/A,272.80,N/A,N/A,N/A,300.70
4337739_1,ER 12055 INTMD RPR FACE/MM 12.6-20 CM,Emergency,0450,12055,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm",,0,650.00,650.00,572.00,1755.00,1755.00,572.00,650.00,0.00,N/A,630.50
4337739_1,ER 12055 INTMD RPR FACE/MM 12.6-20 CM,Inpatient,0450,12055,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm",,0,650.00,650.00,572.00,1755.00,N/A,572.00,N/A,N/A,N/A,630.50
4337743_1,ER 13131  REPAIR COMP FNH 1.1CM-2.5CM,Emergency,0450,13131,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm",,0,1055.00,1055.00,928.40,1055.00,1014.00,928.40,1055.00,0.00,N/A,1023.35
4337743_1,ER 13131  REPAIR COMP FNH 1.1CM-2.5CM,Inpatient,0450,13131,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm",,0,1055.00,1055.00,928.40,1055.00,N/A,928.40,N/A,N/A,N/A,1023.35
4337761_1,ER 20552 INJ TRIGGER POINT 1 OR 2 MUSCL,Emergency,0450,20552,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)",,0,187.00,187.00,164.56,447.76,447.76,164.56,187.00,0.00,N/A,181.39
4337761_1,ER 20552 INJ TRIGGER POINT 1 OR 2 MUSCL,Inpatient,0450,20552,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)",,0,187.00,187.00,164.56,447.76,N/A,164.56,N/A,N/A,N/A,181.39
4337763_1,ER 20600 DRAIN/INJ JNT/BURSA SM WO/US,Emergency,0450,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",,0,405.44,405.44,356.79,440.70,440.70,356.79,405.44,0.00,N/A,393.28
4337763_1,ER 20600 DRAIN/INJ JNT/BURSA SM WO/US,Inpatient,0450,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",,0,405.44,405.44,356.79,440.70,N/A,356.79,N/A,N/A,N/A,393.28
4337765_1,ER 20605 ARTHROCENT/ASP/INJ INT JNT WO US,Emergency,0450,20605,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); without ultrasound guidance",,0,375.00,375.00,330.00,468.00,468.00,330.00,375.00,0.00,N/A,363.75
4337765_1,ER 20605 ARTHROCENT/ASP/INJ INT JNT WO US,Inpatient,0450,20605,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); without ultrasound guidance",,0,375.00,375.00,330.00,468.00,N/A,330.00,N/A,N/A,N/A,363.75
4337767_1,ER 20610 DRN/INJ MAJ JNT/BURSA BIL WO US,Emergency,0450,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",,0,975.00,975.00,536.90,975.00,536.90,858.00,975.00,0.00,N/A,945.75
4337767_1,ER 20610 DRN/INJ MAJ JNT/BURSA BIL WO US,Inpatient,0450,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",,0,975.00,975.00,536.90,975.00,N/A,858.00,N/A,N/A,N/A,945.75
4337773_1,ER 23500 CLSD TRMT CLAVICULAR WO MANIP,Emergency,0450,23500,Closed treatment of clavicular fracture; without manipulation,,0,975.00,975.00,858.00,1041.30,1041.30,858.00,975.00,0.00,N/A,945.75
4337773_1,ER 23500 CLSD TRMT CLAVICULAR WO MANIP,Inpatient,0450,23500,Closed treatment of clavicular fracture; without manipulation,,0,975.00,975.00,858.00,1041.30,N/A,858.00,N/A,N/A,N/A,945.75
4337778_1,ER 24576 CLS TR HUMERAL CONDYLAR WO MAN,Emergency,0450,26600,"Closed treatment of metacarpal fracture, single; without manipulation, each bone",,0,520.00,520.00,457.60,556.40,556.40,457.60,520.00,0.00,N/A,504.40
4337778_1,ER 24576 CLS TR HUMERAL CONDYLAR WO MAN,Inpatient,0450,26600,"Closed treatment of metacarpal fracture, single; without manipulation, each bone",,0,520.00,520.00,457.60,556.40,N/A,457.60,N/A,N/A,N/A,504.40
4337790_1,ER 26010 DRAINAGE OF FINGER ABSCESS SIMP,Emergency,0450,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",,0,525.00,525.00,462.00,536.90,536.90,462.00,525.00,0.00,N/A,509.25
4337790_1,ER 26010 DRAINAGE OF FINGER ABSCESS SIMP,Inpatient,0450,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",,0,525.00,525.00,462.00,536.90,N/A,462.00,N/A,N/A,N/A,509.25
4337799_1,ER 26700 CLSD TRMT METACARPOPHA WO ANES,Emergency,0450,26700,"Closed treatment of metacarpophalangeal dislocation, single, with manipulation; without anesthesia",,0,970.00,970.00,853.60,1041.30,1041.30,853.60,970.00,0.00,N/A,940.90
4337799_1,ER 26700 CLSD TRMT METACARPOPHA WO ANES,Inpatient,0450,26700,"Closed treatment of metacarpophalangeal dislocation, single, with manipulation; without anesthesia",,0,970.00,970.00,853.60,1041.30,N/A,853.60,N/A,N/A,N/A,940.90
4337802_1,ER 26740 CLSD TRMT ARTICULAR FRACTURE,Emergency,0450,26740,"Closed treatment of articular fracture, involving metacarpophalangeal or interphalangeal joint; without manipulation, each",,0,970.00,970.00,853.60,1041.30,1041.30,853.60,970.00,0.00,N/A,940.90
4337802_1,ER 26740 CLSD TRMT ARTICULAR FRACTURE,Inpatient,0450,26740,"Closed treatment of articular fracture, involving metacarpophalangeal or interphalangeal joint; without manipulation, each",,0,970.00,970.00,853.60,1041.30,N/A,853.60,N/A,N/A,N/A,940.90
4337804_1,ER 26750 CLSD TRMT DISTAL PHLNGL FX WO MN,Emergency,0450,26750,"Closed treatment of distal phalangeal fracture, finger or thumb; without manipulation, each",,0,525.00,525.00,462.00,556.40,556.40,462.00,525.00,0.00,N/A,509.25
4337804_1,ER 26750 CLSD TRMT DISTAL PHLNGL FX WO MN,Inpatient,0450,26750,"Closed treatment of distal phalangeal fracture, finger or thumb; without manipulation, each",,0,525.00,525.00,462.00,556.40,N/A,462.00,N/A,N/A,N/A,509.25
4337807_1,ER 26770 CLSD TX INTERPHALANGE WO ANE,Emergency,0450,26770,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; without anesthesia",,0,1065.00,1065.00,937.20,1065.00,1041.30,937.20,1065.00,0.00,N/A,1033.05
4337807_1,ER 26770 CLSD TX INTERPHALANGE WO ANE,Inpatient,0450,26770,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; without anesthesia",,0,1065.00,1065.00,937.20,1065.00,N/A,937.20,N/A,N/A,N/A,1033.05
4337831_1,ER 27560 CLSD TX PATELLAR DSLC WO ANS,Emergency,0450,27560,Closed treatment of patellar dislocation; without anesthesia,,0,1085.00,1085.00,954.80,1085.00,1041.30,954.80,1085.00,0.00,N/A,1052.45
4337831_1,ER 27560 CLSD TX PATELLAR DSLC WO ANS,Inpatient,0450,27560,Closed treatment of patellar dislocation; without anesthesia,,0,1085.00,1085.00,954.80,1085.00,N/A,954.80,N/A,N/A,N/A,1052.45
4337859_1,ER 28515 FC CLSD TX PHALANX/PHALANG W MN,Emergency,0450,28515,"Closed treatment of fracture, phalanx or phalanges, other than great toe; with manipulation, each",,0,560.00,560.00,492.80,560.00,556.40,492.80,560.00,0.00,N/A,543.20
4337859_1,ER 28515 FC CLSD TX PHALANX/PHALANG W MN,Inpatient,0450,28515,"Closed treatment of fracture, phalanx or phalanges, other than great toe; with manipulation, each",,0,560.00,560.00,492.80,560.00,N/A,492.80,N/A,N/A,N/A,543.20
4337862_1,ER 29065 APPLICATION OF LONG ARM CAST,Emergency,0450,29065,"Application, cast; shoulder to hand (long arm)",,0,560.00,560.00,492.80,560.00,556.40,492.80,560.00,0.00,N/A,543.20
4337862_1,ER 29065 APPLICATION OF LONG ARM CAST,Inpatient,0450,29065,"Application, cast; shoulder to hand (long arm)",,0,560.00,560.00,492.80,560.00,N/A,492.80,N/A,N/A,N/A,543.20
4337863_1,ER 29075 APPLICATION OF FOREARM CAST,Emergency,0450,29075,"Application, cast; elbow to finger (short arm)",,0,535.00,535.00,470.80,556.40,556.40,470.80,535.00,0.00,N/A,518.95
4337863_1,ER 29075 APPLICATION OF FOREARM CAST,Inpatient,0450,29075,"Application, cast; elbow to finger (short arm)",,0,535.00,535.00,470.80,556.40,N/A,470.80,N/A,N/A,N/A,518.95
4337866_1,ER 29105 APPLY LONG ARM SPLINT,Emergency,0450,29105,Application of long arm splint (shoulder to hand),,0,300.00,300.00,264.00,300.00,296.40,264.00,300.00,0.00,N/A,291.00
4337866_1,ER 29105 APPLY LONG ARM SPLINT,Inpatient,0450,29105,Application of long arm splint (shoulder to hand),,0,300.00,300.00,264.00,300.00,N/A,264.00,N/A,N/A,N/A,291.00
4337867_1,ER 29125 APPLY FOREARM SPLINT,Emergency,0450,29125,Application of short arm splint (forearm to hand); static,,0,300.00,300.00,264.00,300.00,296.40,264.00,300.00,0.00,N/A,291.00
4337867_1,ER 29125 APPLY FOREARM SPLINT,Inpatient,0450,29125,Application of short arm splint (forearm to hand); static,,0,300.00,300.00,264.00,300.00,N/A,264.00,N/A,N/A,N/A,291.00
4337869_1,ER 29130 APPLICATION OF FINGER SPLINT,Emergency,0450,29130,Application of finger splint; static,,0,300.00,300.00,264.00,300.00,296.40,264.00,300.00,0.00,N/A,291.00
4337869_1,ER 29130 APPLICATION OF FINGER SPLINT,Inpatient,0450,29130,Application of finger splint; static,,0,300.00,300.00,264.00,300.00,N/A,264.00,N/A,N/A,N/A,291.00
4337870_1,ER 29131 SPLINT APPL FINGER DYNAMIC,Emergency,0450,29131,Application of finger splint; dynamic,,0,340.00,340.00,296.40,340.00,296.40,299.20,340.00,0.00,N/A,329.80
4337870_1,ER 29131 SPLINT APPL FINGER DYNAMIC,Inpatient,0450,29131,Application of finger splint; dynamic,,0,340.00,340.00,296.40,340.00,N/A,299.20,N/A,N/A,N/A,329.80
4337872_1,ER 29240 STRAPPING OF SHOULDER,Emergency,0450,29240,"Strapping; shoulder (eg, Velpeau)",,0,340.00,340.00,299.20,357.50,357.50,299.20,340.00,0.00,N/A,329.80
4337872_1,ER 29240 STRAPPING OF SHOULDER,Inpatient,0450,29240,"Strapping; shoulder (eg, Velpeau)",,0,340.00,340.00,299.20,357.50,N/A,299.20,N/A,N/A,N/A,329.80
4337877_1,ER 29425 APPL WALKING/AMBULATORY CAST,Emergency,0450,29425,Application of short leg cast (below knee to toes); walking or ambulatory type,,0,345.00,345.00,303.60,357.50,357.50,303.60,345.00,0.00,N/A,334.65
4337877_1,ER 29425 APPL WALKING/AMBULATORY CAST,Inpatient,0450,29425,Application of short leg cast (below knee to toes); walking or ambulatory type,,0,345.00,345.00,303.60,357.50,N/A,303.60,N/A,N/A,N/A,334.65
4337878_1,ER 29505 SPLINT APPL LONG LEG,Emergency,0450,29505,Application of long leg splint (thigh to ankle or toes),,0,300.00,300.00,264.00,300.00,296.40,264.00,300.00,0.00,N/A,291.00
4337878_1,ER 29505 SPLINT APPL LONG LEG,Inpatient,0450,29505,Application of long leg splint (thigh to ankle or toes),,0,300.00,300.00,264.00,300.00,N/A,264.00,N/A,N/A,N/A,291.00
4337879_1,ER 29515 APPLICATION LOWER LEG SPLINT,Emergency,0450,29515,Application of short leg splint (calf to foot),,0,300.00,300.00,264.00,300.00,296.40,264.00,300.00,0.00,N/A,291.00
4337879_1,ER 29515 APPLICATION LOWER LEG SPLINT,Inpatient,0450,29515,Application of short leg splint (calf to foot),,0,300.00,300.00,264.00,300.00,N/A,264.00,N/A,N/A,N/A,291.00
4337894_1,ER 32554 ASPIRATE PLEURA W/O IMAGING,Emergency,0450,32554,"Thoracentesis, needle or catheter, aspiration of the pleural space; without imaging guidance",,0,750.00,750.00,660.00,955.50,955.50,660.00,750.00,0.00,N/A,727.50
4337894_1,ER 32554 ASPIRATE PLEURA W/O IMAGING,Inpatient,0450,32554,"Thoracentesis, needle or catheter, aspiration of the pleural space; without imaging guidance",,0,750.00,750.00,660.00,955.50,N/A,660.00,N/A,N/A,N/A,727.50
4337904_1,ER 36680  PLACE NEEDLE INTRAOSSEOUS INFUS,Emergency,0450,36680,Placement of needle for intraosseous infusion,,0,100.00,100.00,88.00,100.00,N/A,88.00,100.00,0.00,N/A,97.00
4337904_1,ER 36680  PLACE NEEDLE INTRAOSSEOUS INFUS,Inpatient,0450,36680,Placement of needle for intraosseous infusion,,0,100.00,100.00,88.00,100.00,N/A,88.00,N/A,N/A,N/A,97.00
4337905_1,"ER 37195 Thrombolysis, cerebral, by intravenous infusion",Emergency,0450,37195,"Thrombolysis, cerebral, by intravenous infusion",,0,995.00,995.00,875.60,995.00,N/A,875.60,995.00,0.00,N/A,965.15
