object_number,accession_number,title,maker_full_name,culture,period,date_description,year_start,year_end,accession_year,category,materials,credit_line,inscriptions,dimensions,image_url,source_1,maker_birth_year,maker_death_year,institution_name,institution_city,institution_state,institution_country,institution_latitude,institution_longitude
460,93.1.147.B,Pin closure (?),Anonymous,,,,0,0,1993,fragment,bronze,"Found in the collection and catalogued, 1993",,"Overall: 2 1/16 in., 3/16 in. (5.2 cm, 0.4 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=460,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
462,M.2005.15.V,"Group Portrait in Garden (from ""The Hampton Project"")",Carrie Mae Weems,,,2000,2000,2000,2005,banner | photograph,digital photograph printed with water-soluble pigmented ink on muslin banner,"Museum purchase, Kathryn Hurd Fund",,Overall: 71 3/4 x 93 1/2 in. (182.2 x 237.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=462,https://github.com/wcmaart/collection, 1953,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
464,61.19.12,"Statuette of Isis, Standing with Feathered Crown",Egyptian|anonymous,"Egyptian, Greek",Ptolemaic,"Ptolemaic Period (310 BC - 30 BC), Ptolemaic Dynasty",-310,-30,1961,statuette,bronze,Gift of Horace Mayer,,"Overall: 3 1/2 in. (8.9 cm)
Base: 1 15/16 x 1 3/4 x 1 5/8 in. (5 x 4.4 x 4.1 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=464,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
465,82.26.36,Feet Movie,Rube Goldberg,,,,1883,1970,1982,drawing,pencil on paper,Gift of George W. George,,Overall: 8 15/16 x 11 7/16 in. (22.7 x 29 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=465,https://github.com/wcmaart/collection, 1883,1970,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
466,79.48.H,"Untitled, plate 4 (from ""Album"")",Allen Jones,,,1971,1971,1971,1979,lithograph,color lithograph on paper,"Gift of Richard J. DePiano, through the Martin S. Ackerman Foundation",l.l. in pencil: 17/75; l.r. in pencil: allenjones71,sheet: 25 3/16 x 18 7/8 in. (63.9 x 47.9 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=466,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
467,39.4.6,Side Chair,American,,,c. 1890-1920,1865,1920,1939,furniture,wood,"Bequest of Leonard Bronk Lampman, in memory of his uncles, E. E. Bronk, Class of 1850 and Leonard Bronk, Jr., Class of 1851",,"Overall: 37 13/16 x 21 1/4 x 17 1/2 in. (96 x 54 x 44.5 cm)
seat: 18 1/8 in. (46 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=467,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
468,39.4.3,Side Chair,American,,,c. 1890-1920,1890,1920,1939,furniture,wood | upholstery,"Bequest of Leonard Bronk Lampman, in memory of his uncles, E. E. Bronk, Class of 1850 and Leonard Bronk, Jr., Class of 1851",,"Overall: 37 13/16 x 21 1/4 x 16 in. (96 x 54 x 40.6 cm)
seat: 18 1/8 in. (46 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=468,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
469,79.61.J,"Untitled (from ""2 x 5 Trophies"")",Dieter Roth,,,1978,1978,1978,1979,lithograph,color lithograph on paper,"Gift of Donald Thal, through the Martin S. Ackerman Foundation",l.c. in pencil: DieterRoth 78; l.r. in pencil: 7/100,sheet: 19 11/16 x 13 7/8 in. (50 x 35.2 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=469,https://github.com/wcmaart/collection, 1930,1998,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
470,84.30.I,"Shad Tree in Bloom, Great Smoky Mountains (from ""Color Nature Landscapes I"")",Eliot Furness Porter,,,1968,1968,1968,1984,photograph,Cibachrome,Gift of William L. Sydney,l.r. in ink: Eliot Porter,"sheet: 24 5/16 x 20 3/8 in. (61.7 x 51.7 cm)
image: 19 9/16 x 15 13/16 in. (49.7 x 40.2 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=470,https://github.com/wcmaart/collection, 1901,1990,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
471,26.1.B,"Berkshire Hall (from ""Six Etchings of Williamstown"")",Louis Orr,,,1926,1926,1926,1926,etching,etching,Gift of the Class of 1896,l.r. in pencil: Louis Orr,"sheet: 21 5/8 x 15 1/4 in. (55 x 38.7 cm)
image: 8 1/4 x 5 7/8 in. (21 x 15 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=471,https://github.com/wcmaart/collection, 1879,1966,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
472,81.24.45,Text for cartoon,Rube Goldberg,,,c. 1960,1955,1965,1981,drawing,typewritten on paper,Gift of George W. George,,Overall: 7 7/8 x 8 9/16 in. (20 x 21.7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=472,https://github.com/wcmaart/collection, 1883,1970,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
473,74.17,Untitled,William Zorach,,,1918,1918,1918,1974,woodcut,woodcut on paper,Gift of Professor David Park,l.l. in pencil: Wm Zorach; l.r. in pencil: 1918--,"sheet: 7 1/16 x 5 7/8 in. (17.9 x 15 cm)
plate: 4 5/8 x 4 9/16 in. (11.8 x 11.6 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=473,https://github.com/wcmaart/collection, 1887,1966,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
476,68.17,"View from Rear Window, Gallery 291, Daytime",Alfred Stieglitz,,,1915,1915,1915,1968,photograph,platinum print,"Gift of John H. Rhoades, Class of 1934",verso l.l. in pencil: C,Overall: 10 x 7 15/16 in. (25.4 x 20.2 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=476,https://github.com/wcmaart/collection, 1864,1946,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
477,79.51.G,Siegfrieds Tod (from Ring),Fritz Wotruba,,,1967,1967,1967,1979,lithograph,lithograph,"Gift of Robert Levenberg, through the Martin S. Ackerman Foundation",l.r. in pencil: F Wotruba,Overall: 19 15/16 x 25 5/8 in. (50.7 x 65.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=477,https://github.com/wcmaart/collection, 1907,1975,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
478,79.51.K,Skizze I Erda (from Ring),Fritz Wotruba,,,1967,1967,1967,1979,lithograph,lithograph,"Gift of Robert Levenberg, through the Martin S. Ackerman Foundation",l.r. in pencil: F Wotruba,Overall: 19 15/16 x 25 5/8 in. (50.6 x 65.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=478,https://github.com/wcmaart/collection, 1907,1975,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
479,94.24.8,Jaguar Earrings,Joan Brown,,,,0,0,1994,jewelry,"18K vermeil, emerald",Gift of Carol and Saul Rosenzweig,,Overall: 2 x 1 1/2 in. (5.1 x 3.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=479,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
481,94.1.33,Bag,Anonymous,,,,0,0,1994,textile,cotton? | silk,"Found in the collection and catalogued, 1994",u.l. in pencil: 201/ 324; u.r. in pencil: 1/2 /102,Overall: 17 13/16 x 20 1/8 in. (45.3 x 51.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=481,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
482,38.4,"Corneille: Study for a Lunette in the Public Library, Detroit",Edwin Howland Blashfield,,,c. 1921-1922,1916,1922,1938,drawing,charcoal on paper,Gift of Mrs. Edwin Howland Blashfield,l.c. in pencil: Study for Corneille/ in Lunette THE POETS/ Detroit Public Library; l.r. in pencil: Edwin H. Blashfield,Overall: 31 3/4 x 23 13/16 in. (80.7 x 60.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=482,https://github.com/wcmaart/collection, 1848,1936,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
485,64.29.21,The Red Army is the sentry of the revolution,V. F. Stranich,,,1925,1925,1925,1964,poster,poster,"Gift of Telford Taylor, Class of 1928",,Overall: 39 13/16 x 26 3/16 in. (101.2 x 66.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=485,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
486,81.19.G,"Untitled (from ""Song of Songs Which is Solomon's"")",Michael Rothenstein,,,1979,1979,1979,1981,silkscreen,color silkscreen,"Gift of Robert J. Flamer, through the Martin S. Ackerman Foundation",l.l. in pencil: Michael/ Rothenstein.,Overall: 20 13/16 x 14 3/8 in. (52.9 x 36.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=486,https://github.com/wcmaart/collection, 1908,1993,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
487,EL.83.13.14,Flash Tester,Agfa-Ansco,,,,0,0,,flash tester,"metal, plastic and glass","On extended loan from Robert M. Dunn, Class of 1931",,,https://get-thumb.herokuapp.com/getThumb.php?objectid=487,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
488,39.1.365,¡Arriba España! Libre para siempre de las tirana marxista,Anonymous (Spanish),,,c. 1930-1940,1925,1940,1939,poster,poster,Anonymous gift,,Overall: 33 7/8 x 24 7/16 in. (86 x 62 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=488,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
490,83.18.3,"Illustration (for the ""Bhagavata Purana"")",Rajasthan,Indian,,ca. 1605-1610,1580,1610,1983,watercolor,opaque watercolor on paper,Gift of Wendy Findlay,in black and red ink: [calligraphic inscription]; u.r. in pencil: 10/3.7.80; verso in black and red ink: [calligraphic inscription],"sheet: 9 3/16 x 15 7/8 in. (23.3 x 40.4 cm)
image: 6 1/4 x 12 1/2 in. (15.9 x 31.8 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=490,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
491,79.61.F,"Untitled (from ""2 x 5 Trophies"")",Dieter Roth,,,1978,1978,1978,1979,lithograph,color lithograph on paper,"Gift of Donald Thal, through the Martin S. Ackerman Foundation",l.c. in pencil: DieterRoth 78; l.r. in pencil: 7/100,sheet: 19 11/16 x 13 3/4 in. (50 x 35 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=491,https://github.com/wcmaart/collection, 1930,1998,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
492,79.61.G,"Untitled (from ""2 x 5 Trophies"")",Dieter Roth,,,1978,1978,1978,1979,lithograph,color lithograph on paper,"Gift of Donald Thal, through the Martin S. Ackerman Foundation",c.l. in pencil: DieterRoth 78; l.r. in pencil: 7/100,sheet: 19 3/4 x 13 3/4 in. (50.1 x 34.9 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=492,https://github.com/wcmaart/collection, 1930,1998,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
493,53.27.B,St. Sebastian,Anonymous (Spanish),,,c. 1470-1495,1470,1495,1953,painting,oil on panel | gilt,"Gift of George Alfred Cluett, Class of 1896",,frame: 47 x 11 x 2 in. (119.4 x 27.9 x 5.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=493,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
494,96.35.11,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,,,published 1974,1974,1974,1996,photograph,gelatin silver print,Gift of James L. Melcher,verso l.r. in pencil: Elliott Erwitt; u.c. in pencil: 73-1-59/20  1 1/2f,"sheet: 10 15/16 x 13 7/8 in. (27.8 x 35.3 cm)
image: 7 15/16 x 11 15/16 in. (20.2 x 30.4 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=494,https://github.com/wcmaart/collection, 1928,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
495,96.35.13,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,,,published 1974,1974,1974,1996,photograph,gelatin silver print,Gift of James L. Melcher,verso u.r. in pencil: Elliott Erwitt; l.c. in pencil: 73-1-126/#6  #1FICT.,"sheet: 11 x 13 15/16 in. (27.9 x 35.4 cm)
image: 8 1/16 x 12 in. (20.4 x 30.5 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=495,https://github.com/wcmaart/collection, 1928,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
496,96.35.6,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,,,published 1974,1974,1974,1996,photograph,gelatin silver print,Gift of James L. Melcher,verso l.r. in pencil: Elliott Erwitt/ 71-1-14/8a,"sheet: 13 7/8 x 11 in. (35.3 x 27.9 cm)
image: 11 15/16 x 8 in. (30.3 x 20.3 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=496,https://github.com/wcmaart/collection, 1928,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
497,96.35.7,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,,,published 1974,1974,1974,1996,photograph,gelatin silver print,Gift of James L. Melcher,verso u.r. in pencil: Elliott Erwitt; l.c. in pencil: 72-1-37/#7A  NO [underlined] F.,"sheet: 10 15/16 x 13 7/8 in. (27.8 x 35.3 cm)
image: 8 x 11 15/16 in. (20.3 x 30.4 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=497,https://github.com/wcmaart/collection, 1928,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
498,65.7.D,"James Bond Meets Pussy Galore (from ""New York Ten"")",Nicholas Krushenick,,,1965,1965,1965,1965,serigraph,color serigraph on paper,"Museum purchase, Museum Loan Fund",l.l. in pencil: 32/200; l.r. in pencil: Nicholas Krushenick 1964,Overall: 21 7/8 x 16 7/8 in. (55.6 x 42.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=498,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
500,83.34.15.I,"Rome: Arch of Constantine 10 (from ""75th Anniversary Portfolio"")",Aaron Siskind,,,1963,1963,1963,1983,photograph,gelatin silver print,"Gift of Tennyson Schad, Class of 1952",on border l.l. in ink: Rome: Arch of Constantine 10 1963; on border l.r. in ink: Aaron Siskind,"sheet: 19 13/16 x 16 in. (50.4 x 40.7 cm)
image: 17 1/8 x 13 7/8 in. (43.5 x 35.2 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=500,https://github.com/wcmaart/collection, 1903,1991,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
501,83.34.15.K,"Louise 30 (from ""75th Anniversary Portfolio"")",Aaron Siskind,,,1974,1974,1974,1983,photograph,gelatin silver print,"Gift of Tennyson Schad, Class of 1952",on border l.l. in ink: Louise 30 1974; on border l.r. in ink: Aaron Siskind,"sheet: 13 15/16 x 10 15/16 in. (35.4 x 27.8 cm)
image: 9 1/2 x 9 1/2 in. (24.1 x 24.1 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=501,https://github.com/wcmaart/collection, 1903,1991,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
503,91.38,Survey 1986,various artists,,,,1986,1986,1991,portfolio; photographs,photographs,Gift of Mr. and Mrs. Gerald S. Fine,,,https://get-thumb.herokuapp.com/getThumb.php?objectid=503,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
504,96.35.9,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,,,published 1974,1974,1974,1996,photograph,gelatin silver print,Gift of James L. Melcher,verso l.r. in pencil: Elliott Erwitt/ 72-1-52/#2  #2FICT.,"sheet: 11 x 13 7/8 in. (27.9 x 35.3 cm)
image: 8 1/16 x 12 1/16 in. (20.4 x 30.6 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=504,https://github.com/wcmaart/collection, 1928,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
506,74.7.B,"Dust (from ""Earth Projects"")",Robert Morris,,,1969,1969,1969,1974,lithograph,color lithograph,"Museum purchase, Karl E. Weston Memorial Fund
Ruth Sabin Weston Fund
Greylock Foundation",l.l. in pencil: 5/125; l.r. in pencil: R.Morris/ 69; verso l.c. in pencil: A#8,Overall: 21 15/16 x 29 15/16 in. (55.7 x 76 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=506,https://github.com/wcmaart/collection, 1931,2018,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
507,74.7.D,"Piles and Pits (from ""Earth Projects"")",Robert Morris,,,1969,1969,1969,1974,lithograph,color lithograph,"Museum purchase, Karl E. Weston Memorial Fund
Ruth Sabin Weston Fund
Greylock Foundation",l.l. in pencil: 5/125; l.r. in pencil: RMorris/ 69; verso l.c. in pencil: A#5,Overall: 22 1/16 x 29 15/16 in. (56.1 x 76 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=507,https://github.com/wcmaart/collection, 1931,2018,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
508,84.29,The Bearing of the Cross,Albrecht Glockendon,,,1510,1510,1510,1984,engraving,engraving on paper,Gift of Peter H. Davidson,l.c. in brown ink: Albert Glockenthon [illegible word] 1510,Overall: 11 1/2 x 16 1/2 in. (29.2 x 41.9 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=508,https://github.com/wcmaart/collection, 1400,1499,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
509,84.30,Color Nature Landscapes I,various artists,,,,0,0,1984,portfolio; photographs,photographs,Gift of William L. Sydney,,,https://get-thumb.herokuapp.com/getThumb.php?objectid=509,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
510,84.30.C,"Paesaggio, Lucania (from ""Color Nature Landscapes I"")",Franco Fontana,,,1978,1978,1978,1984,photograph,Cibachrome,Gift of William L. Sydney,l.l. in ink: Landscape 1978; l.r. in ink: Franco Fontana,"sheet: 19 9/16 x 23 5/8 in. (49.7 x 60 cm)
image: 13 1/4 x 20 1/16 in. (33.7 x 50.9 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=510,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
511,79.60.K,"Untitled (from ""2 x 5 Bats"")",Dieter Roth,,,1978,1978,1978,1979,lithograph,color lithograph on paper,"Gift of Gary Tearston, through Martin S. Ackerman Foundation",l.l. in pencil: DieterRoth78; l.r. in pencil: 96/100,sheet: 19 3/4 x 13 13/16 in. (50.2 x 35.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=511,https://github.com/wcmaart/collection, 1930,1998,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
513,DF.15,Moses and the Brazen Serpent,Anonymous (French),,,,1800,1899,1928,drawing,pen and ink with wash on paper,"Gift of Frank Jewett Mather, Class of 1889, in 1928",,Overall: 5 5/8 x 8 11/16 in. (14.3 x 22 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=513,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
514,65.7.J,"Still Life (from ""New York Ten"")",Tom Wesselmann,,,1965,1965,1965,1965,print,embossed print with pencil drawing on paper,"Museum purchase, Museum Loan Fund",l.l. in pencil: 32/200; l.r. in pencil: Wesselman 65,Overall: 17 x 21 15/16 in. (43.2 x 55.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=514,https://github.com/wcmaart/collection, 1931,2004,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
515,65.7.B,"Self-Portrait (Zinc & Acid) (from ""New York Ten"")",Jim Dine,,,1964,1964,1964,1965,etching,etching on paper,"Museum purchase, Museum Loan Fund",l.l. in pencil: 32/200 Jim Dine 1964,"frame: 28 15/16 x 19 in. (73.5 x 48.2 cm)
plate: 17 1/2 x 13 11/16 in. (44.5 x 34.8 cm)
sheet: 22 1/16 x 16 7/8 in. (56 x 42.8 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=515,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
516,65.7.F,"Untitled #1, 1964 (from ""New York Ten"")",Mon Levinson,,,1965,1965,1965,1965,serigraph,serigraph,"Museum purchase, Museum Loan Fund",verso on backing stamped: NOTICE/ THIS PRINT WAS MATTED WITH ALL/ RAG MUSEUM BOARD.,"image: 14 3/4 x 11 7/8 in. (37.5 x 30.2 cm)
frame: 22 9/16 x 17 1/2 in. (57.3 x 44.4 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=516,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
517,65.7.H,"Pizza (from ""New York Ten"")",Claes Oldenburg,,,1964,1964,1964,1965,lithograph,color lithograph on paper,"Museum purchase, Museum Loan Fund",l.l. in pencil: 32/200; l.r. in pencil: Claes Oldenburg,sheet: 16 15/16 x 22 in. (43.1 x 55.9 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=517,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
518,92.5.12,Untitled plate from a set of prints of architectural ornament,Anonymous,,,,0,0,1992,engraving,engraving and mezzotint,"Found in the collection and catalogued, 1992",l.l. in pencil: 6m [illegible],"sheet: 33 7/8 x 27 7/8 in. (86.1 x 70.8 cm)
image: 28 3/4 x 23 1/8 in. (73 x 58.8 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=518,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
519,92.22.35,"Philadelphia, PA c. 1937",Louis Faurer,,,negative c.1937; printed 1980,1933,1980,1992,photograph,gelatin silver print,Gift of Tennyson and Fern Schad,verso c. in pencil: Louis Faurer; verso c. in another hand: Phila Pa/ c 1937/ c(encircled) 1980,"sheet: 13 7/8 x 10 13/16 in. (35.2 x 27.5 cm)
image: 8 x 8 1/16 in. (20.3 x 20.4 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=519,https://github.com/wcmaart/collection, 1916,2001,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
520,57.27,A Volume Containing Nine Matted Drawings Presented to Charles Eliot Norton (LEAD SCREEN),John Ruskin,,,,1819,1900,1957,portfolio of drawings,9 drawings,"Bequest of Frank Jewett Mather, Jr., Class of 1889",first page u.c. in ink: John Ruskin/ to/ C. E. N. [underlined]/ 1892.[underlined]; first page verso u.l. in ink: Bought from Miss Elisabeth Norton/ June 1943. F.J.M.Jr.,,https://get-thumb.herokuapp.com/getThumb.php?objectid=520,https://github.com/wcmaart/collection, 1819,1900,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
521,57.27.G,Rome,John Ruskin,,,1872,1872,1872,1957,drawing,pencil on tan paper,"Bequest of Frank Jewett Mather, Jr., Class of 1889","l.r. in pencil: J. Ruskin. ROME. 17th May, 72",image: 8 11/16 x 5 5/16 in. (22.1 x 13.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=521,https://github.com/wcmaart/collection, 1819,1900,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
524,84.30.E,"Frozen Stream with Dormant Tree and Shadows (from ""Color Nature Landscapes I"")",William A. Garnett,,,1966,1966,1966,1984,photograph,Cibachrome,Gift of William L. Sydney,l.r. in ink: Garnett,"sheet: 20 x 24 in. (50.8 x 61 cm)
image: 13 3/8 x 19 5/8 in. (34 x 49.9 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=524,https://github.com/wcmaart/collection, 1916,2006,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
525,26.1.G,"Stetson Hall West Facade (from ""Six Etchings of Williamstown"")",Louis Orr,,,1926,1926,1926,1926,etching,etching on paper,Gift of the Class of 1896,in plate l.l.: [copyright symbol] LouisOrr; l.r. in pencil: Louis Orr; verso u.c. frame label: [Kennedy & Co.],"plate: 9 3/16 x 6 1/2 in. (23.3 x 16.5 cm)
frame: 18 11/16 x 13 7/8 in. (47.4 x 35.3 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=525,https://github.com/wcmaart/collection, 1879,1966,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
527,62.11,Hispano-Moresque Plate,Spanish,,,c. 1500-1520,1500,1520,1962,ceramics,Majolica,Gift of Mrs. Davenport West,bottom on sticker in ink: A/ 5427/ XVII/ CAE-; under rim: [blank sticker],"rim: 14 15/16 in. (38 cm)
Overall: 2 3/16 in. (5.5 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=527,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
528,91.43.29,"Don't Slip, Adlai!",Rube Goldberg,,,,1883,1970,1991,drawing,ink and white gouache on paper,"Gift of George W. George, Class of 1941",,Overall: 18 9/16 x 14 3/16 in. (47.2 x 36 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=528,https://github.com/wcmaart/collection, 1883,1970,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
530,81.19.E,"Untitled (from ""Song of Songs Which is Solomon's"")",Michael Rothenstein,,,1979,1979,1979,1981,silkscreen,color silkscreen,"Gift of Robert J. Flamer, through the Martin S. Ackerman Foundation",l.l. in pencil: Michael Rothenstein,Overall: 20 3/4 x 14 3/8 in. (52.7 x 36.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=530,https://github.com/wcmaart/collection, 1908,1993,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
