Institution,Institution Type,County,Fiscal Year,Date,Corrections Population,Address + Lat/Long
Somerset (SMR),State Correctional Institution,Somerset,FY 2015-2016,01/31/2016,2402,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2016-2017,05/31/2017,12,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Forest (FRS),State Correctional Institution,Forest,FY 2014-2015,06/30/2015,2299,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
In Federal Prisons,Federal Prisons,N/A,FY 2015-2016,03/31/2016,7,"N/A
N/A, N/A N/A"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,06/30/2018,121,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2015-2016,01/31/2016,138,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,04/30/2017,3290,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
In Federal Prisons,Federal Prisons,N/A,FY 2017-2018,03/31/2018,8,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2016-2017,05/31/2017,1372,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Forest (FRS),State Correctional Institution,Forest,FY 2016-2017,04/30/2017,2369,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2016-2017,02/28/2017,1400,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2017-2018,01/31/2018,1541,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,01/31/2017,2406,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,01/31/2019,110,"N/A
N/A, N/A N/A"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,01/31/2019,2343,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Mercer (MER),State Correctional Institution,Mercer,FY 2015-2016,02/29/2016,1488,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2016-2017,08/31/2016,164,"N/A
N/A, N/A N/A"
Benner Township (BEN),State Correctional Institution,Centre,FY 2015-2016,02/29/2016,2089,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2017-2018,03/31/2018,233,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2015-2016,04/30/2016,2321,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2017-2018,05/31/2018,1459,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2017-2018,07/31/2017,507,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Rockview (ROC),State Correctional Institution,Centre,FY 2016-2017,01/31/2017,2359,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2017-2018,10/31/2017,1358,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,10/31/2018,1239,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2015-2016,07/31/2015,2012,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Albion (ALB),State Correctional Institution,Erie,FY 2018-2019,07/31/2018,2295,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2016-2017,05/31/2017,2073,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2017-2018,11/30/2017,1576,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,04/30/2016,2377,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2016-2017,11/30/2016,1132,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2015-2016,04/30/2016,304,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2016-2017,09/30/2016,1389,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,09/30/2018,1123,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2017-2018,12/31/2017,2161,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,12/31/2018,1233,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2015-2016,09/30/2015,1995,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2017-2018,11/30/2017,1211,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,11/30/2017,1346,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,07/31/2016,1435,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2015-2016,07/31/2015,334,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2014-2015,06/30/2015,3541,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2017-2018,02/28/2018,2320,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,11/30/2018,8,"N/A
N/A, N/A N/A"
Greene (GRN),State Correctional Institution,Greene,FY 2015-2016,10/31/2015,1747,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,06/30/2017,1425,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Chester (CHS),State Correctional Institution,Delaware,FY 2018-2019,11/30/2018,1291,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2016-2017,04/30/2017,1401,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,07/31/2018,113,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2017-2018,11/30/2017,2568,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,12/31/2015,226,"N/A
N/A, N/A N/A"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2016-2017,09/30/2016,1577,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,12/31/2018,124,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2018-2019,11/30/2018,1449,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2018-2019,11/30/2018,2374,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,04/30/2018,1411,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2015-2016,03/31/2016,3241,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2015-2016,06/30/2016,1116,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2015-2016,03/31/2016,2384,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,04/30/2017,1417,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2015-2016,02/29/2016,2000,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2018-2019,07/31/2018,1425,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2015-2016,02/29/2016,148,"N/A
N/A, N/A N/A"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2016-2017,05/31/2017,268,"N/A
N/A, N/A N/A"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2018-2019,08/31/2018,1226,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,10/31/2018,1480,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2018-2019,12/31/2018,1436,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2015-2016,03/31/2016,2319,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,09/30/2018,105,"N/A
N/A, N/A N/A"
Fayette (FYT),State Correctional Institution,Fayette,FY 2016-2017,04/30/2017,2133,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2016-2017,11/30/2016,1151,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,09/30/2015,254,"N/A
N/A, N/A N/A"
Rockview (ROC),State Correctional Institution,Centre,FY 2016-2017,03/31/2017,2388,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2015-2016,05/31/2016,1847,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2015-2016,02/29/2016,101,"N/A
N/A, N/A N/A"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2018-2019,07/31/2018,1230,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2014-2015,06/30/2015,482,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2016-2017,11/30/2016,461,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2015-2016,10/31/2015,1699,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2018-2019,08/31/2018,3541,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,11/30/2015,231,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2018-2019,07/31/2018,56,"N/A
N/A, N/A N/A"
Albion (ALB),State Correctional Institution,Erie,FY 2015-2016,12/31/2015,2242,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2017-2018,12/31/2017,1120,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2015-2016,01/31/2016,1114,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2015-2016,10/31/2015,2377,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2014-2015,06/30/2015,2271,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2016-2017,06/30/2017,1393,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Chester (CHS),State Correctional Institution,Delaware,FY 2015-2016,03/31/2016,1264,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2015-2016,02/29/2016,1401,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2016-2017,08/31/2016,3055,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,01/31/2019,2143,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Mercer (MER),State Correctional Institution,Mercer,FY 2017-2018,10/31/2017,1490,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2015-2016,05/31/2016,926,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2015-2016,07/31/2015,95,"N/A
N/A, N/A N/A"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2016-2017,07/31/2016,233,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2015-2016,01/31/2016,2293,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2016-2017,12/31/2016,2088,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2015-2016,08/31/2015,1187,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2015-2016,12/31/2015,2050,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2015-2016,06/30/2016,2067,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
In Federal Prisons,Federal Prisons,N/A,FY 2017-2018,04/30/2018,8,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2016-2017,04/30/2017,2371,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2015-2016,07/31/2015,2480,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,12/31/2018,134,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2015-2016,12/31/2015,2505,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2018-2019,09/30/2018,1430,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
In Federal Prisons,Federal Prisons,N/A,FY 2015-2016,07/31/2015,6,"N/A
N/A, N/A N/A"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2017-2018,08/31/2017,1197,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2018-2019,10/31/2018,57,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2016-2017,09/30/2016,2440,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2015-2016,06/30/2016,2270,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,08/31/2017,1369,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2017-2018,02/28/2018,2372,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2015-2016,01/31/2016,129,"N/A
N/A, N/A N/A"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2016-2017,09/30/2016,3301,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2015-2016,07/31/2015,1184,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
In County Jails,County Jails,N/A,FY 2018-2019,09/30/2018,341,"N/A
N/A, N/A N/A"
Retreat (RET),State Correctional Institution,Luzerne,FY 2017-2018,08/31/2017,1130,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2016-2017,02/28/2017,447,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2018-2019,07/31/2018,2074,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Chester (CHS),State Correctional Institution,Delaware,FY 2015-2016,04/30/2016,1258,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2018-2019,08/31/2018,485,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Chester (CHS),State Correctional Institution,Delaware,FY 2017-2018,09/30/2017,1310,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2017-2018,07/31/2017,3343,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2017-2018,05/31/2018,2162,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2015-2016,11/30/2015,1111,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2016-2017,10/31/2016,99,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2016-2017,12/31/2016,2420,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2017-2018,10/31/2017,1205,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Rockview (ROC),State Correctional Institution,Centre,FY 2016-2017,09/30/2016,2367,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2016-2017,12/31/2016,949,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2016-2017,08/31/2016,2458,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,10/31/2016,99,"N/A
N/A, N/A N/A"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,02/29/2016,2390,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2017-2018,06/30/2018,1123,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2016-2017,03/31/2017,769,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2015-2016,01/31/2016,461,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2017-2018,01/31/2018,2169,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2016-2017,10/31/2016,298,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2015-2016,04/30/2016,1404,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2015-2016,04/30/2016,1120,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2016-2017,05/31/2017,129,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2017-2018,02/28/2018,2389,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Greene (GRN),State Correctional Institution,Greene,FY 2015-2016,05/31/2016,1732,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2017-2018,07/31/2017,133,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2016-2017,08/31/2016,496,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2016-2017,10/31/2016,1417,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,11/30/2018,2376,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Albion (ALB),State Correctional Institution,Erie,FY 2016-2017,04/30/2017,2276,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2015-2016,08/31/2015,2083,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2015-2016,03/31/2016,94,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2015-2016,08/31/2015,2133,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2018-2019,11/30/2018,2175,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2017-2018,09/30/2017,1140,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2017-2018,01/31/2018,2556,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2015-2016,01/31/2016,1400,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2016-2017,11/30/2016,2149,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Greene (GRN),State Correctional Institution,Greene,FY 2016-2017,11/30/2016,1737,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2015-2016,11/30/2015,3468,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2017-2018,12/31/2017,2097,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2017-2018,08/31/2017,2146,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2015-2016,09/30/2015,299,"N/A
N/A, N/A N/A"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2017-2018,09/30/2017,2185,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2017-2018,09/30/2017,3244,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2015-2016,10/31/2015,1027,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Chester (CHS),State Correctional Institution,Delaware,FY 2016-2017,04/30/2017,1300,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,02/28/2017,109,"N/A
N/A, N/A N/A"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2016-2017,06/30/2017,3619,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,07/31/2016,2398,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2016-2017,01/31/2017,1136,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,10/31/2016,2416,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2017-2018,09/30/2017,2153,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2015-2016,12/31/2015,447,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2015-2016,03/31/2016,1110,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2017-2018,08/31/2017,2512,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2017-2018,01/31/2018,2185,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2016-2017,09/30/2016,2168,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,01/31/2019,1779,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,09/30/2015,2365,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Mercer (MER),State Correctional Institution,Mercer,FY 2015-2016,11/30/2015,1430,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
