name,city,state,address,zip,website,category,public_private,district,lat,lon
TIMOTHY BALL ELEMENTARY SCHOOL,CROWN POINT,IN,720 W SUMMIT ST,46307,https://tball.cps.k12.in.us/,ELEMENTARY,PUBLIC,CROWN POINT COMMUNITY SCHOOL CORPORATION,41.428223,-87.37515
TIMOTHY CHRISTIAN ACADEMY,EASTAMPTON,NJ,1341 WOODLANE RD,08060,https://www.timothychristianacademy.com/,ELEMENTARY,PRIVATE,,40.003403,-74.753136
TIMOTHY CHRISTIAN SCHOOL,PISCATAWAY,NJ,2008 ETHEL RD,08854,,K-12,PRIVATE,,40.533722,-74.41863
TIMOTHY CHRISTIAN SCHOOL,WELLSBURG,IA,18000 D AVE,50680,,ELEMENTARY,PRIVATE,,42.433582,-92.963936
TIMOTHY CHRISTIAN SCHOOLS,ELMHURST,IL,188 W BUTTERFIELD RD,60126,https://www.timothychristian.com/,K-12,PRIVATE,,41.865498,-87.94321
TIMOTHY EDWARDS SCHOOL,SOUTH WINDSOR,CT,100 ARNOLD WAY,06074,http://www.southwindsorschools.org/page.cfm?p=82,MIDDLE,PUBLIC,SOUTH WINDSOR SCHOOL DISTRICT,41.82643,-72.52526
TIMOTHY ELEMENTARY SCHOOL,ATHENS,GA,1900 TIMOTHY RD,30606,https://www.clarke.k12.ga.us/timothy,ELEMENTARY,PUBLIC,CLARKE COUNTY,33.937405,-83.445854
TIMOTHY L JOHNSON ACADEMY,FORT WAYNE,IN,4625 WERLING DR,46806,https://www.phalenacademies.org/tlj,ELEMENTARY,PUBLIC,TIMOTHY L JOHNSON ACADEMY,41.039196,-85.10512
TIMOTHY LUTHERAN PRESCHOOL,WOODSTOCK,GA,556 ARNOLD MILL RD,30188,,ELEMENTARY,PRIVATE,,34.11489,-84.459656
TIMOTHY LUTHERAN SCHOOL,BLUE SPRINGS,MO,301 SW WYATT RD,64014,https://www.timothylutheranschool.com/,ELEMENTARY,PRIVATE,,39.02009,-94.28291
TIMOTHY MURPHY,SAN RAFAEL,CA,1 ST. VINCENT DR.,94903,http://timothymurphyschool.org/,HIGH,PRIVATE,MILLER CREEK ELEMENTARY,38.034523,-122.5266
TIMOTHY MURPHY SCHOOL,SAN RAFAEL,CA,ONE SAINT VINCENT DR,94903,,K-12,PRIVATE,,38.03475,-122.525826
TIMOTHY RIX ELEMENTARY,FREMONT,CA,43100 ISLE ROYAL ST.,94538,,,PUBLIC,FREMONT UNIFIED,37.513588,-121.968506
TIMPANOGOS ACADEMY,LINDON,UT,70 S 100 E,84042,https://www.timpacademy.org,ELEMENTARY,PUBLIC,TIMPANOGOS ACADEMY,40.337154,-111.7127
TIMPANOGOS HIGH,OREM,UT,1450 N 200 E,84057,http://timpanogos.alpinedistrict.org/,HIGH,PUBLIC,ALPINE DISTRICT,40.322956,-111.6915
TIMPANOGOS INTERMEDIATE,HEBER CITY,UT,200 E 800 S,84032,https://www.wasatch.edu/timp/site/default.asp,,PUBLIC,WASATCH DISTRICT,40.497284,-111.41034
TIMPANOGOS MIDDLE SCHOOL,HEBER CITY,UT,1441 EAST 980 SOUTH,84032,https://www.wasatch.edu/domain/1573,MIDDLE,PUBLIC,WASATCH DISTRICT,40.49691,-111.39242
TIMPANOGOS SCHOOL,PROVO,UT,449 N 500 W,84601,http://www.timpanogos.provo.edu/site_home/home.htm,ELEMENTARY,PUBLIC,PROVO DISTRICT,40.239693,-111.66818
TIMPANY CENTER,SAN JOSE,CA,730 EMPEY WAY,95118,https://www.sjsu.edu/timpany/location/,,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,37.31374,-121.93709
TIMPSON EL,TIMPSON,TX,836 BEAR DR,75975,https://es.timpsonisd.com/,ELEMENTARY,PUBLIC,TIMPSON INDEPENDENT SCHOOL DISTRICT,31.906391,-94.389595
TIMPSON MIDDLE,TIMPSON,TX,836 BEAR DR,75975,https://ms.timpsonisd.com,,PUBLIC,TIMPSON INDEPENDENT SCHOOL DISTRICT,31.906384,-94.389565
TIMPSON SCHOOL,TIMPSON,TX,836 BEAR DR,75975,https://www.timpsonisd.com,OTHER,PUBLIC,TIMPSON INDEPENDENT SCHOOL DISTRICT,31.906471,-94.38961
TIMPVIEW HIGH,PROVO,UT,3570 N 650 E,84604,https://www.timpview.provo.edu/,HIGH,PUBLIC,PROVO DISTRICT,40.280125,-111.64626
TIMUCUAN ELEMENTARY SCHOOL,JACKSONVILLE,FL,5429 110TH ST,32244,http://www.duvalschools.org/timucuan,ELEMENTARY,PUBLIC,DUVAL,30.24178,-81.723045
TINA-AVALON ELEM.,TINA,MO,11896 HWY 65,64682,http://tinaavalon.k12.mo.us/,ELEMENTARY,PUBLIC,TINA-AVALON R-II,39.587204,-93.47643
TINA-AVALON HIGH,TINA,MO,11896 HWY 65,64682,http://tinaavalon.k12.mo.us/,HIGH,PUBLIC,TINA-AVALON R-II,39.587223,-93.47644
TINC RD. ELEMENTARY SCHOOL,FLANDERS,NJ,24 TINC ROAD,07836,https://motsd.org/trs/,ELEMENTARY,PUBLIC,MOUNT OLIVE TOWNSHIP SCHOOL DISTRICT,40.848137,-74.72289
TINCHER PREPARATORY,LONG BEACH,CA,1701 PETALUMA AVE.,90815,https://lbtincher.schoolloop.com/,ELEMENTARY,PUBLIC,LAKE ORION COMMUNITY SCHOOLS,33.787483,-118.1009
TINDLEY COLLEGIATE ACADEMY,INDIANAPOLIS,IN,4020 MEADOWS PKY,46205,https://www.tindley.org/,MIDDLE,PUBLIC,,39.82979,-86.11452
TINDLEY GENESIS ACADEMY,INDIANAPOLIS,IN,2540 NORTH CAPITOL AVENUE,46205,https://genesis.tindley.org/,ELEMENTARY,PUBLIC,TINDLEY GENESIS ACADEMY,39.80373,-86.16182
TINDLEY PREPARATORY ACADEMY,INDIANAPOLIS,IN,4010 SHERMAN DRIVE,46205,https://www.tindley.org/,MIDDLE,PUBLIC,,39.829716,-86.11453
TINDLEY RENAISSANCE ACADEMY,INDIANAPOLIS,IN,4020 SHERMAN DR,46226,,ELEMENTARY,PUBLIC,KENTUCKY TECH SYSTEM,39.83063,-86.10588
TINDLEY SUMMIT ACADEMY,INDIANAPOLIS,IN,4002 N FRANKLIN RD,46226,https://summit.tindley.org/,ELEMENTARY,PUBLIC,TINDLEY SUMMIT ACADEMY,39.83049,-86.028206
TINICUM EL SCH,PIPERSVILLE,PA,162 E DARK HOLLOW RD,18947,http://palisadessd.org/domain/387,ELEMENTARY,PUBLIC,PALISADES SCHOOL DISTRICT,40.471085,-75.09243
TINICUM SCH,ESSINGTON,PA,FIRST & SENECA STREETS,19029,https://www.interborosd.org/ts,ELEMENTARY,PUBLIC,INTERBORO SCHOOL DISTRICT,39.87017,-75.291084
TINKER BELL DAYCARE,PORTSMOUTH,VA,21 MOHICAN DR,23701,http://tinkerbelldaycare.com/,ELEMENTARY,PRIVATE,,36.81337,-76.36512
TINKER ES,OKLAHOMA CITY,OK,4500 TINKER ROAD,73135,https://www.mid-del.net,ELEMENTARY,PUBLIC,MIDWEST CITY-DEL CITY,35.41967,-97.41761
TINKER K-8 SCHOOL,TAMPA,FL,8207 TINKER ST MACDILL AFB,33621,https://www.sdhc.k12.fl.us/,ELEMENTARY,PUBLIC,HILLSBOROUGH,27.847244,-82.47923
TINKHAM ALTERNATIVE EDUCATION,WAYNE,MI,3001 FOURTH ST,48184,http://wwcsd.net/tinkham-alt/,HIGH,PUBLIC,WAYNE-WESTLAND COMMUNITY SCHOOL DISTRICT,42.287403,-83.377426
TINLEY PARK HIGH SCHOOL,TINLEY PARK,IL,6111 175TH ST,60477,https://tinley.bhsd228.com/,HIGH,PUBLIC,BREMEN CHSD 228,41.572517,-87.767105
TINMOUTH ELEMENTARY SCHOOL,TINMOUTH,VT,573 ROUTE 140,05773,http://www.rssu.org/tinmouth/,ELEMENTARY,PUBLIC,MILL RIVER UNIFIED SCHOOL DISTRICT,43.44961,-73.051125
TINORA ELEMENTARY SCHOOL,DEFIANCE,OH,5751 DOMERSVILLE RD,43512,https://www.tinora.org/page/tinora-elementary,ELEMENTARY,PUBLIC,NORTHEASTERN LOCAL,41.358704,-84.32245
TINORA HIGH SCHOOL,DEFIANCE,OH,5921 DOMERSVILLE RD,43512,https://www.tinora.org/,HIGH,PUBLIC,NORTHEASTERN LOCAL,41.356453,-84.32271
TINORA JUNIOR HIGH SCHOOL,DEFIANCE,OH,5921 DOMERSVILLE RD,43512,https://www.tinora.org/page/tinora-middle-school,MIDDLE,PUBLIC,NORTHEASTERN LOCAL,41.355865,-84.3229
TINSLEY EL,HOUSTON,TX,11035 BOB WHITE,77096,https://www.houstonisd.org,ELEMENTARY,PUBLIC,HOUSTON INDEPENDENT SCHOOL DISTRICT,29.65881,-95.49973
TINT SCHOOL OF MAKEUP & COSMETOLOGY-SEATTLE,SEATTLE,WA,300 PINE STREET,98101,tintseattlecosmetologyschool.com,COSMETOLOGY AND BARBER SCHOOLS,,,47.61161,-122.3387
TINT SCHOOL OF MAKEUP AND COSMETOLOGY-DALLAS,GRAND PRAIRIE,TX,311 A E PIONEER PKWY HWY 303,75051,www.tintschoolofmakeupandcosmetology.com,COSMETOLOGY AND BARBER SCHOOLS,,,32.708286,-97.00167
TINT SCHOOL OF MAKEUP AND COSMETOLOGY-IRVING,IRVING,TX,2716 W. IRVING BLVD,75061,www.tintschoolofmakeupandcosmetology.com,COSMETOLOGY AND BARBER SCHOOLS,,,32.829624,-96.98072
TINTIC HIGH,EUREKA,UT,525 E MAIN,84628,http://www.tintic.k12.ut.us/ths/ths/index.htm,HIGH,PUBLIC,TINTIC DISTRICT,39.95918,-112.10483
TINTIC PRESCHOOL,EUREKA,UT,55 E MAIN,84628,https://www.tintic.org/,PREKINDERGARTEN,PUBLIC,TINTIC DISTRICT,39.956417,-112.11327
TINTON FALLS MIDDLE SCHOOL,TINTON FALLS,NJ,674 TINTON AVENUE,07724,https://www.tfschools.org/domain/109,MIDDLE,PUBLIC,TINTON FALLS SCHOOL DISTRICT,40.302525,-74.0989
TINY MIRACLES LEARNING CENTER,PRIMOS,PA,101 S OAK AVE,19018,,ELEMENTARY,PRIVATE,,39.92569,-75.30104
TINY SMILE LEARNING CENTER,HIALEAH,FL,10550 NW 77TH CT UNIT 208-212,33016,,ELEMENTARY,PRIVATE,,25.869184,-80.325066
TINY STEPS DAYCARE LEARNING CENTER,MIAMI,FL,7121 W FLAGLER ST,33144,,ELEMENTARY,PRIVATE,,25.770536,-80.31
TINY TREASURE CHRISTIAN ACADEMY,LOS ANGELES,CA,7526 S. WESTERN AVE.,90047,,ELEMENTARY,PRIVATE,LOS ANGELES UNIFIED,33.97111,-118.30879
TINY TURTLES PRESCHOOL,BELCOURT,ND,1221 WILLIAM HARDESTY STREET,58316,https://www.belcourt.k12.nd.us,PREKINDERGARTEN,PUBLIC,BELCOURT 7,48.83635,-99.75737
TINY TYKES ACADEMY,HOMESTEAD,FL,18 NE 6TH ST,33030,https://www.tinytykesacademy.org/,ELEMENTARY,PRIVATE,,25.47471,-80.47771
TIOGA COMMUNITY,LEE VINING,CA,132 LEE VINING AVE.,93541,https://www.monocoe.org,HIGH,PUBLIC,FRIENDSHIP PUBLIC CHARTER SCHOOLS,37.955734,-119.12045
TIOGA COMMUNITY DAY,LEE VINING,CA,132 LEE VINING AVE.,93541,,HIGH,PUBLIC,MONO COUNTY OFFICE OF EDUCATION,37.955837,-119.12083
TIOGA ELEMENTARY SCHOOL,BALL,LA,4310 PARDUE ROAD,71405,https://louisianaschools.com/schools/40047,ELEMENTARY,PUBLIC,RAPIDES PARISH,31.377815,-92.41488
TIOGA ELEMENTARY SCHOOL,BENSENVILLE,IL,212 W MEMORIAL RD,60106,https://www.bsd2.org/tioga,ELEMENTARY,PUBLIC,BENSENVILLE SCHOOL DISTRICT 2,41.94933,-87.94219
TIOGA ELEMENTARY SCHOOL,TIOGA CENTER,NY,41 5TH AVE,13845,https://www.tiogacentral.org,ELEMENTARY,PUBLIC,TIOGA CENTRAL SCHOOL DISTRICT,42.058495,-76.353455
TIOGA HIGH,GROVELAND,CA,19304 FERRETTI RD.,95321,https://www.bofg.org/schools/tioga-2/,HIGH,PUBLIC,BIG OAK FLAT-GROVELAND UNIFIED,37.863255,-120.2271
TIOGA HIGH SCHOOL,BALL,LA,1207 TIOGA ROAD,71405,https://sites.google.com/rpsb.us/tiogahighschool/home,HIGH,PUBLIC,RAPIDES PARISH,31.381731,-92.425865
TIOGA HIGH SCHOOL,TIOGA,ND,303 N LINDA ST,58852,https://www.tioga.k12.nd.us,HIGH,PUBLIC,TIOGA 15,48.400475,-102.9492
TIOGA HILLS ELEMENTARY SCHOOL,APALACHIN,NY,40-48 GLANN RD,13732,https://www.vestal.k12.ny.us,ELEMENTARY,PUBLIC,VESTAL CENTRAL SCHOOL DISTRICT,42.05534,-76.126465
TIOGA JUNIOR HIGH SCHOOL,PINEVILLE,LA,1150 TIOGA ROAD,71360,,MIDDLE,PUBLIC,RAPIDES PARISH,31.386509,-92.42556
TIOGA MIDDLE,FRESNO,CA,3232 E. FAIRMONT AVE.,93726,https://www.fresnounified.org/schools/tioga,MIDDLE,PUBLIC,FRESNO UNIFIED,36.80616,-119.76829
TIOGA MIDDLE SCHOOL,TIOGA CENTER,NY,27 5TH AVE,13845,https://www.tiogacentral.org,MIDDLE,PUBLIC,TIOGA CENTRAL SCHOOL DISTRICT,42.05669,-76.3501
TIOGA SCHOOL,TIOGA,TX,405 N FLORENCE,76271,https://www.tiogaisd.net,OTHER,PUBLIC,TIOGA INDEPENDENT SCHOOL DISTRICT,33.471333,-96.91331
TIOGA SENIOR HIGH SCHOOL,TIOGA CENTER,NY,27 5TH AVE,13845,https://www.tiogacentral.org,HIGH,PUBLIC,TIOGA CENTRAL SCHOOL DISTRICT,42.057514,-76.35085
TIOGUE SCHOOL,COVENTRY,RI,170 EAST SHORE DRIVE,02816,http://tiogueschool.squarespace.com/,ELEMENTARY,PUBLIC,COVENTRY,41.67711,-71.54322
TIOSPA ZINA TRIBAL SCHOOL,AGENCY VILLAGE,SD,P.O. BOX 719,57262,https://www.tzts.us,OTHER,PUBLIC,TIOSPA ZINA TRIBAL SCHOOL,45.560204,-97.07771
TIOSPAYE TOPA SCHOOL,RIDGEVIEW,SD,HC 76 BOX 300,57652,http://tiospayetopa.bie.edu,OTHER,PUBLIC,TIOSPAYE TOPA SCHOOL,45.146435,-100.640114
TIOUGHNIOGA RIVERSIDE ACADEMY,WHITNEY POINT,NY,2887 NY RT 11,13862,https://www.wpcsd.org,MIDDLE,PUBLIC,WHITNEY POINT CENTRAL SCHOOL DISTRICT,42.33273,-75.97082
TIP ACADEMY,ENCINITAS,CA,552 SOUTH EL CAMINO REAL,92024,,K-12,PUBLIC,ENCINITAS UNION ELEMENTARY,33.036377,-117.25895
TIPLER MIDDLE,OSHKOSH,WI,325 S EAGLE ST,54902,https://www.oshkosh.k12.wi.us,MIDDLE,PUBLIC,OSHKOSH AREA SCHOOL DISTRICT,44.015022,-88.573845
TIPPECANOE HIGH SCHOOL,TIPP CITY,OH,615 E KESSLER COWLESVILLE RD,45371,https://www.tippcityschools.com/,HIGH,PUBLIC,TIPP CITY EXEMPTED VILLAGE,39.98299,-84.18825
TIPPECANOE MIDDLE SCHOOL,TIPP CITY,OH,555 N HYATT ST,45371,https://www.tippcityschools.com/,MIDDLE,PUBLIC,TIPP CITY EXEMPTED VILLAGE,39.968407,-84.18311
TIPPECANOE VALLEY HIGH SCHOOL,AKRON,IN,8345 S SR 19,46910,,HIGH,PUBLIC,TIPPECANOE VALLEY SCHOOL CORPORATION,41.109585,-86.03919
TIPPECANOE VALLEY MIDDLE SCHOOL,ARKON,IN,11303 W 800 S,46910,,MIDDLE,PUBLIC,TIPPECANOE VALLEY SCHOOL CORPORATION,41.11344,-86.043205
TIPPIN EL,EL PASO,TX,6541 BEAR RDG DR,79912,http://tippin.episd.org,ELEMENTARY,PUBLIC,EL PASO INDEPENDENT SCHOOL DISTRICT,31.874784,-106.541214
TIPPS EL,HOUSTON,TX,5611 QUEENSTON BLVD,77084,https://www.cfisd.net,ELEMENTARY,PUBLIC,CYPRESS-FAIRBANKS INDEPENDENT SCHOOL DISTRICT,29.852942,-95.669235
TIPTON ACADEMY  47,GARDEN CITY,MI,29205 FLORENCE,48135,,,PUBLIC,TIPTON ACADEMY,42.314293,-83.329384
TIPTON ACADEMY  PK3,GARDEN CITY,MI,1615 BELTON ST,48135,,,PUBLIC,TIPTON ACADEMY,42.321693,-83.314125
TIPTON ACADEMY 47,GARDEN CITY,MI,29205 FLORENCE,48135,https://www.tipton-academy.org/,OTHER,PUBLIC,TIPTON ACADEMY,42.31426,-83.32934
TIPTON ACADEMY PK3,GARDEN CITY,MI,1615 BELTON ST,48135,https://www.tipton-academy.org/,ELEMENTARY,PUBLIC,TIPTON ACADEMY,42.321785,-83.31416
TIPTON CATHOLIC HIGH SCHOOL,TIPTON,KS,301 STATE ST,67485,,SECONDARY,PRIVATE,,39.338005,-98.46862
TIPTON CHRISTIAN ACADEMY,COVINGTON,TN,2105 HWY 59 S,38019,,K-12,PRIVATE,,35.534115,-89.635185
TIPTON COMMUNITY SCHOOL,TIPTON,KS,219 STATE ST.,67485,https://www.mitchellcountykansas.com/tipton-community-school.html,ELEMENTARY,PUBLIC,WACONDA,39.33735,-98.468605
TIPTON COUNTY ALTERNATIVE LEARNING CENTER,COVINGTON,TN,800 BERT JOHNSTON AVE,38019,http://www.tipton-county.com/alc,OTHER,PUBLIC,TIPTON COUNTY,35.557514,-89.660736
TIPTON DURANT MIDDLE SCHOOL,SELMA,AL,2500 TIPTON ST,36701,https://www.dallask12.org/5/home,MIDDLE,PUBLIC,DALLAS COUNTY,32.370914,-87.01619
TIPTON ELEM.,TIPTON,MO,305 US HWY 50 EAST,65081,https://www.tipton.k12.mo.us/vnews/display.v/sec/elementary,ELEMENTARY,PUBLIC,TIPTON R-VI,38.652164,-92.77885
TIPTON ELEMENTARY,TIPTON,CA,370 N. EVANS RD.,93272,https://www.tiptonschool.org/,ELEMENTARY,PUBLIC,BERKELEY 01,36.06226,-119.30945
TIPTON ELEMENTARY SCHOOL,TIPTON,IA,601 LEMON,52772,https://www.tipton.k12.ia.us,ELEMENTARY,PUBLIC,TIPTON COMMUNITY SCHOOL DISTRICT,41.77087,-91.138214
TIPTON ELEMENTARY SCHOOL,TIPTON,IN,1099 S MAIN ST,46072,https://www.tiptonschool.org/,ELEMENTARY,PUBLIC,TIPTON COMMUNITY SCHOOL CORPORATION,40.270473,-86.03986
TIPTON ES,TIPTON,OK,1000 SOUTH BROADWAY,73570,https://www.tiptontigers.net,ELEMENTARY,PUBLIC,TIPTON,34.496674,-99.14043
TIPTON HIGH,TIPTON,MO,305 US HWY 50 EAST,65081,https://www.tipton.k12.mo.us/,HIGH,PUBLIC,TIPTON R-VI,38.653294,-92.77827
TIPTON HIGH SCHOOL,TIPTON,IA,400 E 6TH ST,52772,https://www.tipton.k12.ia.us,HIGH,PUBLIC,TIPTON COMMUNITY SCHOOL DISTRICT,41.771114,-91.12353
TIPTON HIGH SCHOOL,TIPTON,IN,619 S MAIN ST,46072,https://tcsc.k12.in.us/,HIGH,PUBLIC,TIPTON COMMUNITY SCHOOL CORPORATION,40.273705,-86.039955
TIPTON HS,TIPTON,OK,1000 SOUTH BROADWAY,73570,https://www.tiptontigers.net,HIGH,PUBLIC,TIPTON,34.4953,-99.14057
TIPTON MIDDLE SCHOOL,TIPTON,IA,725 WEST 7TH ST.,52772,http://www.tipton.k12.ia.us/tms,MIDDLE,PUBLIC,TIPTON COMMUNITY SCHOOL DISTRICT,41.770912,-91.139404
TIPTON MIDDLE SCHOOL,TIPTON,IN,817 S MAIN ST,46072,https://tcsc.k12.in.us/,MIDDLE,PUBLIC,TIPTON COMMUNITY SCHOOL CORPORATION,40.271904,-86.03988
TIPTON-ROSEMARK ACADEMY,MILLINGTON,TN,8696 ROSEMARK RD,38053,,K-12,PRIVATE,,35.363323,-89.77129
TISBURY ELEMENTARY,VINEYARD HAVEN,MA,40 WEST WILLIAM STREET,02568,http://www.tisbury.mvyps.org,ELEMENTARY,PUBLIC,TISBURY,41.45264,-70.60983
TISD CHILD & ADOLESCENT SCHOOL,TERRELL,TX,1200 E BRIN ST,75160,http://terrellisd.com/school-childadolescent.ht,OTHER,PUBLIC,TERRELL INDEPENDENT SCHOOL DISTRICT,32.74072,-96.262726
TISH. CO. CAREER AND TECHNICAL CENT,TISHOMINGO,MS,1421 HWY 25 N,38873,https://www.tcsk12.com,,PUBLIC,TISHOMINGO COUNTY SP MUN SCH DISTRICT,34.65519,-88.2302
TISHOMINGO CO ALTERNATIVE SCHOOL,TISHOMINGO,MS,34A MONROE ST,38873,https://www.tcsk12.com,,PUBLIC,TISHOMINGO COUNTY SP MUN SCH DISTRICT,34.634106,-88.2253
TISHOMINGO COUNTY HIGH SCHOOL,IUKA,MS,701 HWY 72,38852,https://www.tcsk12.com,HIGH,PUBLIC,TISHOMINGO COUNTY SP MUN SCH DISTRICT,34.80945,-88.25979
TISHOMINGO ELEMENTARY,TISHOMINGO,MS,34 A MONROE ST,38873,https://www.tcsk12.com,ELEMENTARY,PUBLIC,TISHOMINGO COUNTY SP MUN SCH DISTRICT,34.634304,-88.22531
TISHOMINGO ES,TISHOMINGO,OK,508 N NESHOBA,73460,https://www.tishomingo.k12.ok.us,ELEMENTARY,PUBLIC,TISHOMINGO,34.238823,-96.674545
TISHOMINGO HS,TISHOMINGO,OK,1300 EAST MAIN STREET,73460,https://www.tishomingo.k12.ok.us,HIGH,PUBLIC,TISHOMINGO,34.229683,-96.66153
TISHOMINGO MS,TISHOMINGO,OK,308 E NEIL ARMSTRONG,73460,https://www.tishomingo.k12.ok.us,MIDDLE,PUBLIC,TISHOMINGO,34.232082,-96.67548
TISINGER EL,MESQUITE,TX,1701 HILLCREST ST,75149,https://www.mesquiteisd.org,ELEMENTARY,PUBLIC,MESQUITE INDEPENDENT SCHOOL DISTRICT,32.786552,-96.608154
TISON MIDDLE,WEATHERFORD,TX,102 MEADOW VIEW RD,76087,https://www.weatherfordisd.com,MIDDLE,PUBLIC,WEATHERFORD INDEPENDENT SCHOOL DISTRICT,32.76473,-97.73886
TITAN ACADEMY OF LAKELAND,LAKELAND,FL,1140 N COMBEE RD,33801,,SECONDARY,PRIVATE,,28.05758,-81.9082
TITAN HILL INTERMEDIATE SCHOOL,COUNCIL BLUFFS,IA,4125 HARRY LANGDON BLVD.,51503,http://http:\\www.lewiscentral.org,ELEMENTARY,PUBLIC,LEWIS CENTRAL COMMUNITY SCHOOL DISTRICT,41.21953,-95.81197
TITCHE BLANTON AREA,DALLAS,TX,3700 ROSS AVE,75204,https://www.har.com/school/057905313/titche-blanton-area,,PUBLIC,DALLAS INDEPENDENT SCHOOL DISTRICT,32.87637,-96.76831
TITLE I MIGRANT EDUCATION PROGRAM,HOMESTEAD,FL,28205 SW 124 COURT BLDG F ROOM F019,33033,http://www.dadeschools.net,OTHER,PUBLIC,MIAMI-DADE,25.506224,-80.39204
TITUS EL SCH,WARRINGTON,PA,2333 LOWER BARNESS ROAD,18976,https://www.cbsd.org/titus,ELEMENTARY,PUBLIC,CENTRAL BUCKS SCHOOL DISTRICT,40.24048,-75.13891
TITUS HOSTETTER,LINNEUS,MO,HWY P,64653,,ELEMENTARY,PRIVATE,,39.8842,-93.127686
TITUSVILLE CHILD DEVELOPMENT CENTER,TITUSVILLE,NJ,1125 BEAR TAVERN RD,08560,,ELEMENTARY,PRIVATE,,40.29259,-74.84711
TITUSVILLE HIGH SCHOOL,TITUSVILLE,FL,150 TERRIER TRL S,32780,http://www.titusville.brevard.k12.fl.us,HIGH,PUBLIC,BREVARD,28.593616,-80.80636
TITUSVILLE INTERMEDIATE,POUGHKEEPSIE,NY,128 MEADOW LN,12603,https://www.arlingtonschools.org,ELEMENTARY,PUBLIC,ARLINGTON CENTRAL SCHOOL DISTRICT,41.667755,-73.87003
TITUSVILLE MS,TITUSVILLE,PA,415 WATER STREET,16354,https://www.gorockets.org,MIDDLE,PUBLIC,TITUSVILLE AREA SCHOOL DISTRICT,41.62988,-79.66787
TITUSVILLE SHS,TITUSVILLE,PA,302 E WALNUT ST,16354,https://www.gorockets.org,HIGH,PUBLIC,TITUSVILLE AREA SCHOOL DISTRICT,41.62988,-79.66908
TIVERTON HIGH SCHOOL,TIVERTON,RI,100 NORTH BRAYTON ROAD,02878,,HIGH,PUBLIC,TIVERTON,41.628235,-71.16482
TIVERTON MIDDLE SCHOOL,TIVERTON,RI,10 QUINTAL DRIVE,02878,http://tms.tivertonschools.org/,MIDDLE,PUBLIC,TIVERTON,41.628456,-71.15938
TIVY H S,KERRVILLE,TX,3250 LOOP 534,78028,https://www.kerrvilleisd.net/,HIGH,PUBLIC,KERRVILLE INDEPENDENT SCHOOL DISTRICT,30.037498,-99.10919
TIYAN HIGH SCHOOL,BARRIGADA,GU,500 MARINER AVENUE,96929,,HIGH,PUBLIC,GUAM DEPARTMENT OF EDUCATION,13.477885,144.80598
TL FAULKNER  SCHOOL,PRICHARD,AL,33 WEST ELM ST,36610,,,PUBLIC,MOBILE COUNTY,30.740597,-88.08233
TL FAULKNER SCHOOL,PRICHARD,AL,33 WEST ELM ST,36610,http://www.mcpss.com/faulkner,HIGH,PUBLIC,EL PASO INDEPENDENT SCHOOL DISTRICT,30.740633,-88.082375
TLC ACADEMY,SAN ANGELO,TX,5687 MELROSE,76901,https://tlca-sanangelo.com/,OTHER,PUBLIC,TEXAS LEADERSHIP PUBLIC SCHOOLS,31.437471,-100.50569
TLC EARLY LEARNING CENTER,BLOOMINGTON,MN,11000 FRANCE AVE S,55431,,ELEMENTARY,PRIVATE,,44.804264,-93.33086
TLC KIDS CARE,PORT ORANGE,FL,1835 TAYLOR RD,32128,,ELEMENTARY,PRIVATE,,29.089508,-81.04866
TLC LEADERSHIP ACADEMY,AUDUBON,PA,2600 EISENHOWER AVE,19403,,SECONDARY,PRIVATE,,40.125645,-75.41188
TLC LEARNING CENTER,BLUE ISLAND,IL,2844 BURR OAK AVE,60406,https://www.tlcblueisland.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=website_url,ELEMENTARY,PRIVATE,,41.662792,-87.69184
TLC LEARNING CENTER,CREST HILL,IL,1206 CEDARWOOD DR,60403,https://www.tlccresthill.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=website_url,ELEMENTARY,PRIVATE,,41.54497,-88.1458
TLC MONTESSORI,SAMMAMISH,WA,21512 NE 16TH ST,98074,http://www.tlceducation.com/,ELEMENTARY,PRIVATE,,47.62419,-122.0528
TLE CHRISTIAN ACADEMY,KENNESAW,GA,2765 S MAIN ST NW STE B,30144,,K-12,PRIVATE,,34.345203,-84.39277
TLE CHRISTIAN ACADEMY AT GOSPEL OUTREACH INC,BALL GROUND,GA,835 MINERAL SPRINGS RD,30107,,K-12,PRIVATE,,34.344723,-84.393036
TMCC MAGNET HIGH SCHOOL,RENO,NV,7000 DANDINI BOULEVARD,89512,https://www.washoeschools.net/tmcchs,HIGH,PUBLIC,WASHOE COUNTY SCHOOL DISTRICT,39.572056,-119.80112
TMI EPISCOPAL,SAN ANTONIO,TX,20955 W TEJAS TRL,78257,,K-12,PRIVATE,,29.637785,-98.60388
TNC CAMPUS (TEXAS NEUROREHABILITATION CENTER),AUSTIN,TX,1106 W DITTMAR RD,78745,https://www.utcharter.org,OTHER,PUBLIC,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,30.188786,-97.806915
TNT ACADEMY,STONE MOUNTAIN,GA,5510 LILBURN STONE MOUNTAIN RD,30087,,K-12,PRIVATE,,33.854954,-84.14372
