SALAMONIE SCHOOL, WARREN, IN, 1063 E 900 S
SCHOOL FOR BLIND ELEMENTARY, KANSAS CITY, KS, 1100 STATE AVENUE
SCHOOL FOR DEAF ELEMENTARY, OLATHE, KS, 450 EAST PARK STREET
SCHOOL FOR ENVIRONMENTAL CITIZENSHIP, BRONX, NY, 125 E 181ST ST
SCHOOL FOR THE DEAF PK-8, DEVILS LAKE, ND, 1401 COLLEGE DRIVE N
SCHOOL FOR THE HIGHLY GIFTED, GRAND PRAIRIE, TX, 2990 S HWY 161
SCHOOL HOUSE MONTESSORI ACADEMY, CANTON, MI, 1669 SHAGGERTY RD
SCHOOL IN THE SQUARE PUBLIC CHARTER SCHOOL, NEW YORK, NY, 120 WADSWORTH AVE
SCHOOL OF ENGINEERING-ARTS AT OLSON, GOLDEN VALLEY, MN, 1751 KELLY DR
SCHOOL OF ENVIRONMENTAL STUDIES, APPLE VALLEY, MN, 12155 JOHNNY CAKE RIDGE RD
SCHOOL OF INCARNATION, MILLERSVILLE, MD, 1070 CECIL AVE S
SCHOOL OF INTEGRATED LEARNING (THE), BROOKLYN, NY, 1224 PARK PL
SCHOOL OF KNOWLEDGE, INDIANAPOLIS, IN, 2850 COLD SPRING RD
SCHOOL OF MISSIONARY AVIATION TECHNOLOGY, IONIA, MI, 84 E. SPRAGUE RD.
SCHOOL OF OUR LADY, SANTA ANA, CA, 2204 W MCFADDEN AVE
SCHOOL OF SAINT ELIZABETH, BERNARDSVILLE, NJ, 30 SENEY DR
SCHOOL OF SCIENCE AND APPLIED LEARNING, BRONX, NY, 2050 PROSPECT AVE
SCHOOL OF SCIENCE AND TECHNOLOGY, BROOKLYN, NY, 725 E 23RD ST
SCHOOL OF SCIENCE AND TECHNOLOGY ADVANCEMENT, HOUSTON, TX, 10550 WESTOFFICE DR
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY, LEON VALLEY, TX, 5707 BANDERA RD
SCHOOL OF SOCIAL JUSTICE HS, CHICAGO, IL, 3120 S KOSTNER AVE
SCHOOL OF ST MARY, TULSA, OK, 1365 E 49TH PL
SCHOOL OF ST PETER, CANBY, MN, 410 RING AVE N
SCHOOL OF SUCCESS ACADEMY-SOS, JACKSONVILLE, FL, 6974 WILSON BLVD
SCHOOL OF TECHNOLOGY AT CARVER, ATLANTA, GA, 55 MCDONOUGH BLVD SE
SCHOOL OF THE FUTURE, PHILADELPHIA, PA, 4021 PARKSIDE AVE
SCHOOL OF THE FUTURE HIGH SCHOOL, NEW YORK, NY, 127 E 22ND ST
SCHOOL OF THE OZARKS, POINT LOOKOUT, MO, 1 OPPORTUNITY AVE
SCHOOL OF UNLIMITED LEARNING, FRESNO, CA, 2336 CALAVERAS ST.
SCHOOL ONE, PROVIDENCE, RI, 220 UNIVERSITY AVE
SCHOOL ONE ELEMENTARY, SCOTCH PLAINS, NJ, 563 WILLOW AVENUE
SCHOOL READINESS, TRUMBULL, CT, 40 LINDEMAN DR.
SCHOOL TIME, ALLENTOWN, NJ, 1253 A ALLENTOWN RD
SCHOOL WITHOUT WALLS AT FRANCIS STEVENS, WASHINGTON, DC, 2425 N ST NW
SCHOOL WOODLAND HILL, MIDDLEFIELD, OH, 16520 BUNDYSBURG RD
SCHOOLCRAFT ELEMENTARY SCHOOL, SCHOOLCRAFT, MI, 611 EAST CLAY ST
SCHOOLFIELD ELEMENTARY, DANVILLE, VA, 1400 W MAIN ST
SCHOOLHOUSE ACADEMY, MIAMI, FL, 3800 SW 108TH AVE
SCHOOLHOUSE LEARNING CENTER-SELLERSVILLE, SELLERSVILLE, PA, 600 S MAIN ST
SCHOOLHOUSE MONTESSORI ACADEMY, TROY, MI, 3305 CROOKS RD
SCHRIEVER ELEMENTARY SCHOOL, SCHRIEVER, LA, 2052 WEST MAIN
SCHROEDER ELEMENTARY SCHOOL, TROY, MI, 3541 JACK DRIVE
SCHROEDER MIDDLE SCHOOL, GRAND FORKS, ND, 800 32ND AVE S
SCHULTE ELEMENTARY, STURTEVANT, WI, 8515 WESTMINSTER DR
SCHULTZ ELEMENTARY, MISHICOT, WI, 510 WOODLAWN DR
SCHUYLER AVENUE EL SCH, KINGSTON, PA, 715 SCHUYLER AVENUE
SCHUYLER ELEMENTARY SCHOOL, SCHUYLER, NE, 2404 DENVER
SCHUYLER INDUSTRY MIDDLE SCH, RUSHVILLE, IL, 750 N CONGRESS ST
SCHUYLER STEUBEN CHEMUNG TIOGA ALLEGANY BOCES, ELMIRA, NY, 459 PHILO ROAD
SCHUYLER-COLFAX MIDDLE SCHOOL, WAYNE, NJ, 1500 HAMBURG TURNPIKE
SCHUYLERVILLE ELEMENTARY SCHOOL, SCHUYLERVILLE, NY, 14 SPRING ST
SCHUYLERVILLE PREPARATORY HIGH SCHOOL, BRONX, NY, 3000 E TREMONT AVE
SCHUYLKILL HAVEN EL CTR, SCHUYLKILL HAVEN, PA, 701 EAST MAIN STREET
SCHWARTZ ES, OKLAHOMA CITY, OK, 12001 SE 104TH STREET
SCHWARZKOPF ELEMENTARY SCHOOL, LUTZ, FL, 18333 CALUSA TRACE BLVD
SCHWETTMAN EDUCATION CENTER, NEW PORT RICHEY, FL, 5520 GRAND BLVD
SCI TECH ENGR ARTS AND MATH AT LEGACY HIGH SCH COMPLEX, SOUTH GATE, CA, 5225 TWEEDY BLVD.
SCIENCE & TECHNOLOGY ACADEMY AT KNIGHTS LANDING, KNIGHTS LANDING, CA, 9544 MILL ST.
SCIENCE AND TECHNOLOGY MAGNET SCHOOL OF SOUTHEASTERN CONNEC, NEW LONDON, CT, 490 JEFFERSON AVE
SCIENCE TECHNOLOGY & RESEARCH HIGH SCHOOL AT ERASMUS, BROOKLYN, NY, 911 FLATBUSH AVE
SCIPIO ELEMENTARY SCHOOL, SCIPIO, IN, 6320 N HWY 7
SCITUATE HIGH SCHOOL, SCITUATE, MA, 606 C J CUSHING HWY
SCO FAMILY OF SERVICES/T PAPLIN SCHOOL, BRIARWOOD, NY, 8570 148TH ST
SCOBEE EL, SAN ANTONIO, TX, 11223 CEDAR PARK
SCOBEY HIGH SCHOOL, SCOBEY, MT, 205 2ND AVENUE EAST
SCOOTNEY SPRINGS ELEMENTARY, OTHELLO, WA, 695 S 14TH AVE
SCOTCH PLAINS BAPTIST CHRISTIAN DAY SCHOOL, SCOTCH PLAINS, NJ, 333 PARK AVE
SCOTIA-GLENVILLE MIDDLE SCHOOL, SCOTIA, NY, 10 PRESTIGE PKWY
SCOTLAND CO. ELEM., MEMPHIS, MO, 438 WEST LOVERS LANE
SCOTLAND ELEMENTARY - 02, SCOTLAND, SD, 711 4TH ST
SCOTLAND ELEMENTARY SCHOOL, SCOTLAND, CT, 68 BROOK RD.
SCOTT ALTMAN PRIMARY SCHOOL, PEKIN, IL, 1730 HIGHWOOD AVE
SCOTT AVENUE ELEMENTARY, WHITTIER, CA, 11701 SCOTT AVE.
SCOTT CENTRAL ATTENDANCE CENTER, FOREST, MS, 2415 OLD JACKSON ROAD
SCOTT CO. CENTRAL HIGH, SIKESTON, MO, 20794 US HWY 61
SCOTT COUNTY HIGH SCHOOL, GEORGETOWN, KY, 1080 CARDINAL DR
SCOTT EL, MCKINNEY, TX, 10550 MILLBEND DR
SCOTT ELEM., BELTON, MO, 310 S SCOTT
SCOTT ELEMENTARY SCHOOL, DEWITT, MI, 804 WILSON ST
SCOTT ELEMENTARY SCHOOL, SALEM, OR, 4700 ARIZONA AVE NE
SCOTT ELEMENTARY SCHOOL, THOMASVILLE, GA, 100 N HANSELL ST
SCOTT LAKE ELEMENTARY SCHOOL, LAKELAND, FL, 1140 COUNTY ROAD 540A E
SCOTT LAKE ELEMENTARY SCHOOL, MIAMI, FL, 1160 NW 175TH ST
SCOTT M. LEAMAN, LINCOLN, CA, 1200 BRENTFORD CIR.
SCOTT MEMORIAL MIDDLE, WYTHEVILLE, VA, 950 S. SEVENTH ST.
SCOTT MIDDLE SCHOOL, LINCOLN, NE, 2200 PINE LAKE ROAD
SCOTT MIDDLE SCHOOL, SCOTT, LA, 116 MARIE STREET
SCOTT MORGAN JOHNSON MIDDLE, MCKINNEY, TX, 3400 COMMUNITY DR
SCOTT RIVER COMMUNITY DAY, ETNA, CA, 450 CAMPUS WAY
SCOTT SCHOOL, WARWICK, RI, 833 CENTERVILLE ROAD
SCOTT VALLEY ADULT, ETNA, CA, 450 CAMPUS WAY
SCOTTS BRANCH ELEMENTARY, BALTIMORE, MD, 8220 TAWNMOORE RD
SCOTTS HILL ELEMENTARY, SCOTTS HILL, TN, 1 HIGHWAY 114 MAIN ST
SCOTTS HILL HIGH SCHOOL, REAGAN, TN, 7871 HIGHWAY 100
SCOTTS MILLS ELEMENTARY SCHOOL, SCOTTS MILLS, OR, 805 FIRST ST
SCOTTS RIDGE ELEMENTARY, APEX, NC, 6601 APEX BARBECUE RD
SCOTTSBORO JUNIOR HIGH SCHOOL, SCOTTSBORO, AL, 1601 HEROES DRIVE
SCPS CONSEQUENCE UNIT, SANFORD, FL, 1151 E 28TH ST
SCPS EARLY LEARNING COALITION, SANFORD, FL, 1101 BAY AVE
SCRANTON ELEMENTARY, SCRANTON, SC, 1649 US 52 HIGHWAY
SCRANTON ELEMENTARY SCHOOL, SCRANTON, AR, 103 N EIGHTH ST
SCRANTON MIDDLE SCHOOL, BRIGHTON, MI, 8415 MALTBY RD
SCRANTON SCHOOL, CLEVELAND, OH, 1991 BARBER AVE
SCRANTON SCHOOL FOR DEAF & HARD OF HEARING, SOUTH ABINGTON TOWNSHIP, PA, 537 VENARD RD
SCREVEN COUNTY HIGH SCHOOL, SYLVANIA, GA, 110 HALCYONDALE RD
SCREVEN COUNTY MIDDLE SCHOOL, SYLVANIA, GA, 126 FRIENDSHIP RD
SCRIBES & SCRIBBLERS CHILD DEVELOPMENT CENTER, MIDDLEBURG HEIGHTS, OH, 14101 UHLIN DR
SCRIBNER-SNYDER SECONDARY SCH, SCRIBNER, NE, 400 PEBBLE
SCRIPPS MIDDLE SCHOOL, LAKE ORION, MI, 385 EAST SCRIPPS RD
SCRIPPS MONTESSORI, SAN DIEGO, CA, 9939 OLD GROVE RD.
SCULLEN MIDDLE SCHOOL, NAPERVILLE, IL, 2815 MISTFLOWER LN
SCUOLA VITA NUOVA CHARTER, KANSAS CITY, MO, 535 GARFIELD AVE
SCURLOCK ELEMENTARY, RAEFORD, NC, 775 ROCKFISH RD
SCY HIGH (SOUTHERN CALIFORNIA YESHIVA HIGH SCHOOL), SAN DIEGO, CA, 3410 MT. ACADIA BLVD
SDSBVI ELEMENTARY - 01, ABERDEEN, SD, 423 17TH AVE SE
SE AREA TECHNICAL SKILLS CENTER, WALLA WALLA, WA, 525 CAMPUS LOOP DR
SE ISLAND CORRESPONDENCE, THORNE BAY, AK, 1010 SANDY BEACH RD
SEA BREEZE ELEMENTARY SCHOOL, BRADENTON, FL, 3601 71ST ST W
SEA CASTLE ELEMENTARY SCHOOL, MIRAMAR, FL, 9600 MIRAMAR BLVD
SEA CLIFF ELEMENTARY SCHOOL, SEA CLIFF, NY, 280 CARPENTER AVE
SEA GATE ELEMENTARY SCHOOL, NAPLES, FL, 650 SEAGATE DR
SEA GIRT ELEMENTARY SCHOOL, SEA GIRT, NJ, 451 BELL PLACE
SEA ISLE ELEMENTARY, MEMPHIS, TN, 5250 SEA ISLE RD
SEA PARK ELEMENTARY SCHOOL, SATELLITE BEACH, FL, 300 SEA PARK BLVD
SEA ROAD SCHOOL, KENNEBUNK, ME, 29 SEA ROAD
SEABORN ELEMENTARY SCHOOL, MINERAL RIDGE, OH, 3800 NILES CARVER RD
SEABREEZE HIGH SCHOOL, DAYTONA BEACH, FL, 2700 N OLEANDER AVE
SEABROOK ELEMENTARY SCHOOL, SEABROOK, NH, 236 WALTON RD.
SEACOAST CAREER SCHOOL-MANCHESTER CAMPUS, MANCHESTER, NH, 670 NORTH COMMERCIAL ST
SEACOAST WALDORF SCHOOL, ELIOT, ME, 403 HAROLD L DOW HWY
SEADRIFT SCHOOL, SEADRIFT, TX, 1801 W BROADWAY
SEAFORD CENTRAL ELEMENTARY SCHOOL, SEAFORD, DE, 1 DELAWARE PLACE
SEALY H S, SEALY, TX, 2372 CHAMPIONSHIP DR
SEARCY HIGH SCHOOL, SEARCY, AR, 301 N ELLA
SEARLES ELEMENTARY, UNION CITY, CA, 33629 15TH ST.
SEASIDE MIDDLE, SEASIDE, CA, 999 COE AVE.
SEATTLE CENTRAL COLLEGE - WOOD TECHNOLOGY CENTER, SEATTLE, WA, 2310 SOUTH LANE SEATTLE
SEATTLE HILL ELEMENTARY, EVERETT, WA, 12711 51ST AVENUE SE
SEATTLE INSTITUTE OF EAST ASIAN MEDICINE, SEATTLE, WA, 226 SOUTH ORCAS STREET
SEATTLE NATIVITY SCHOOL, SEATTLE, WA, 2800 S MASSACHUSETTS ST
SEAVIEW ELEMENTARY SCHOOL, LINWOOD, NJ, 2013 WABASH AVE
SEBASTOPOL ATTENDANCE CENTER, SEBASTOPOL, MS, 17194 HWY 21 NORTH
SECAUCUS MIDDLE SCHOOL, SECAUCUS, NJ, 11 MILL RIDGE ROAD
SECOND START-PINE HILL SCHOOL, SAN JOSE, CA, 1325 BOURET DR
SECONDARY DAEP, HOUSTON, TX, 1510 JENSEN DR
SECREST ELEMENTARY SCHOOL, SENECAVILLE, OH, 58860 WINTERGREEN RD
SEDGEFIELD ELEMENTARY, CHARLOTTE, NC, 715 HARTFORD AVE
SEGUIN CHRISTIAN ACADEMY, SEGUIN, TX, 1456 E KINGSBURY ST
SEGUIN EL, MCALLEN, TX, 2200 N 29TH ST
SEGUIN H S, ARLINGTON, TX, 7001 SILO RD
SEGUNDO RUIZ BELVIS, HORMIGUEROS, PR, 16 CALLE SEGUNDO RUIZ BELVIS
SEJONG ACADEMY OF MINNESOTA, SAINT PAUL, MN, 1330 BLAIR AVE N
SELACO-DOWNEY HIGH (PAU), DOWNEY, CA, 11044 BROOKSHIRE AVE.
SELBY HIGH SCHOOL - 01, SELBY, SD, 108 E DAKOTA ST
SELBY LANE ELEMENTARY, ATHERTON, CA, 170 SELBY LN.
SELECT COMMUNITY DAY (SECONDARY), LONG BEACH, CA, 2221 ARGONNE AVE.
SELF DEVELOPMENT ACADEMY-PHOENIX, PHOENIX, AZ, 1515 E. INDIAN SCHOOL RD.
SELF DEVELOPMENT CHARTER SCHOOL, MESA, AZ, 1709 N GREENFIELD
SELKIRK MIDDLE SCHOOL, IONE, WA, 10372 HIGHWAY 31
SELKIRK SCHOOL, SANDPOINT, ID, 11014 W PINE ST
SELLERS ELEMENTARY, GLENDORA, CA, 500 N. LORAINE AVE.
SELLWOOD MIDDLE SCHOOL, PORTLAND, OR, 8300 SE 15TH AVE
SELMA ELEMENTARY SCHOOL, SELMA, IN, 200 S EAST ST
SELMA HERNDON ELEMENTARY, LIVINGSTON, CA, 714 PRUSSO ST.
SELMA HIGH, SELMA, CA, 3125 WRIGHT ST.
SELMA INDEPENDENT, SELMA, CA, 2269 SYLVIA ST.
SELMA MIDDLE SCHOOL, SELMA, IN, 10501 E CR 167 S
SELMAVILLE ELEM SCHOOL, SALEM, IL, 3185 SELMAVILLE RD
SELMER ELEMENTARY, SELMER, TN, 533 EAST POPLAR AVENUE
SELWYN ELEMENTARY, CHARLOTTE, NC, 2840 COLONY RD
SEM YETO CONTINUATION HIGH, FAIRFIELD, CA, 205 E. ATLANTIC AVE.
SEMINARIO EVANGELICO DE PUERTO RICO, SAN JUAN, PR, 776 PONCE DE LEON AVENUE
SEMINARY ELEMENTARY SCHOOL, SEMINARY, MS, 200 MAIN ST.
SEMINARY HILLS PARK EL, FORT WORTH, TX, 5037 TOWNSEND DR
SEMINARY MIDDLE SCHOOL, SEMINARY, MS, 200 MAIN ST
SEMINOLE ACADEMY OF DIGITAL LEARNING, LAKE MARY, FL, 450 TECHNOLOGY PARK
SEMINOLE COUNTY MIDDLE/HIGH SCHOOL, DONALSONVILLE, GA, 5582 GA HIGHWAY 39
SEMINOLE SPRINGS ELEMENTARY SCHOOL, EUSTIS, FL, 26200 W HUFF RD
SEMINOLE STATE COLLEGE, SEMINOLE, OK, 2701 BOREN BLVD
SEMINOLE VIRTUAL INSTRUCTION PROGRAM (SVIP), SANFORD, FL, 400 E LAKE MARY BLVD
SEMMES ELEMENTARY SCHOOL, SEMMES, AL, 10100 BLACKWELL NURSERY RD S
SEMPER ELEMENTARY SCHOOL, WESTMINSTER, CO, 7575 WEST 96TH AVENUE
SEN./TATE CO. OPTIONAL LEARNING CEN, SENATOBIA, MS, 403 WEST GILMORE
SENATOR JAMES H DONOVAN MIDDLE SCHOOL, UTICA, NY, 1701 NOYES ST
SENECA ACADEMY, DARNESTOWN, MD, 15601 GERMANTOWN RD
SENECA BIBLE BAPTIST ACADEMY, SENECA FALLS, NY, 1859 AUBURN RD
SENECA EAST HIGH SCHOOL, ATTICA, OH, 13343 E US HIGHWAY 224
SENECA ELEMENTARY, MORENO VALLEY, CA, 11615 WORDSWORTH RD.
SENECA HIGH SCHOOL, TABERNACLE, NJ, 110 CARRANZA ROAD
SENECA HIGHLANDS CAREER AND TECHNICAL CE, PORT ALLEGANY, PA, 219 EDISON BATES DRIVE
SENECA HS, ERIE, PA, 10770 WATTSBURG RD
SENECA MIDDLE SCHOOL, MACOMB, MI, 47200 HEYDENREICH
SENECA RIDGE MIDDLE, STERLING, VA, 98 SENECA RIDGE DR
SENTINEL ELEMENTARY SCHOOL, SENTINEL, AZ, 53802 OLD U.S. HIGHWAY
SEQUATCHIE CO HIGH SCHOOL, DUNLAP, TN, 523 HWY 28
SEQUIOTA ELEM., SPRINGFIELD, MO, 3414 S MENTOR RD
SEQUOIA CONTINUATION HIGH, SAN BERNARDINO, CA, HIGHLAND AVE. & G ST.
SEQUOIA DISTRICT ADULT EDUCATION, MENLO PARK, CA, 3247 MIDDLEFIELD RD.
SEQUOIA ELEMENTARY, OAKLAND, CA, 3730 LINCOLN AVE.
SEQUOIA ELEMENTARY, WESTMINSTER, CA, 5900 IROQUOIS RD.
SEQUOIA ELEMENTARY CHARTER, LEMON COVE, CA, 23958 AVE. 324
SEQUOIA HIGH, MERCED, CA, 1900 G ST.
SEQUOIA HIGH, REDWOOD CITY, CA, 1201 BREWSTER AVE.
SEQUOIA HIGH SCHOOL, EVERETT, WA, 3516 RUCKER AVE
SEQUOIA MIDDLE, FONTANA, CA, 9452 HEMLOCK AVE.
SEQUOIA MIDDLE, FRESNO, CA, 4050 E. HAMILTON AVE.
SEQUOIA MIDDLE, NEWBURY PARK, CA, 2855 BORCHARD RD.
SEQUOIA MIDDLE, PORTERVILLE, CA, 1450 W. CASTLE AVE.
SEQUOYA MIDDLE SCHOOL, HOLTSVILLE, NY, 750 WAVERLY AVE
SEQUOYAH ELEMENTARY, KNOXVILLE, TN, 942 SOUTHGATE RD
SEQUOYAH ELEMENTARY SCHOOL, MACOMB, MI, 18500 24 MILE RD
SEQUOYAH ELEMENTARY SCHOOL, RUSSELLVILLE, AR, 1601 W 12TH ST
SEQUOYAH ES, OKLAHOMA CITY, OK, 2400 NORTHWEST 36TH STREET
SEQUOYAH ES, SHAWNEE, OK, 1401 EAST INDEPENDENCE STREET
SEQUOYAH ES, TULSA, OK, 724 N BIRMINGHAM
SEQUOYAH HIGH SCHOOL, SODDY DAISY, TN, 9517 SEQUOYAH ACCESS RD
SEQUOYAH HIGH SCHOOL, TAHLEQUAH, OK, P.O. BOX 520
SEQUOYAH MIDDLE SCHOOL, RIVERDALE, GA, 95 VALLEY HILL RD SW
SEQUOYAH MS, BROKEN ARROW, OK, 2701 SOUTH ELM PLACE
SEQUOYAH SCHOOL, GROVE, CA, 301 N ORANGE
SERENA ELEM SCHOOL, SERENA, IL, PO BOX 107
SERENA HILLS ELEM SCHOOL, CHICAGO HEIGHTS, IL, 255 PLEASANT DR
SERENDIPITY CENTER, PORTLAND, OR, 14815 SE DIVISION ST
SERENDIPITY SCHOOL, BELMONT, CA, 2820 PONCE AVE.
SERGEANT PAUL R SMITH MIDDLE SCHOOL, TAMPA, FL, 14303 CITRUS POINTE DR
SERRA (JUNIPERO) ELEMENTARY, SAN FRANCISCO, CA, 625 HOLLY PARK CIR.
SERRA CATHOLIC HIGH SCHOOL, MCKEESPORT, PA, 200 HERSHEY DR
SERRA CATHOLIC SCHOOL, RANCHO SANTA MARGARITA, CA, 23652 ANTONIO PKWY
SERRA HIGH, SAN DIEGO, CA, 5156 SANTO RD.
SERRA VISTA ELEMENTARY, S. SAN FRANCISCO, CA, 257 LONGFORD DR.
SERRANO ELEMENTARY, MORENO VALLEY, CA, 24100 DELPHINIUM AVE.
SERRANO ELEMENTARY, VILLA PARK, CA, 17741 SERRANO AVE.
SERRANO HEIGHTS ACADEMY, ANAHEIM, CA, 6511 E SERRANO AVE # C
SERRANO MIDDLE, HIGHLAND, CA, 3131 PIEDMONT DR.
SERRANO MIDDLE, MONTCLAIR, CA, 4725 SAN JOSE ST.
SERVIAM GIRLS ACADEMY, NEW CASTLE, DE, 14 HALCYON DR
SERVICE HIGH SCHOOL, ANCHORAGE, AK, 5577 ABBOTT RD
SESSIONS ELEMENTARY, SAN DIEGO, CA, 2150 BERYL ST.
SESSUMS ELEMENTARY SCHOOL, RIVERVIEW, FL, 11525 RAMBLE CREEK DR
SETH G. HALEY SCHOOL, WEST HAVEN, CT, 148 SOUTH ST.
SETH PAINE ELEM SCHOOL, HAWTHORN WOODS, IL, 50 MILLER RD
SETH WHITMAN ELEM SCH, BELVIDERE, IL, 8989 BELOIT RD
SETH WOODARD ELEMENTARY, SPOKANE, WA, 7401 E MISSION
SETON ACADEMY, PLATTSBURGH, NY, 23 ST CHARLES ST
SETON ACADEMY WEST, LAS VEGAS, NV, 3801 N CAMPBELL RD
SETON CATHOLIC ELEMENTARY SCHOOL, HUDSON, OH, 6923 STOW RD
SETON CATHOLIC ELEMENTARY SCHOOL, OTTUMWA, IA, 117 E 4TH ST
SETON CATHOLIC ELEMENTARY SCHOOL PEOSTA CENTER, PEOSTA, IA, 7597 BURDS RD
SETON CATHOLIC PREPARATORY HIGH SCHOOL, CHANDLER, AZ, 1150 N DOBSON RD
SETON CATHOLIC SCHOOL, FARLEY, IA, 210 2ND AVE SE
SETON CATHOLIC SCHOOL, LEXINGTON, KY, 1740 SUMMERHILL DR
SETON CATHOLIC SCHOOL, MOLINE, IL, 1320 16TH AVE
SETON CATHOLIC SCHOOL, ROCHESTER, NY, 165 RHINECLIFF DR
SETON GRADE SCHOOL, ALGONA, IA, 808 E LUCAS ST
SETON HALL - LECOM AT SETON HILL, GREENSBURG, PA, 20 SETON HILL DR
SETON HALL PREPARATORY SCHOOL, WEST ORANGE, NJ, 120 NORTHFIELD AVE
SETON HOME, SAN ANTONIO, TX, 1115 MISSION RD
SETON MONTESSORI SCHOOL, CLARENDON HILLS, IL, 5728 VIRGINIA AVE
SETON REGIONAL CATHOLIC SCHOOL, SAINT CHARLES, MO, 1 SETON CT
SETON SCHOOL, MANASSAS, VA, 9314 MAPLE ST
SETON-LA SALLE HIGH SCHOOL, BRIDGEVILLE, PA, 1000 MCNEILLY RD
SETTING THE STANDARD BARBERING AND NATURAL HAIR ACADEMY, SHREVEPORT, LA, 2902 JEWELLA AVENUE
SETTLEMENT CANYON SCHOOL, TOOELE, UT, 935 WEST TIMPIE ROAD
SETTLEMENT HOME, AUSTIN, TX, 1600 PAYTON GIN RD
SETTLERS POINT ELEMENTARY, GILBERT, AZ, 423 E. SETTLERS POINT DRIVE
SETTLES BRIDGE ELEMENTARY SCHOOL, SUWANEE, GA, 600 JAMES BURGESS RD
SEVEN BRIDGES SCHOOL, ORANGE PARK, FL, 402 LORING AVE
SEVEN GENERATIONS CHARTER SCHOOL, EMMAUS, PA, 154 E MINOR ST
SEVEN HILLS AT GROTON, GROTON, MA, 22 HILLSIDE AVE
SEVEN HILLS SCHOOL, WALNUT CREEK, CA, 975 N SAN CARLOS DR
SEVEN LAKES H S, KATY, TX, 9251 S FRY RD
SEVEN LOCKS ELEMENTARY, BETHESDA, MD, 9500 SEVEN LOCKS ROAD
SEVEN MILE ELEMENTARY SCHOOL, SEVEN MILE, OH, 200 WEST RITTER ST
SEVEN MILE SCHOOL, WHITERIVER, AZ, 2005 FT. APACHE
SEVEN OAK MIDDLE SCHOOL, LEBANON, OR, 550 CASCADE DR
SEVEN OAKS CLASSICAL SCHOOL, ELLETTSVILLE, IN, 200 EAST ASSOCIATION STREET
SEVEN OAKS ELEMENTARY, BALTIMORE, MD, 9220 SEVEN COURTS DR
SEVEN OAKS ELEMENTARY, EAGLE, ID, 1441 SEVENOAKS WAY
SEVEN OAKS ELEMENTARY, LACEY, WA, 1800 SEVEN OAKS DR SE
SEVEN OAKS ELEMENTARY, ODENTON, MD, 1905 TOWN CENTER BLVD.
SEVEN OAKS ELEMENTARY SCHOOL, WESLEY CHAPEL, FL, 27633 MYSTIC OAK BLVD
SEVEN PEAKS SCHOOL, BEND, OR, 19660 SW MOUNTAINEER WAY
SEVEN PINES ELEMENTARY, SANDSTON, VA, 301 BEULAH RD
SEVEN SORROWS BUM SCHOOL, MIDDLETOWN, PA, 360 E WATER ST
SEVEN SPRINGS ELEMENTARY SCHOOL, NEW PORT RICHEY, FL, 8025 MITCHELL RANCH RD
SEVEN SPRINGS MIDDLE SCHOOL, TRINITY, FL, 2441 LITTLE RD
SEVEN-BAR ELEMENTARY, ALBUQUERQUE, NM, 4501 SEVEN BAR LP NW
SEVENTH DISTRICT ELEMENTARY, PARKTON, MD, 20300 YORK RD
SEVENTH STREET ELEM. SCHOOL, NORTH LITTLE ROCK, AR, 1200 E 7TH ST
SEVENTH STREET ELEMENTARY SCHOOL, DOVE CREEK, CO, 713 NORTH MAIN STREET
SEVENTH WARD ELEMENTARY SCHOOL, DENHAM SPRINGS, LA, 24495 HWY 16
SEVENTY NINTH STREET SCHOOL, NIAGARA FALLS, NY, 551 79TH ST
SEVENTY-FIFTH STREET ELEMENTARY, LOS ANGELES, CA, 142 W. 75TH ST.
SEVENTY-FIRST CLASSICAL MIDDLE, FAYETTEVILLE, NC, 6830 RAEFORD ROAD
SEVENTY-FOURTH ST. ELEMENTARY, ST PETERSBURG, FL, 3801 74TH ST N
SEVENTY-FOURTH STREET ELEMENTARY, LOS ANGELES, CA, 2112 W. 74TH ST.
SEVERANCE MIDDLE SCHOOL, WINDSOR, CO, 1801 AVERY PLAZA STREET
SEVERO E. COLBERG RAMIREZ, CABO ROJO, PR, 102 AVE PEDRO ALBIZU CAMPOS
SEVIERVILLE INTERMEDIATE, SEVIERVILLE, TN, 416 HIGH ST
SEVILLA PRIMARY SCHOOL, PHOENIX, AZ, 3801 W. MISSOURI
SEWANEE ELEMENTARY, SEWANEE, TN, 209 UNIVERSITY AVE
SEWARD COUNTY COMMUNITY COLLEGE, LIBERAL, KS, 1801 N. KANSAS AVE.
SEWARD ELEM COMMUNICATION ARTS AC, CHICAGO, IL, 4600 S HERMITAGE AVE
SEWARD ELEMENTARY, MINNEAPOLIS, MN, 2309 28TH AVE S
SEWARD MIDDLE SCHOOL, SEWARD, AK, 304 SEA LION AVE
SEWELL ELEMENTARY SCHOOL, SEWELL, NJ, 40 MCANALLY DR
SEWELL-ANDERSON, LYNN, MA, 25 ONTARIO STREET
SEWELLS POINT ELEMENTARY, NORFOLK, VA, 7928 HAMPTON BLVD
SEXTON MOUNTAIN ELEMENTARY SCHOOL, BEAVERTON, OR, 15645 SW SEXTON MTN DR
SEYMOUR COMMUNITY CHRISTIAN SCHOOL, SEYMOUR, TN, 994 S OLD SEVIERVILLE PIKE
SEYMOUR ELEMENTARY SCHOOL, FLUSHING, MI, 3088 NORTH SEYMOUR RD
