Standard Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibra Hospital of Southeastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices Effective July 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item/Service/Service Package Description,CPT/HCPCS Code,DRG/CMG,NDC,Other Accounting/ Revenue Codes,Rx Charge Quantity,Inpatient Default Gross Charge,Outpatient Default Gross Charge,Discounted Cash Price,De-identified Minimum Negotiated Payer Specific Charge,De-identified Maximum Negotiated Payer Specific Charge,ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 744,"ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
Auto 759/ WC 34","ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
MR  884",Aetna  720,Aetna Medicare Advantage,Affinity Hospice,AHLIC PPO MR  962 (Aetna),BC/BS of Michigan 600,BC/BS of Michigan 600,"Beaumont Health
Formerly OAKWOOD ACO 314",Blue Care Network Michigan   230,Blue Care Network of Michigan Medicare Adv  712,Cofinity/PPOM   500,Consumers Mutual Ins of MI,DMC CARE  747,Ethix 711,Fidelis Secure Med Adv 961,Fidelis Securecare DR 960,Trusted Health Plan (formerly Harbor Health Choice) 734,Trusted Health Plan (formerly Harbor Health Advantage) MR 982,Health Alliance Plan 725 (PHP),Health Alliance Medicare Senior Plus and Medicare PPO,Health Payors Organization  717,HealthPlus of Michigan (HPM) MR,Humana-Choice Care 718,Integrated Health Plan 712,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,Medicare,MediNcrease,MediNcrease WC,Paradigm Specialty Network (Formerly AdvaNet) WC,"Wellcare DR (previously Meridian Health Plan DR)
*Only Name change*
","Wellcare MR ( Previously Meridian Health Plan MR)
* Only Name change*","Wellcare Health Plan (Previously Meridian Health Plan)
*Name change only*","Wellcare Health Plan MICHILD (Previously Meridian Health Plan MICHILD)
*Name change only*",Midwest Health Plan,Molina MR,Molina DR,Molina Marketplace,"Multiplan Primary 
Network - PHCS, PHCS Savility, HealthEOS Network
 715","Multiplan Complimentary 737
Multiplan, Value point
 737","Multiplan WC 54
Multiplan, Value Point
 617","Multiplan Auto 618
Multiplan, Value Point
 618",National Providers Network (NPN) 719,Preferred Hlth 750,Priority Health Choice,Priority Health Choice,Priority Health Choice MR,"Provider Network of America
Wrap/TPA",Three Rivers Hospital Network,Tricare East -Humana Government Business,Tricare East -Humana Government Business,"Total Healthcare Comm 319, Medicare Adv 727","Total Healthcare Comm 319, Medicare Adv 727",Total Healthcare DR 231,Total Healthcare DR 231,UHC Community Commercial 318,UHC Community MME 905,UHC Community MR 710,UHC Community MR 710,UHC Community DR 904,"VA Administration
(Not contracted)",VA Community Care Network (VA CCN)
PEPTO-BISMOL,,,168000415,250,%         ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PERCOCET 2.5/325,,,904782236,250,%         ,8,,,0,7.6,6,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,6,,,,,,,6,,,6,,,,,7,,,,,,,,,,,,5,,,6,,,,,6,6,6,100% LTAH PPS,,,,,,,,,,4,
PERCOCET 5/325,,,338012504,250,          ,5.45,,,0,5.18,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,3,
PERCOCET 7.5/500,,,45802006003,250,UNIT/GM   ,13,,,0,12.35,10,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,10,,,,,,,9,,,10,,,,,12,,,,,,,,,,,,8,,,9,,,,,10,10,10,100% LTAH PPS,,,,,,,,,,6,
PERCOCET 10/650,,,98669000201,250,%         ,16,,,0,15.2,13,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,13,,,,,,,11,,,12,,,,,14,,,,,,,,,,,,10,,,11,,,,,13,13,13,100% LTAH PPS,,,,,,,,,,8,
PERMAX 0.05MG TABLET,,,XXXXXXX0021,250,ML        ,6,,,0,5.7,5,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,5,,,,,,,4,,,5,,,,,5,,,,,,,,,,,,4,,,4,,,,,5,5,5,100% LTAH PPS,,,,,,,,,,3,
PERMAX 0.25MG TABLET,,,63323040302,250,MG PE/2ML ,10,,,0,9.5,8,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,8,,,,,,,7,,,8,,,,,9,,,,,,,,,,,,6,,,7,,,,,8,8,8,100% LTAH PPS,,,,,,,,,,5,
PERPHENAZINE 8MG TAB,,,573022567,250,%         ,6,,,0,5.7,5,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,5,,,,,,,4,,,5,,,,,5,,,,,,,,,,,,4,,,4,,,,,5,5,5,100% LTAH PPS,,,,,,,,,,3,
PHENOBARBITAL 30MG T,,,,250,,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PHENOBARB 130MG/ML,,,,250,,298.7,,,0,283.77,239,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,239,,,,,,,209,,,224,,,,,269,,,,,,,,,,,,179,,,209,,,,,239,239,239,100% LTAH PPS,,,,,,,,,,144,
PHENOBARBITAL 64.8MG,,,409492134,250,MG/10ML   ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PHISOHEX 3% SKIN CLE,,,63323001302,250,MG/ML     ,107,,,0,101.65,86,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,86,,,,,,,75,,,80,,,,,96,,,,,,,,,,,,64,,,75,,,,,86,86,86,100% LTAH PPS,,,,,,,,,,52,
PHOSLO 667MG TABLET,,,65162073503,250,MG        ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PHOSPHOLINE IODIDE 0,,,46122003927,250,%         ,295,,,0,280.25,236,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,236,,,,,,,207,,,221,,,,,266,,,,,,,,,,,,177,,,207,,,,,236,236,236,100% LTAH PPS,,,,,,,,,,142,
ISOPTO CARPINE 0.5%,,,8092355,250,MG        ,33,,,0,31.35,26,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,26,,,,,,,23,,,25,,,,,30,,,,,,,,,,,,20,,,23,,,,,26,26,26,100% LTAH PPS,,,,,,,,,,16,
ISOPTO CARPINE 1% EY,,,63323016201,250,MG/ML     ,394.25,,,0,374.54,315,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,315,,,,,,,276,,,296,,,,,355,,,,,,,,,,,,237,,,276,,,,,315,315,315,100% LTAH PPS,,,,,,,,,,190,
ISOPTO CARPINE 2% EY,,,69374090605,250,%         ,84,,,0,79.8,67,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,67,,,,,,,59,,,63,,,,,76,,,,,,,,,,,,50,,,59,,,,,67,67,67,100% LTAH PPS,,,,,,,,,,41,
ISOPTO CARPINE 4% EY,,,456141030,250,MG        ,81,,,0,76.95,65,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,65,,,,,,,57,,,61,,,,,73,,,,,,,,,,,,49,,,57,,,,,65,65,65,100% LTAH PPS,,,,,,,,,,39,
PILOCAR 2% EYE DROPS,,,527193106,250,MG        ,403.25,,,0,383.09,323,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,323,,,,,,,282,,,302,,,,,363,,,,,,,,,,,,242,,,282,,,,,323,323,323,100% LTAH PPS,,,,,,,,,,195,
ISOPTO CARPINE 8% EY,,,409317802,250,%-1:100000,121,,,0,114.95,97,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,97,,,,,,,85,,,91,,,,,109,,,,,,,,,,,,73,,,85,,,,,97,97,97,100% LTAH PPS,,,,,,,,,,58,
PILOCARPINE 4% OPTH,,,10147089103,250,MG        ,422.75,,,0,401.61,338,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,338,,,,,,,296,,,317,,,,,380,,,,,,,,,,,,254,,,296,,,,,338,338,338,100% LTAH PPS,,,,,,,,,,204,
SUBOXONE 2-0.5 SL TA,,,10370011610,250,MG        ,11.95,,,0,11.35,10,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,10,,,,,,,8,,,9,,,,,11,,,,,,,,,,,,7,,,8,,,,,10,10,10,100% LTAH PPS,,,,,,,,,,6,
PIROXICAM 20MG CAPSU,,,,250,,8.95,,,0,8.5,7,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,7,,,,,,,6,,,7,,,,,8,,,,,,,,,,,,5,,,6,,,,,7,7,7,100% LTAH PPS,,,,,,,,,,4,
PLAVIX 75MG TABLET,,,68084030921,250,GM        ,18,,,0,17.1,14,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,14,,,,,,,13,,,14,,,,,16,,,,,,,,,,,,11,,,13,,,,,14,14,14,100% LTAH PPS,,,,,,,,,,9,
PODOCON-25 LIQUID,,,50930009802,250,          ,262,,,0,248.9,210,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,210,,,,,,,183,,,197,,,,,236,,,,,,,,,,,,157,,,183,,,,,210,210,210,100% LTAH PPS,,,,,,,,,,127,
POLYMYXIN-B & TRIMET,,,,250,,87,,,0,82.65,70,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,70,,,,,,,61,,,65,,,,,78,,,,,,,,,,,,52,,,61,,,,,70,70,70,100% LTAH PPS,,,,,,,,,,42,
POLYSPORIN POWDER,,,68084034401,250,MG        ,56,,,0,53.2,45,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,45,,,,,,,39,,,42,,,,,50,,,,,,,,,,,,34,,,39,,,,,45,45,45,100% LTAH PPS,,,,,,,,,,27,
POTASSIUM ACET 2MEQ/,,,178032005,250,%         ,16.4,,,0,15.58,13,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,13,,,,,,,11,,,12,,,,,15,,,,,,,,,,,,10,,,11,,,,,13,13,13,100% LTAH PPS,,,,,,,,,,8,
KCL 20MEQ/10ML INJ,,,51079067001,250,MG        ,73,,,0,69.35,58,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,58,,,,,,,51,,,55,,,,,66,,,,,,,,,,,,44,,,51,,,,,58,58,58,100% LTAH PPS,,,,,,,,,,35,
POT CHL 10MEQ TABLET,,,378204293,250,MG        ,2.1,,,0,2,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
POTASSIUM PH 3MM/ML,,,62559015304,250,-1%,322.9,,,0,306.76,258,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,258,,,,,,,226,,,242,,,,,291,,,,,,,,,,,,194,,,226,,,,,258,258,258,100% LTAH PPS,,,,,,,,,,156,
PRANDIN 2MG TABLET,,,,250,,7,,,0,6.65,6,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,6,,,,,,,5,,,5,,,,,6,,,,,,,,,,,,4,,,5,,,,,6,6,6,100% LTAH PPS,,,,,,,,,,3,
PRAZOSIN 1MG CAPSULE,,,409793003,250,%         ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PRAZOSIN 5MG CAPSULE,,,,250,,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PRECOSE 50MG TABLET,,,60687034901,250,MG        ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PRED FORTE 1% EYE DR,,,63323031110,250,%         ,221.3,,,0,210.24,177,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,177,,,,,,,155,,,166,,,,,199,,,,,,,,,,,,133,,,155,,,,,177,177,177,100% LTAH PPS,,,,,,,,,,107,
PRED MILD 0.12% EYE,,,,250,,124,,,0,117.8,99,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,99,,,,,,,87,,,93,,,,,112,,,,,,,,,,,,74,,,87,,,,,99,99,99,100% LTAH PPS,,,,,,,,,,60,
PREDNISONE 1MG TABLE,,,,250,,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PREDNISONE 2.5MG TAB,,,641141035,250,MG/ML     ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PREDNISONE 5MG TABLE,,,,250,,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PREDNISONE 10MG TABL,,,85332030,250,MG/HR     ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PREDNISONE 20MG TABL,,,,250,,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PREMARIN 0.3MG TABLE,,,,250,,29.7,,,0,28.22,24,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,24,,,,,,,21,,,22,,,,,27,,,,,,,,,,,,18,,,21,,,,,24,24,24,100% LTAH PPS,,,,,,,,,,14,
PREMARIN 0.625MG TAB,,,,250,,29.7,,,0,28.22,24,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,24,,,,,,,21,,,22,,,,,27,,,,,,,,,,,,18,,,21,,,,,24,24,24,100% LTAH PPS,,,,,,,,,,14,
PREMARIN 0.9MG TABLE,,,68462043790,250,MG        ,29.7,,,0,28.22,24,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,24,,,,,,,21,,,22,,,,,27,,,,,,,,,,,,18,,,21,,,,,24,24,24,100% LTAH PPS,,,,,,,,,,14,
PREMARIN 1.25MG TABL,,,32909010510,250,%         ,7,,,0,6.65,6,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,6,,,,,,,5,,,5,,,,,6,,,,,,,,,,,,4,,,5,,,,,6,6,6,100% LTAH PPS,,,,,,,,,,3,
PREMARIN VAGINAL CRE,,,63323032620,250,GM        ,1939.2,,,0,"1,842.24","1,551",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"1,551",,,,,,,"1,357",,,"1,454",,,,,"1,745",,,,,,,,,,,,"1,164",,,"1,357",,,,,"1,551","1,551","1,551",100% LTAH PPS,,,,,,,,,,937,
PREPARATION H OINTME,,,68084056221,250,MG        ,19,,,0,18.05,15,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,15,,,,,,,13,,,14,,,,,17,,,,,,,,,,,,11,,,13,,,,,15,15,15,100% LTAH PPS,,,,,,,,,,9,
ENALAPRILAT INJ,,,338040903,250,MG/ML-%   ,21.1,,,0,20.05,17,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,17,,,,,,,15,,,16,,,,,19,,,,,,,,,,,,13,,,15,,,,,17,17,17,100% LTAH PPS,,,,,,,,,,10,
ERYTHROMYCIN 500MG,,,47335061730,250,MG        ,38.15,,,0,36.24,31,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,31,,,,,,,27,,,29,,,,,34,,,,,,,,,,,,23,,,27,,,,,31,31,31,100% LTAH PPS,,,,,,,,,,18,
PREVACID SOLUTAB,,,46110081,250,MG        ,18,,,0,17.1,14,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,14,,,,,,,13,,,14,,,,,16,,,,,,,,,,,,11,,,13,,,,,14,14,14,100% LTAH PPS,,,,,,,,,,9,
PRIMAXIN I.V. 250MG,,,46110281,250,MG        ,23.9,,,0,22.71,19,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,19,,,,,,,17,,,18,,,,,22,,,,,,,,,,,,14,,,17,,,,,19,19,19,100% LTAH PPS,,,,,,,,,,12,
PRIMAXIN I.V. 500MG,,,63323070408,250,GM        ,156.7,,,0,148.87,125,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,125,,,,,,,110,,,118,,,,,141,,,,,,,,,,,,94,,,110,,,,,125,125,125,100% LTAH PPS,,,,,,,,,,76,
MYSOLINE 250MG TABLE,,,46110481,250,MG        ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PROAMATINE 2.5MG TAB,,,46110381,250,MG        ,5.7,,,0,5.42,5,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,5,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,5,5,5,100% LTAH PPS,,,,,,,,,,3,
PROAMATINE 5MG TABLE,,,,250,,8.2,,,0,7.79,7,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,7,,,,,,,6,,,6,,,,,7,,,,,,,,,,,,5,,,6,,,,,7,7,7,100% LTAH PPS,,,,,,,,,,4,
PROBENECID 500MG TAB,,,58468013001,250,MG        ,11,,,0,10.45,9,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,9,,,,,,,8,,,8,,,,,10,,,,,,,,,,,,7,,,8,,,,,9,9,9,100% LTAH PPS,,,,,,,,,,5,
PROCAINAMIDE 100MG/M,,,,250,,24.05,,,0,22.85,19,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,19,,,,,,,17,,,18,,,,,22,,,,,,,,,,,,14,,,17,,,,,19,19,19,100% LTAH PPS,,,,,,,,,,12,
PROCAINAMIDE 500MG C,,,23031207,250,          ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PROCTOZONE-HC 2.5% C,,,63323047401,250,MG/ML     ,349.3,,,0,331.84,279,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,279,,,,,,,245,,,262,,,,,314,,,,,,,,,,,,210,,,245,,,,,279,279,279,100% LTAH PPS,,,,,,,,,,169,
PHENERGAN 12.5MG SUP,,,168002135,250,UNIT/GM   ,22,,,0,20.9,18,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,18,,,,,,,15,,,17,,,,,20,,,,,,,,,,,,13,,,15,,,,,18,18,18,100% LTAH PPS,,,,,,,,,,11,
PHENERGAN 12.5MG TAB,,,50383077517,250,%         ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PHENERGAN 25MG SUPPO,,,641614225,250,MG/ML     ,70.8,,,0,67.26,57,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,57,,,,,,,50,,,53,,,,,64,,,,,,,,,,,,42,,,50,,,,,57,57,57,100% LTAH PPS,,,,,,,,,,34,
PHENERGAN 25MG TABLE,,,9003928,250,MG        ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PROMETHAZINE 25MG/ML,,,173081059,250,MG        ,8.85,,,0,8.41,7,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,7,,,,,,,6,,,7,,,,,8,,,,,,,,,,,,5,,,6,,,,,7,7,7,100% LTAH PPS,,,,,,,,,,4,
PHENERGAN 50MG TABLE,,,45963055808,250,MG        ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PROPACET 100-650 TAB,,,338065604,250,%         ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PROPANTHELINE 15MG T,,,,250,,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
PROPARACAINE 0.5% DR,,,69097096205,250,MG        ,43,,,0,40.85,34,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,34,,,,,,,30,,,32,,,,,39,,,,,,,,,,,,26,,,30,,,,,34,34,34,100% LTAH PPS,,,,,,,,,,21,
PROPINE 0.1% EYE DRO,,,,250,,166,,,0,157.7,133,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,133,,,,,,,116,,,125,,,,,149,,,,,,,,,,,,100,,,116,,,,,133,133,133,100% LTAH PPS,,,,,,,,,,80,
INDERAL 10MG TABLET,,,,250,,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PROPRANOLOL 20MG TAB,,,,250,,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PROPRANOLOL 40MG TAB,,,,250,,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PROPRANOLOL 80MG TAB,,,299382060,250,%         ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
INDERAL LA 60MG CAPS,,,,250,,7,,,0,6.65,6,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,6,,,,,,,5,,,5,,,,,6,,,,,,,,,,,,4,,,5,,,,,6,6,6,100% LTAH PPS,,,,,,,,,,3,
PROPYLTHIOURACIL 50M,,,168002031,250,%         ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PROSCAR 5MG TABLET,,,60687010001,250,MG        ,11.45,,,0,10.88,9,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,9,,,,,,,8,,,9,,,,,10,,,,,,,,,,,,7,,,8,,,,,9,9,9,100% LTAH PPS,,,,,,,,,,6,
PROTONIX 40MG TABLET,,,832030100,250,MG        ,15.7,,,0,14.92,13,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,13,,,,,,,11,,,12,,,,,14,,,,,,,,,,,,9,,,11,,,,,13,13,13,100% LTAH PPS,,,,,,,,,,8,
PROTONIX 40MG/100ML,,,59011041520,250,MG        ,24.1,,,0,22.9,19,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,19,,,,,,,17,,,18,,,,,22,,,,,,,,,,,,14,,,17,,,,,19,19,19,100% LTAH PPS,,,,,,,,,,12,
PROVIGIL 100MG,,,,250,,105.5,,,0,100.23,84,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,84,,,,,,,74,,,79,,,,,95,,,,,,,,,,,,63,,,74,,,,,84,84,84,100% LTAH PPS,,,,,,,,,,51,
PROVIGIL TAB 200MG,,,,250,,37.3,,,0,35.44,30,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,30,,,,,,,26,,,28,,,,,34,,,,,,,,,,,,22,,,26,,,,,30,30,30,100% LTAH PPS,,,,,,,,,,18,
PROZAC 10MG PULVULE,,,74621513,250,MG        ,9.65,,,0,9.17,8,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,8,,,,,,,7,,,7,,,,,9,,,,,,,,,,,,6,,,7,,,,,8,8,8,100% LTAH PPS,,,,,,,,,,5,
