name,business_type,state_registered,street_physical
"HL 4WHEELER, INC.",CORPORATION,MS,9035 HIGHWAY 61
BOSS TRUCKING LLC,LLC,MS,1017 MIRACLE LN
EDIBLE BLISS LLC,LLC,MS,124 CR 1369
BIG ALS READY ICE LLC,LLC,MS,84 MAGNOLIA ACRES RD
DUNBAY LLC,LLC,MS,15256 HWY 603
DESOTO HELP LLC,LLC,MS,3171 QUARTZ DR.
"THE CREDIT FIRM, L.L.C.",LLC,MS,1606 KOSMAS DRIVE
PIERRE & PIERRE LLC,LLC,MS,1012 BUCKLEY DRIVE
EDP RENEWABLES NORTH AMERICA LLC,LLC,DE,1501 MCKINNEY ST STE 1300
"DRIVER INVESTMENTS, LLC",LLC,MS,7713 NOLAN ST.
BISHOP'S DISTRIBUTING L.L.C.,LLC,MS,328 LAKE VIEW DRIVE
POWELL'S SERVICES LLC,LLC,MS,11900 OAK HOLLOW DRIVE
"KRAFT ELECTRIC, LLC",LLC,MS,14647 HWY 433 S
"STIX-N-STONES DEVELOPMENT, LLC",LLC,MS,16017 FRANKLIN DR
"EMBY'S ENVIRONMENTAL DESIGNS, LLC",LLC,MS,1815 HILLGREEN DR
"STUTZMAN FORESTRY AND DOZER SERVICES, LLC",LLC,MS,701 W CHEROKEE ST
"GRISHAM PROPERTIES, LLC",LLC,MS,1900 SHILOH ROAD
"FREEDOM CONTRACTORS JV1,LLC",LLC,MS,118 BAYOU CIRCLE
"BROUSSARD HOLDINGS, LLC",LLC,MS,15401 OLD RIVER ROAD LOOP
"HEATH HODGES BUILDING & DESIGN, LLC",LLC,MS,10290 CR 145
"SHEA GIBSON PHOTOGRAPHY, LLC",LLC,MS,30 HUGHES ROAD
"EAGLE EYE PERSONAL DEFENSE, LLC",LLC,MS,23 COUNTY ROAD 277
"OLIVER ADJUSTMENT COMPANY, INC.",CORPORATION,WI,908 8TH AVE
"CALEDONIA PROPERTIES, LLC",LLC,MS,195 HILLBROOKE WAY
"FORNEA WILLIAMS REAL ESTATE INVESTMENTS, LLC",LLC,MS,30610 BALLTOWN RD
"WILSON FAMILY PROPERTY 6, LLC",LLC,MS,2146 W MOUNTAIN CREEK RD
"15704 BRODNAX ROAD, LLC",LLC,MS,1600 25TH AVE
"B&K PROPERTY SERVICES, LLC",LLC,MS,100 EAST RAILROAD
"ACES & EIGHTS, LLC",LLC,MS,4007 GLOVER ST.
BLACK ECCENTRICS LLC,LLC,MS,10569 STEEPLECHASE DR
SHEAR PERFECTION HAIR STUDIO LLC,LLC,MS,1165 BRANCH ST
"POWER LANE HOLDINGS, LLC",LLC,MS,2 MORGANS LNDG
DB LIMITLESS INNOVATIONS LLC,LLC,MS,8938 LIGON DRIVE
"JRG ENTERPRISES, LLC",LLC,MS,3008 BIENVILLE BLVD
DERANE MAYO & SONS LOGGING LLC,LLC,MS,100 COCHRAN RD
"STERLING SOUTH PROPERTIES, LLC",LLC,MS,119 GREEN TIMBER LOOP
"LE DESSERTS & DRINKS, LLC",LLC,MS,228 LAUREL COURT
"A GROOMER ON THE GO, LLC",LLC,MS,47 SHADOW RIDGE DR
BREAKING FREE LLC,LLC,MS,109 STERLING ROAD
SISTERS HEARTS MINISTRY LLC,LLC,MS,119 COMPRESST STREET
"W.J. SERVICES, LLC",LLC,MS,903 COIT STR
SPRING HILL FARMS LLC,LLC,MS,123 TUXFORD ROAD
"CHILDREN'S WORLD LEARNING ACADEMY OF JACKSON, LLC",LLC,MS,394 VALLEY ST
"BEACH EAGLES, LLC",LLC,MS,18 IVEY LN
"VICTORY HILL, LLC",LLC,MS,108 VICTORY HILL LANE
"LINDSEY ENTERPRISES, LLC",LLC,MS,153 SAGEFIELD SQ
E AND R AUTO LLC,LLC,MS,1343 HIGHWAY 503
"GULF SHORE GROUP, LLC",LLC,MS,1612 CAHILL DRIVE
WHITEHEAD WOUND CARE PLLC,LLC,MS,3124 A HWY 24 & 33
CORNIVAL POPCORN NORTHPARK LLC,LLC,MS,1200 E COUNTY LINE RD SUITE 154
CREATIVE IMAGES LLC,LLC,MS,14722 CANAL CROSSING BLVD
V3 HEALTHCARE CORPORATION,CORPORATION,MS,2260 HIGHWAY 51 S.
"SOUTHEASTERN OUTDOORS,LLC",LLC,MS,3920 BIENVILLE BLVD
26 SIGNS LLC,LLC,MS,2919 HWY 26
PROPELLED PROPERTY MANAGEMENT LLC,LLC,MS,220 ANCIENT OAKS DR
LAKEFRONT MEMORIAL FUNERAL HOME L.L.C.,LLC,MS,976 MAIN STREET
GERTRUDE MCCARTY SMITH FOUNDATION FOR THE ARTS,CORPORATION,MS,15 BAKERS HILL LANE
"EMCS, LLC",LLC,MS,110 HEIGHTS DRIVE
"WITTWORKS, LLC",LLC,MS,4945 CLINTON-TINNIN ROAD
"B & L PROPERTIES OF CORINTH, LLC",LLC,MS,44 CR 153
LIVE LEARN GROW PEDIATRIC THERAPY SOLUTIONS LLC,LLC,MS,906 TETBURY PLACE
"S & L CONSTRUCTION SERVICES, LLC",LLC,MS,5979 SCR 106
"CAPITOL MARINE SERVICES, LLC",LLC,MS,630 POCAHONTAS ROAD
"SUNSHINE DRIVE, LLC",LLC,MS,1311 BAYOU DRIVE
"MO BROTHERS DELIVERY COMPANY, LLC",LLC,MS,3207 55TH AVE
HAMILTON VAULTRONICS LLC,LLC,TX,1050 GROVE RD
"284 HIGHPOINT, LLC",LLC,MS,118 NAPOLEON DRIVE
KIDDO COMPANY LLC,LLC,MS,6216 SHELLY DR
"PRESENTATION DESIGN GROUP, LLC",LLC,OR,1010 OBIE STREET
MEDDERS AGENCY LLC,LLC,MS,107 GRANBERRY WAY
"CHOOSE TO CHANGE, LLC",LLC,MS,1194 HWY 487 E
"BLACK BAYOU FARMS, LLC",LLC,MS,49665 CR 559
BHE WEB AND MEDIA SERVICES LLC,LLC,MS,826 CR 75
"365 PROPERTIES, LLC",LLC,MS,285 MAGNOLIA ST
"SOUTH HOUSE PROPERTIES, LLC",LLC,MS,746 HOUSTON THOMPSON ROAD
"CRYSTAL CLEAN HOUSE CLEANERS, LLC.",LLC,MS,1416 EAST VILLAGE PARKWAY
TST LAWN CARE & LANDSCAPE MAINTENANCE & PRESSURE WASHING LLC,LLC,MS,914 CR 405
"MICRO SPRINGS, LLC",LLC,MS,429 PORTER AVENUE
PINE BELT HOME INSPECTIONS LLC,LLC,MS,116 CALVIN PURVIS RD
"FMAFFILIATES,LLC",LLC,MS,1007 NELSON STREET
GALVIAN GROUP LLC,LLC,MS,1202 COTTON ST
"T & J PROPERTY INVESTMENTS, LLC",LLC,MS,1007 MISSION PARK DR
BRITTANI ARIANA LLC,LLC,MS,5520 DOGWOOD TRAIL
TOTAL CAR CARE MOTORS LLC,LLC,MS,6401 NORTH HILLS ST
"NEW BEGINNING PCH, LLC",LLC,MS,722 NORTH RANKIN ST
"GRIFFIE LAW FIRM, PLLC",LLC,MS,103 FOURTH AVENUE NORTH
"OVERHEAD DOOR COMPANY, INC., MEMPHIS, TENNESSEE",CORPORATION,TN,2080 ELVIS PRESLEY
R.E.B TRANSPORT LLC,LLC,MS,27041 BASS POINT
"BOOKOUT PROPERTIES, LLC",LLC,MS,90 STEELMAN ROAD
"BROOKSTECH CONSULTING, LLC",LLC,MS,925 GOODYEAR BLVD
"FOUR SEASONS ORNAMENTAL SPRAY SERVICES, LLC",LLC,MS,407 SANDHILL TOWNSHIP ROAD 
H TOWN TRUCKING LLC,LLC,MS,1056 VINCENT STREET
"MISSISSIPPI HORMONE THERAPY, LLC",LLC,MS,1007 MISSION PARK DR
"MAGNOLIA LAND CO., LLC",LLC,MS,1007 MISSION PARK DR
CHAN'S KABUKI INC,CORPORATION,MS,1631 JACKSON AVE W
"A & K HOUSING, LLC",LLC,MS,16 WEST LAKE RD
PROFESSIONAL PERSONAL CARE HOME LLC,LLC,MS,2611 MEADOWS ST
TRUTH SEEKER LLC,LLC,MS,225 PEARLIE OWENS DRIVE
"ASSURANCE HOME INSPECTIONS, LLC",LLC,MS,31 SOUTHWIND ROAD
"GUILLEN REMODELING, LLC",LLC,MS,88 FLOYD SMITH RD
"MIGHTY MEN MOVERS MS, LLC",LLC,MS,13205 CHASAE LANE
"OLIVER HOME REPAIRS, LLC",LLC,MS,8199 FARMINGTON DR E
PARKER ELECTRIC HEAT AND AIR LLC,LLC,MS,12 TILLERY PLACE
MARK K. SMITH CONSULTING INC.,CORPORATION,MS,2258 OLD RED STAR DR NW
KS LONG BEACH REAL ESTATE LLC,LLC,MS,325 T SMITH ROAD
"AMES, LLC",LLC,MS,312 COTTON GIN LANE
"CLAY RIDGE PROPERTIES, LLC",LLC,MS,4522 HWY 84 EAST
DEEP SOUTH CONSTRUCTION LLC,LLC,MS,120 STORMY DR
GIRLIEGIRL FASHION BOUTIQUE. LLC,LLC,MS,724 CRESTON DR.
"LANFRE, LLC",LLC,MS,64 BOBBY HENDRY DRIVE
"SNOW SYSTEMS, LLC",LLC,MS,409 MARIETTA STREET
"TIM PAUL CARPET CARE, LLC",LLC,MS,4107 OAK HILL DRIVE
"GLUCKSTADT PARK, LLC",LLC,MS,965 HWY 51 N
MUDD INC,CORPORATION,MS,1837 EAST ALEXANDER STREET
"INTEGRAL SYSTEMS ENGINEERING, LLC",LLC,MS,5481 OLD WEST POINT ROAD
"THE WANDERING TRAVELER, LLC",LLC,MS,409 LONGINO ST.
"2120 25TH AVENUE, LLC",LLC,MS,1600 25TH AVE
MILLER EQUIPMENT HOLDINGS LLC.,LLC,MS,136 WILSON ROAD
SPAIN TO MAINE HAULING LLC,LLC,MS,1844 JACQUELINE DR
"M-GLUCKSTADT INVESTMENTS, LLC",LLC,MS,965 HWY 51 N
"M-GLUCKSTADT HOLDINGS, LLC",LLC,MS,965 HWY 51 N
MAGEE'S TRANSPORT LLC,LLC,MS,805 N 30TH AVE
LAWRENCE H2O INC,CORPORATION,FL,3104 N DAVIS HWY
EXCLUSIVE LIFE & EVENT CENTER LLC,LLC,MS,1403 S. BROADWAY
WINONA NO. 1 CHINESE RESTAURANT INC,CORPORATION,MS,608 N APPLE GATE STREET
"TCM SERVICES, LLC",LLC,MS,313 KELLY ROSE LANE
"NOLA BY THE BAY, LLC",LLC,MS,4010 N BEACH BOULEVARD
"CARMICHAEL INVESTIGATIONS, L.L.C.",LLC,MS,10675 SPRINGRIDGE ROAD
"OCEANKAT, LLC",LLC,MS,9153 LORRAINE ROAD
"BLACKWATER REAL ESTATE, LLC",LLC,MS,9175 ASHBURY LANE
"BLACKWATER, LLC",LLC,MS,9175 ASHBURY LANE
"OCEANVIEW INVESTMENTS, LLC",LLC,MS,1262 GLENDALE CIRCLE
"SOUTHERN DENTAL MANAGEMENT GROUP, LLC",LLC,MS,1350 W GOVERNMENT ST
"MELISSA SHERWOOD PHOTOGRAPHY, LLC",LLC,MS,196 MANDARIN DRIVE
"BRUNSON FIREARMS, LLC",LLC,MS,6508 SPRINGRIDGE ROAD
WASH ENTERPRISE LLC,LLC,MS,1238 HIGHWAY 16 W
TIPSY TURBY BOUNCERS LLC,LLC,MS,729 SAMUEL TILDEN ST
"STEWART MANAGEMENT SOLUTIONS, LLC",LLC,MS,5997 WOODS ROAD
FORTY NINE DEGREES LLC,LLC,OH,149 HARVEST DRIVE
"SEQUOIA RENTALS, LLC",LLC,MS,31 CR 2015
ALPHA & OMEGA TRUCKING LLC,LLC,MS,9262 OLD HWY 63N
BADFISH DRIP CO. LLC,LLC,MS,9055 HWY 51 N
"HARVEY SALES AND CONSULTING, LLC",LLC,MS,1700 OLD BENTON RD
"THEISLANDER, LLC",LLC,MS,15256 HWY 603
"PK ASSOCIATES, LLC",LLC,AZ,7434 E MCDONALD DR
"KAR PERFORMANCE, LLC",LLC,MS,201 PROVIDENCE DRIVE
"BLX2, LLC",LLC,MS,1703 BEACH BLVD
"RECONTROL HEALTH, LLC",LLC,MS,544 COUNTY ROAD 102
CHANGING HISTORY PROMOTIONS LLC,LLC,MS,155 OLYMPIA FIELDS
"2909 26TH AVENUE, LLC",LLC,MS,2688 BEACH BLVD.
LKQ GLOBAL LLC,LLC,MS,3900 BIENVILLE BLVD.
"PELICAN URGENT CARE MS, LLC",LLC,MS,3004 MINNESOTA AVENUE
"180 MEDIA, LLC",LLC,MS,110 S WILSON BLVD
EXKLUSIVE LOUNGE LLC,LLC,MS,111 BONNIE CIRCLE
MY WAY RANCH LLC,LLC,MS,22079 HIGHWAY 28
STARNES CONSULTING LLC,LLC,MS,22079 HIGHWAY 28
"BSW COASTAL IMPROVEMENT, LLC",LLC,MS,7 OLD OAK LANE
C & E FRAMING LLC.,LLC,MS,836 ROBINSON SPRINGS RD.
GORE AND MELTON CONSTRUCTION PLLC,LLC,MS,102 HWY 315
DIVAS ON ANOTHER LEVEL LLC,LLC,MS,2429 ACADEMY DR
THE CHRISTMAN COMPANY,CORPORATION,MI,208 N. CAPITOL AVENUE
WILL MITCH DESIGNS & COMPANY LLC,LLC,MS,215 LEVON OWENS DR
B2 TIMBER LLC,LLC,MS,2259 GREENBRIAR DRIVE
"CHEMCO, LLC",LLC,MS,2603 22ND AVENUE
"FIRST CHOICE INSURANCE, INC.",CORPORATION,MS,19 S. MAIN ST
DELMAR ENTERPRISES LLC,LLC,MS,206 GAVIN CHURCHWELL ROAD
"ASCENSION INDUSTRIES, INC.",CORPORATION,MS,5125 LINCOLN ROAD
"THE MADISON LOGAN AGENCY, LLC",LLC,MS,229 KATHERINE DRIVE
GREEN ROOFING & WATERPROOFING TECHNOLOGIES LLC,LLC,FL,604 COLONIA LANE E
"TITUS CONSTRUCTION, LLC",LLC,MS,41 AUBREY HOLSTON ROAD
"UNRUH FARMS, LLC",LLC,MS,5281 BLACK BAYOU RD
PERFORMANCE DRYWALL LLC,LLC,MS,102 HARVEST DR
"BROWNING CONTRACTORS, INC.",CORPORATION,TN,50 LAKE EDGE DRIVE
AFFORDABLE AUTO SALES LLC,LLC,MS,1711 PROSPECT AVE
GREY STREET VENTURES LLC,LLC,MS,9 SOUTH OF FIELDS
YOUTH SPORTS FOUNDATION,CORPORATION,MS,10347 LAKE FOREST DRIVE
"B O S SECURITY, INC.",CORPORATION,GA,651 W BROAD ST
"MAYS MEDICAL WELLNESS, LLC",LLC,MS,730 GOODMAN EAST RD SUITE 2
V AND H SOUTHERN TRUCKING LLC,LLC,MS,29 SOUTH LANE
FAIRLEY RICE INVESTMENTS LLC.,LLC,MS,3976 NORTHEAST DRIVE
"GUNDERSON PROPERTIES, LLC",LLC,MS,1010 JACKSON AVENUE
JIMMYK'S LLC,LLC,MS,39 TEMPLE ROAD
"JBMIII, LLC",LLC,MS,846 SECOND STREET
"SRT, LLC",LLC,MS,846 SECOND STREET
"WGF, LLC",LLC,MS,846 SECOND STREET
"SBF, LLC",LLC,MS,846 SECOND STREET
"OXFORD WINE AND SPIRITS, LLC",LLC,MS,529 CR 215
SIGN ENGINE LLC,LLC,MS,848 DODGE AVE
"JDM PHOTOGRAPHY, LLC",LLC,MS,811 BUTLER DR
PSYCHIATRIC PRACTICE RESOURCES PLLC,LLC,MS,207 WEST JACKSON STREET
"ON TIME MECHANICS, LLC",LLC,MS,2020 LADNIER RD. APT.6E
"GAMEDAY SALON, LLC",LLC,MS,1203 N GLOSTER ST SUITE M
TRIPLE C TRANSPORTATION LLC,LLC,MS,1481 MOUNT GILEAD ROAD
ADAMS TRANSPORTATION SERVICES LLC,LLC,MS,8 CASE ST
2018 HARDY STREET PROPERTIES LLC,LLC,MS,735 AVIGNON DRIVE
"B & J ROOFING, LLC",LLC,MS,903 KENWOOD LANE
"AR SERVICES, LLC",LLC,MS,5622 AHULI PLACE
"PETALS & LACE FORMAL FASHION, LLC",LLC,MS,12 W. MARION STREET
BROTHERS INVESTMENT GROUP LLC,LLC,MS,1494 HWY 348
SKEETER ROBINSON FUNERAL HOME LLC,LLC,MS,1733 B SOUTH COMMERCE STREET
PORTMUTHIAN GULF HOLDINGS LLC,LLC,MS,2701 57TH ST CT NW
"KIDS WITH BENEFITS, LLC.",LLC,MS,2088 OWL WING PL
"WS CATTLE COMPANY, LLC",LLC,MS,200 CRAWFORD RD.
PAINTER MAN PROS LLC,LLC,MS,891 CR 633
"STOUT, KRUG, KRUG, RYAN & ASSOCIATES, INC.",CORPORATION,IL,1000 W. TOUHY AVE.
CEPOP HOLDINGS LLC,LLC,MS,103 COUNTRY COVE LANE
CARNELLS RESTAURANT LLC,LLC,MS,105 W JOHN C STENNIS DR
"ON THE TOP SECURITY, LLC",LLC,TN,2500 MT MORIAH RD STE H264
"ABOVE THE BARRE PERFORMING ARTS ACADEMY, LLC",LLC,MS,70 BURNT HOUSE ROAD
FRANKLIN'S AUTO LLC.,LLC,MS,1028 CR 371
"ABE-CORT ENTERPRISES, LLC",LLC,MS,3615 JUDITH DRIVE
"ALLIED TREE COMPANY, LLC",LLC,MS,25 JONES ROAD
SHOUP'S MARINE LLC,LLC,MS,3935 GRAY ACADEMY RD
"CUSTOMEYEZ APPAREL & DESIGNZ, INC",CORPORATION,MS,409 MALLORY LANE
"MISSISSIPPI REGION VI RURAL DEVELOPMENT GP II, LLC",LLC,MS,102 CAMDEN LANE
"MISSISSIPPI REGION VI RAD DEVELOPMENT GP I, LLC",LLC,MS,1910 FARMERVILLE HWY
SOUTHWEST WELLNESS ASSOCIATION OF MISSISSIPPI,CORPORATION,MS,248 FOSTER MOUND ROAD
"SWEET FEET, LLC",LLC,MS,12 PINE MEADOWS LOOP
LOCK MCNATT PROPERTIES LLC,LLC,MS,1030 LONG LEAF RD
PFG OF COLUMBIA LLC,LLC,MS,1108 MOBLEY ST
"LISA LIGHTHEART, LLC",LLC,MS,218 LIGHTHOUSE LANE
MADISON REBS REAL ESTATE LLC,LLC,MS,144 TRACE COVE DR
MICHELLES EXCLUSIVE BARBER & BEAUTY SHOP LLC,LLC,MS,3224 NORTH 5 AVE
"BIG BAD WOLF, LLC",LLC,MS,711 LUMPKIN AVE.
"HATTIESBURG NATLAND, LLC",LLC,MS,341 RALPH RAWLS ROAD
"PARMCO, LLC",LLC,MS,209 PARK COURT
"BOGUE FALIA LAND COMPANY, LLC",LLC,MS,107 BROADFOOT CIRCLE
"MORA & IGLESIAS, TRANSLATION AND LANGUAGE SERVICES, LLC",LLC,MS,140 FENWICK CIRCLE
LAWN CARE CLINIC LLC,LLC,MS,105 BRADFIELD RD
"STEVE HAMPTON AGENCY, LLC",LLC,MS,1116 B MISSISSIPPI DRIVE
"SARRETT PROTECTIVE SERVICES, LLC",LLC,MS,218 PATTON DRIVE
"THE POLKA DOT BAKERY, LLC",LLC,MS,14480 BYHALIA ROAD
"KB TESTING SERVICES, LLC",LLC,MS,4480 BOXWOOD COVE
WILLIAMS CONSERVATION & ENVIRONMENTAL PLANNING LLC,LLC,MS,7397 WILCO DRIVE
"STINGRAY PROPERTIES, LLC",LLC,MS,424 WAINWRIGHT STREET
"CATHERINE MISITA LCSW, LLC",LLC,MS,20 DUNBAR RD
NOBLE MOTIVE INC.,CORPORATION,MS,118 RAINBOW CIRCLE
WAY JACKSON RESTAURANT GROUP LLC,LLC,MS,300 CONCOURSE BLVD SUITE 101
340 PROPERTIES LLC,LLC,MS,27367 ROAD 340
"BRIGHT MINDS EDUCATIONAL CENTER, LLC",LLC,MS,410 GREEN TREE PL
PLURIMAE PLANTAE LLC,LLC,MS,8868 CR 436
FARREN WINDHAM CRNA LLC,LLC,MS,1822 HIGHWAY 184 EAST
"KING LAWN CARE, LLC",LLC,MS,19034 HIGHWAY 603
LITTLE BITTA EVERYTHING LLC,LLC,MS,4551 PARSONS ROAD
LLOYD DEVELOPMENT LLC,LLC,MS,218 E. PRESIDENT AVE
KELLY'S ANGEL WINGS GREENHOUSE LLC,LLC,MS,6656 HWY 178
RUNNIN ON E GRAPHIX LLC,LLC,MS,874 CRIGLER ROAD
MED LAB TRAINING CENTER L.L.C.,LLC,MS,181 COPPER RIDGE LN
"RAYPHO, LLC",LLC,MS,199 BRADFIELD RD.
JANABERRY FARMS LLC,LLC,MS,304 WEST MADISON
LEGACY HOLDINGS LLC,LLC,MS,8569 LIZELIA RD
"OXFORD HILLS, LLC",LLC,MS,329 WISHING TREE LANE
"BELUE PROPERTIES, LLC",LLC,MS,188 WOODLAWN RD
"WS WILDLIFE SERVICE, LLC.",LLC,MS,200 CRAWFORD RD.
"WEDGEWORTH DEVELOPMENT, LLC",LLC,MS,2855-B OAK GROVE RD
"CLEAN SCENE, LLC",LLC,MS,133 GRANDVIEW DRIVE
"STEWART INVESTMENT PROPERTIES, LLC",LLC,MS,100 CREEKSIDE DR
YPS PUBLICATIONS LLC,LLC,MS,5449 WILLIAMS DR
"ZAVATION MEDICAL PRODUCTS, LLC",LLC,MS,220 LAKELAND PKWY
"HARDEN OIL, LLC",LLC,MS,820 S 28TH AVE
"TDG JOHN CLARK, LLC",LLC,MS,12287 HIGHWAY 49
"BREWER BUILDINGS AND ASSOCIATES, LLC",LLC,MS,4558 LONGVIEW-ADATON ROAD
ALPHA & OMEGA CALIBRATION SERVICES LLC,LLC,MS,807 COTTONRIDGE DRIVE
SMART MEDI CARE HEALTH SERVICES INC,CORPORATION,TX,3317 FINLEY ROAD STE 114 
G&L COMMERICAL SERVICES LLC,LLC,MS,193 CR 321
"DIXIE DRIPPIN'S BARBECUE COMPANY, LLC",LLC,MS,15 CR 628
"R MOORE CONSTRUCTION, LLC",LLC,MS,11751 SCOTLAND ROAD
"T2 VIRTUAL SERVICES, INCORPORATED",CORPORATION,MS,2899 PYRAMID DR
"SEDONA PROPERTIES, LLC",LLC,MS,1776 LELIA DRIVE
"MOORE MEDICAL BILLING, LLC",LLC,MS,4100 N GLOSTER APT H304
VINES PROPERTIES LLC,LLC,MS,456 GWEN RD
LAWN WIZARD LLC,LLC,MS,4215 NAIL RD
"JDM LOGISTICS, LLC",LLC,MS,2082 ATTALA RD 1166
SOUND AND COMMUNICATIONS LLC,LLC,MS,104 CYPRESS CV
"BXX07, LLC",LLC,MS,300 HWY 51 SOUTH
L&G CONST LLC,LLC,MS,175 ANNANDALE PARKWAY EAST
"CROOKED LETTER CAPITAL, LLC",LLC,MS,4615 FRIAR CIRCLE
"M & E CONSTRUCTION, L.L.C.",LLC,MS,207 CHENEY RD
"MOBILE TECHNIQUES, LLC",LLC,MS,60 CEDAR WOOD DR
DM VENTURES LLC,LLC,MS,136 S POPLAR ST
TEAM GILLESPIE EDUCATIONAL CONSULTING SERVICES L.L.C.,LLC,MS,38 CHOCTAW RD
HERCULES MEDICAL INC,CORPORATION,MS,30 OLD OAK LANE
W E DRYWALLING LLC,LLC,MS,485 OLD SEBE WATTS ROAD
ALL OF THE ABOVE CONSTRUCTION LLC,LLC,MS,17 LEE HARNESS CIRCLE
THACH PHAM LLC,LLC,MS,6617 OAKBROOK DR
"C & M MATERIALS, LLC",LLC,MS,8412 SPARTA ROAD
"HOTTY TODDY TENTS, LLC",LLC,MS,24 COUNTY ROAD 271
"SAM'S MUFFLER AND AUTO, LLC",LLC,MS,12777 HWY 12 W
WHITE PEST CONTROL CORP,CORPORATION,MS,45 WESTBROOK ESTATES DRIVE
PAW PAW RODS LLC,LLC,MS,108 PINEHURST ST
TATER BUG'S TREE FARM LLC,LLC,MS,11908 S 52ND ST
TIPTON FAMILY FARMS LLC,LLC,MS,454 COUNTRY ROAD 238
TAIT WOOD & JEFCOAT PROPERTIES LLC,LLC,MS,234 DOGWOOD CIRCLE
S.B.K HEAT & AIR LLC,LLC,MS,163 MYERS RD
"SOUTH COAST CINEMA, LLC",LLC,MS,6 WEST BLUFF
NLC TRANSPORTATION LLC,LLC,MS,60 BUNCH LAKE ROAD
"AIR AND HEAT SERVICE COMPANY, LLC",LLC,MS,126 TUTTLE LANE
"HARD HAT RESIDENTIAL BUILDERS, LLC",LLC,MS,10231 SHALLOW CREEK DRIVE
"MEADCORP INVESTMENTS, LLC",LLC,MS,70 CINNAMON FERN LANE
"MY LITTLE SECRET BOUTIQUE, L.L.C",LLC,MS,116 NANCY CT
SAPPHIRE ENTERPRISES LLC,LLC,MS,3 RUE ORLEANS
"LIL MAN CONSTRUCTION, LLC",LLC,LA,19128 ROBERT ROAD
"225 SOUTH STREET HOLDINGS, LLC",LLC,MS,529 WHITE OAK ROAD
"GEM CITY PROPERTIES, LLC",LLC,MS,758 AUGUSTA WAY
BERNARD HOLDINGS LLC,LLC,MS,7130 HAMPTON DRIVE
"TL, LLC",LLC,MS,194 BUSINESS PARK DRIVE
"RESPONSIBLE FIREARM TRAINING AND CONSULTING,LLC",LLC,MS,574 MULLICAN ROAD
WOLF AVIATION LLC,LLC,MS,1007 MISSION PARK DR
WOOD & WINE DESIGN COMPANY LLC,LLC,MS,1217 IBERVILLE DRIVE
"GOOSE LAKE CAMPGROUND, LLC",LLC,MS,210 ALFRED DR.
SAVAGE APPAREL LLC,LLC,MS,1056 ROAD 833
"RL GRACE, LLC",LLC,MS,11865 INGRAM MILLS
"ALLIE KATS, LLC",LLC,MS,80 CANON DRIVE
"JOHN EARLS, LLC",LLC,MS,1107 MOSELLE SEMINARY RD
G2G SECURITY LLC,LLC,MS,114 FIORANELLI ST
"250 ST. AUGUSTINE DRIVE, LLC",LLC,MS,2045 MAIN STREET
TBD LLC,LLC,MS,186 WINDCHASE DR
"HEAVENLY CUPCAKES, LLC",LLC,MS,2221 PEARSON AVE
"SOUTHERN PAW'S, LLC",LLC,MS,301 FRANKLINTON STREET
A'ZURI ESSENTIALS LLC,LLC,MS,2416 PROSPERITY STREET
"LINDSAY ELKINS, MSW, LCSW, PLLC",LLC,MS,2027 19TH ST
"CAMO & PEARLS, LLC",LLC,MS,410 FOX BAY DRIVE
A&R CONSTRUCTION MANAGEMENT AND DEVELOPMENT LLC,LLC,AL,801 COMMERCE DRIVE
ABLE CONSTRUCTION LLC,LLC,MS,95 CR 7100
"OLDENBURG AGENCY, LLC",LLC,MS,1007 MISSION PARK DR
DELTA IRON LLC,LLC,MS,501 HWY 322
"EATON & SONS POOLS/CONSTRUCTION, LLC",LLC,MS,505 COUNTY ROAD 931
THERAPY PROPERTY MANAGEMENT LLC,LLC,MS,3161 HWY 334
PHOENIX AUTO SALES LLC,LLC,MS,484 HWY 80
CCE CORPORATE SHUTTLE SERVICES LLC,LLC,MS,1817 WISTERIA DRIVE
"DIAMOND TRAVEL, LLC",LLC,MS,7430 TRELLIS COVE
DMC PROPERTIES LLC,LLC,MS,58 COUNTY ROAD 275
"105 DEMONTLUZIN, LLC",LLC,MS,105 DEMONTLUZIN
AFRICAN AMERICAN LEADERSHIP LLC,LLC,MS,359 CULLEY DR
"MADISON MAIN, LLC",LLC,MS,119 CAMDEN TRAIL
A K D N CONSTRUCTION LLC,LLC,MS,1410 SUPERIOR STREET
MISSISSIPPI HEARING CENTERS INC,CORPORATION,MS,1180 CROSS CREEK DR.
"TEXAS LAND COMPANY, LLC",LLC,MS,1037 FALCON CREST LN
"THE BASIN HUNT CLUB, LLC",LLC,MS,101 ARBOR LANE
"KT, LLC",LLC,MS,106 GOLDEN LEAF COVE
"MY OILY HABIT, LLC",LLC,MS,4925 HWY 61 SOUTH
"EMPOWERED TRANSPORTATION AND LOGISTICS, LLC",LLC,MS,221 KENDRA DRIVE
MAENELL LLC,LLC,MS,562 ROAD 1199
TALK MORE WIRELESS ALABAMA LLC,LLC,FL,146 2ND ST. N STE 310
MURRAY MOTORSPORTS LLC,LLC,MS,5572 CHAPEL RIDGE TRAIL EAST
"1426 SHEFFIELD PROPERTY, LLC",LLC,MS,735 AVIGNON DRIVE
"CALM ENTERPRISES, LLC",LLC,MS,1033 HIGHWAY 6 WEST
LILES OF SMILES LLC,LLC,MS,210 PENNY LN
"CCL HOLDINGS, INC",CORPORATION,MS,23213 WRIGHT RD
