Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna,Exchange_-Common_Ground,Health_EOS,Humana_WVN,Humana_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"BAY AREA","CHARGE","10000731","NM RENAL FUNCTION WO DRUG","78707","2,460.00","2,238.60","620.87","685.05","1,217.83","1,328.40","2,118.06","1,697.40","2,238.60","1,476.00","1,869.60","2,091.00","2,214.00","1,153.96","2,091.00","1,714.62","1,220.34","1,356.09","1,353.00","620.87","2,238.60"
"BAY AREA","CHARGE","10000732","NM RENAL FUNCTION W DRUG","78708","2,660.00","2,420.60","726.01","787.13","899.18","1,436.40","2,290.26","1,835.40","2,420.60","1,596.00","2,021.60","2,261.00","2,394.00","2,660.00","2,261.00","1,854.02","1,596.00","1,729.00","1,463.00","726.01","2,660.00"
"BAY AREA","CHARGE","10000733","NM RENAL FUNCTION WWO DRUG","78709","3,890.00","3,539.90","981.79","1,083.27","1,925.76","2,100.60","3,349.29","2,684.10","3,539.90","2,334.00","2,956.40","3,306.50","3,501.00","1,824.75","3,306.50","2,711.33","1,929.72","2,144.38","2,139.50","981.79","3,539.90"
"BAY AREA","CHARGE","10000734","NM TUMOR LOCALIZATION/LTD","78800","1,350.00","1,228.50","340.72","375.94","668.32","729.00","1,162.35","931.50","1,228.50","810.00","1,026.00","1,147.50","1,215.00","633.27","1,147.50","940.95","669.70","744.20","742.50","340.72","1,228.50"
"BAY AREA","CHARGE","10000735","NM TUMOR LOCALIZATION/WB 1 DAY","78802","2,030.00","1,847.30","512.35","565.31","1,004.96","1,096.20","1,747.83","1,400.70","1,847.30","1,218.00","1,542.80","1,725.50","1,827.00","952.25","1,725.50","1,414.91","1,007.03","1,119.05","1,116.50","512.35","1,847.30"
"BAY AREA","CHARGE","10000736","NM TUMOR LOCALIZATION/SPECT","78803","2,320.00","2,111.20","585.54","646.06","1,148.53","1,252.80","1,997.52","1,600.80","2,111.20","1,392.00","1,763.20","1,972.00","2,088.00","1,088.28","1,972.00","1,617.04","1,150.89","1,278.91","1,276.00","585.54","2,111.20"
"BAY AREA","CHARGE","10000737","NM TUMOR LOCALIZATION/WB 2+ DAY","78804","2,710.00","2,466.10","683.97","754.67","1,341.60","1,463.40","2,333.31","1,869.90","2,466.10","1,626.00","2,059.60","2,303.50","2,439.00","1,271.23","2,303.50","1,888.87","1,344.36","1,493.90","1,490.50","683.97","2,466.10"
"BAY AREA","CHARGE","10000743","NM THERAPY ORAL ADMINISTRATION","79005","925.00","841.75","233.46","257.59","457.93","499.50","796.43","638.25","841.75","555.00","703.00","786.25","832.50","433.91","786.25","644.73","458.87","509.91","508.75","233.46","841.75"
"BAY AREA","CHARGE","10000744","NM RADIOPHARMACEUTICAL THERAPY IV","79101","1,160.00","1,055.60","292.77","323.03","574.26","626.40","998.76","800.40","1,055.60","696.00","881.60","986.00","1,044.00","544.14","986.00","808.52","575.44","639.46","638.00","292.77","1,055.60"
"BAY AREA","CHARGE","10000747","POC URINE DIPSTICK W/O MICRO","81002","38.00","34.58","13.59","15.08","25.97","20.52","32.72","26.22","34.58","22.80","28.88","32.30","34.20","21.94","32.30","26.49","18.88","22.03","20.90","13.59","34.58"
"BAY AREA","CHARGE","10000748","URINALYSIS SCREEN MANUAL","81002","28.00","25.48","9.25","9.99","14.33","15.12","24.11","19.32","25.48","16.80","21.28","23.80","25.20","11.14","23.80","19.52","12.23","13.91","15.40","9.25","25.48"
"BAY AREA","CHARGE","10000750","URINALYSIS AUTO W/O MICRO","81003","73.00","66.43","29.60","32.40","47.57","39.42","62.85","50.37","66.43","43.80","55.48","62.05","65.70","36.87","62.05","50.88","36.88","41.83","40.15","29.60","66.43"
"BAY AREA","CHARGE","10000751","URINE MICROSCOPIC","81015","39.00","35.49","6.24","6.94","26.91","21.06","33.58","26.91","35.49","23.40","29.64","33.15","35.10","6.70","33.15","27.18","7.51","8.76","21.45","6.24","35.49"
"BAY AREA","CHARGE","10000752","URINE RBC MICROSCOPIC","81015","39.00","35.49","12.89","13.92","19.96","21.06","33.58","26.91","35.49","23.40","29.64","33.15","35.10","15.51","33.15","27.18","17.03","19.37","21.45","12.89","35.49"
"BAY AREA","CHARGE","10000753","POC-URINE DIPSTICK PREGNANCY","81025","94.00","85.54","31.06","33.55","48.11","50.76","80.93","64.86","85.54","56.40","71.44","79.90","84.60","37.39","79.90","65.52","41.06","46.68","51.70","31.06","85.54"
"BAY AREA","CHARGE","10000754","URINE DIPSTICK PREGNANCY","81025","134.00","121.94","50.32","54.85","87.95","72.36","115.37","92.46","121.94","80.40","101.84","113.90","120.60","71.26","113.90","93.40","66.72","75.96","73.70","50.32","121.94"
"BAY AREA","CHARGE","10000756","URINE TIMED VOLUME, EACH","81050","23.00","20.93","6.10","6.10","6.10","12.42","19.80","15.87","20.93","13.80","17.48","19.55","20.70","2.46","19.55","16.03","8.02","9.49","12.65","2.46","20.93"
"BAY AREA","CHARGE","10000757","ACETAMINOPHIN","80329","284.00","258.44","153.45","170.55","195.96","153.36","244.52","195.96","258.44","170.40","215.84","241.40","255.60","185.27","241.40","197.95","194.10","221.96","156.20","153.36","258.44"
"BAY AREA","CHARGE","10000758","ACETONE SERUM QUALITATIVE","82009","47.00","42.77","15.53","16.78","24.06","25.38","40.47","32.43","42.77","28.20","35.72","39.95","42.30","18.70","39.95","32.76","20.53","23.34","25.85","15.53","42.77"
"BAY AREA","CHARGE","10000759","ACETONE SERUM QUANTITATIVE","82010","75.00","68.25","34.49","37.84","48.57","40.50","64.58","51.75","68.25","45.00","57.00","63.75","67.50","41.15","63.75","52.28","45.41","50.39","41.25","34.49","68.25"
"BAY AREA","CHARGE","10000760","ACETYLCHOLINESTERASE","82013","275.00","250.25","90.88","98.15","140.76","148.50","236.78","189.75","250.25","165.00","209.00","233.75","247.50","109.39","233.75","191.68","120.12","136.58","151.25","90.88","250.25"
"BAY AREA","CHARGE","10000761","ACYLCARNITINE QUANTITATIVE","82017","389.00","353.99","128.55","138.84","199.11","210.06","334.93","268.41","353.99","233.40","295.64","330.65","350.10","154.74","330.65","271.13","169.91","193.20","213.95","128.55","353.99"
"BAY AREA","CHARGE","10000762","NEWBORN FATTY ACID OXIDATION","82017","20.00","18.20","7.90","8.73","13.80","10.80","17.22","13.80","18.20","12.00","15.20","17.00","18.00","13.05","17.00","13.94","10.74","12.06","11.00","7.90","18.20"
"BAY AREA","CHARGE","10000763","ACTH","82024","373.00","339.43","90.22","90.22","90.22","201.42","321.15","257.37","339.43","223.80","283.48","317.05","335.70","33.77","317.05","259.98","110.18","130.45","205.15","33.77","339.43"
"BAY AREA","CHARGE","10000764","ALBUMIN, SERUM","82040","69.00","62.79","12.93","13.00","13.14","37.26","59.41","47.61","62.79","41.40","52.44","58.65","62.10","5.02","58.65","48.09","19.34","22.45","37.95","5.02","62.79"
"BAY AREA","CHARGE","10000765","ALBUMIN OTHER SOURCE EACH SPECIMEN","82042","77.00","70.07","48.24","53.60","53.13","41.58","66.30","53.13","70.07","46.20","58.52","65.45","69.30","62.44","65.45","53.67","59.97","63.56","42.35","41.58","70.07"
"BAY AREA","CHARGE","10000766","MICROALBUMIN URINE","82043","106.00","96.46","15.78","15.89","18.08","57.24","91.27","73.14","96.46","63.60","80.56","90.10","95.40","8.42","90.10","73.88","20.07","23.73","58.30","8.42","96.46"
"BAY AREA","CHARGE","10000767","MICROALBUMIN URINE 24 HR","82043","106.00","96.46","35.03","37.83","54.26","57.24","91.27","73.14","96.46","63.60","80.56","90.10","95.40","42.17","90.10","73.88","46.30","52.64","58.30","35.03","96.46"
"BAY AREA","CHARGE","10000768","MICROALBUMIN URINE TIMED","82043","106.00","96.46","35.03","37.83","54.26","57.24","91.27","73.14","96.46","63.60","80.56","90.10","95.40","42.17","90.10","73.88","46.30","52.64","58.30","35.03","96.46"
"BAY AREA","CHARGE","10000769","ALCOHOL SCREEN (ETHANOL)","80320","196.00","178.36","84.31","93.18","135.11","105.84","168.76","135.24","178.36","117.60","148.96","166.60","176.40","102.15","166.60","136.61","105.74","121.07","107.80","84.31","178.36"
"BAY AREA","CHARGE","10000770","ALDOLASE","82085","110.00","100.10","23.97","23.97","23.97","59.40","94.71","75.90","100.10","66.00","83.60","93.50","99.00","9.08","93.50","76.67","29.62","35.07","60.50","9.08","100.10"
"BAY AREA","CHARGE","10000771","ALDOSTERONE","82088","244.00","222.04","80.63","87.09","124.89","131.76","210.08","168.36","222.04","146.40","185.44","207.40","219.60","97.06","207.40","170.07","106.58","121.18","134.20","80.63","222.04"
"BAY AREA","CHARGE","10000772","ALDOSTERONE URINE","82088","246.00","223.86","81.29","87.80","125.91","132.84","211.81","169.74","223.86","147.60","186.96","209.10","221.40","97.86","209.10","171.46","107.45","122.18","135.30","81.29","223.86"
"BAY AREA","CHARGE","10000774","ALPHA-1 ANTITRYPSIN","82103","178.00","161.98","58.82","63.53","91.11","96.12","153.26","122.82","161.98","106.80","135.28","151.30","160.20","70.81","151.30","124.07","77.75","88.40","97.90","58.82","161.98"
"BAY AREA","CHARGE","10000775","ALPHA-1 ANTITRYPSIN PHENOTYPE","82104","178.00","161.98","58.82","63.53","91.11","96.12","153.26","122.82","161.98","106.80","135.28","151.30","160.20","70.81","151.30","124.07","77.75","88.40","97.90","58.82","161.98"
"BAY AREA","CHARGE","10000776","AFP, MATERNAL SCREEN","82105","88.00","80.08","24.90","24.90","24.90","47.52","75.77","60.72","80.08","52.80","66.88","74.80","79.20","9.47","74.80","61.34","30.89","36.57","48.40","9.47","80.08"
"BAY AREA","CHARGE","10000777","AFP, TUMOR MARKER","82105","194.00","176.54","39.21","39.21","39.21","104.76","167.03","133.86","176.54","116.40","147.44","164.90","174.60","37.41","164.90","135.22","49.63","58.60","106.70","37.41","176.54"
"BAY AREA","CHARGE","10000779","ALUMINUM","82108","174.00","158.34","57.50","62.10","89.06","93.96","149.81","120.06","158.34","104.40","132.24","147.90","156.60","69.22","147.90","121.28","76.00","86.42","95.70","57.50","158.34"
"BAY AREA","CHARGE","10000781","AMINO ACIDS QUANTITATIVE SNGL","82131","134.00","121.94","44.28","47.83","68.59","72.36","115.37","92.46","121.94","80.40","101.84","113.90","120.60","53.30","113.90","93.40","58.53","66.55","73.70","44.28","121.94"
"BAY AREA","CHARGE","10000782","AMINOLEVULINIC ACID","82135","118.00","107.38","38.99","42.12","60.40","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","46.94","100.30","82.25","51.54","58.60","64.90","38.99","107.38"
"BAY AREA","CHARGE","10000783","AMINO ACIDS QUANTITATIVE 6/>","82139","386.00","351.26","127.56","137.77","197.57","208.44","332.35","266.34","351.26","231.60","293.36","328.10","347.40","153.55","328.10","269.04","168.60","191.71","212.30","127.56","351.26"
"BAY AREA","CHARGE","10000784","AMMONIA","82140","150.00","136.50","69.41","76.88","94.23","81.00","129.15","103.50","136.50","90.00","114.00","127.50","135.00","100.05","127.50","104.55","92.17","99.87","82.50","69.41","136.50"
"BAY AREA","CHARGE","10000785","SRDP AMMONIA URINE","82140","126.00","114.66","38.68","38.68","38.68","68.04","108.49","86.94","114.66","75.60","95.76","107.10","113.40","15.17","107.10","87.82","49.49","58.59","69.30","15.17","114.66"
"BAY AREA","CHARGE","10000787","AMYLASE","82150","117.00","106.47","30.29","32.70","49.28","63.18","100.74","80.73","106.47","70.20","88.92","99.45","105.30","36.16","99.45","81.55","38.71","43.99","64.35","30.29","106.47"
"BAY AREA","CHARGE","10000789","AMYLASE, URINE","82150","118.00","107.38","38.99","42.12","60.40","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","46.94","100.30","82.25","51.54","58.60","64.90","38.99","107.38"
"BAY AREA","CHARGE","10000791","ANDROSTENEDIONE","82157","191.00","173.81","41.46","41.46","41.46","103.14","164.45","131.79","173.81","114.60","145.16","162.35","171.90","15.29","162.35","133.13","49.89","59.07","105.05","15.29","173.81"
"BAY AREA","CHARGE","10000792","ACE, CSF","82164","166.00","151.06","54.86","59.25","84.97","89.64","142.93","114.54","151.06","99.60","126.16","141.10","149.40","66.03","141.10","115.70","72.51","82.44","91.30","54.86","151.06"
"BAY AREA","CHARGE","10000793","ANGIOTENSIN CONVERTING ENZYME","82164","157.00","142.87","26.68","28.26","66.65","84.78","135.18","108.33","142.87","94.20","119.32","133.45","141.30","29.80","133.45","109.43","38.10","44.74","86.35","26.68","142.87"
"BAY AREA","CHARGE","10000794","APOLIPOPROTEIN A","82172","118.00","107.38","38.99","42.12","60.40","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","46.94","100.30","82.25","51.54","58.60","64.90","38.99","107.38"
"BAY AREA","CHARGE","10000795","APOLIPOPROTEIN B","82172","118.00","107.38","16.35","16.35","16.35","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","7.57","100.30","82.25","24.68","29.22","64.90","7.57","107.38"
"BAY AREA","CHARGE","10000796","ARSENIC","82175","118.00","107.38","38.99","42.12","60.40","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","46.94","100.30","82.25","51.54","58.60","64.90","38.99","107.38"
"BAY AREA","CHARGE","10000797","ARSENIC, URINE","82175","118.00","107.38","38.99","42.12","60.40","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","46.94","100.30","82.25","51.54","58.60","64.90","38.99","107.38"
"BAY AREA","CHARGE","10000798","VITAMIN C","82180","118.00","107.38","38.99","42.12","60.40","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","46.94","100.30","82.25","51.54","58.60","64.90","38.99","107.38"
"BAY AREA","CHARGE","10000799","BARBITURATES, GC/MS","80345","158.00","143.78","52.21","56.39","80.87","85.32","136.04","109.02","143.78","94.80","120.08","134.30","142.20","62.85","134.30","110.13","69.01","78.47","86.90","52.21","143.78"
"BAY AREA","CHARGE","10000800","PENTOBARBITAL","80345","165.00","150.15","54.53","58.89","84.45","89.10","142.07","113.85","150.15","99.00","125.40","140.25","148.50","65.64","140.25","115.01","72.07","81.95","90.75","54.53","150.15"
"BAY AREA","CHARGE","10000801","BETA-2 MICROGLOBULIN","82232","133.00","121.03","85.15","94.61","91.77","71.82","114.51","91.77","121.03","79.80","101.08","113.05","119.70","133.00","113.05","92.70","133.00","133.00","73.15","71.82","133.00"
"BAY AREA","CHARGE","10000803","BILE ACIDS, TOTAL","82239","167.00","151.97","55.19","59.61","85.48","90.18","143.79","115.23","151.97","100.20","126.92","141.95","150.30","66.43","141.95","116.40","72.94","82.94","91.85","55.19","151.97"
"BAY AREA","CHARGE","10000804","BILIRUBIN TOTAL","82247","98.00","89.18","38.23","42.33","61.68","52.92","84.38","67.62","89.18","58.80","74.48","83.30","88.20","62.15","83.30","68.31","54.30","60.43","53.90","38.23","89.18"
"BAY AREA","CHARGE","10000805","BILIRUBIN DIRECT","82248","98.00","89.18","41.36","45.83","62.80","52.92","84.38","67.62","89.18","58.80","74.48","83.30","88.20","65.61","83.30","68.31","59.02","64.61","53.90","41.36","89.18"
"BAY AREA","CHARGE","10000807","NEWBORN BIOTINIDASE","82261","20.00","18.20","7.90","8.73","13.80","10.80","17.22","13.80","18.20","12.00","15.20","17.00","18.00","13.05","17.00","13.94","10.74","12.06","11.00","7.90","18.20"
"BAY AREA","CHARGE","10000808","OCCULT BLOOD FECAL SCREENING","82270","34.00","30.94","11.24","12.14","17.40","18.36","29.27","23.46","30.94","20.40","25.84","28.90","30.60","13.52","28.90","23.70","14.85","16.89","18.70","11.24","30.94"
"BAY AREA","CHARGE","10000809","OCCULT BLOOD, OTHER","82271","34.00","30.94","23.59","26.18","23.46","18.36","29.27","23.46","30.94","20.40","25.84","28.90","30.60","34.00","28.90","23.70","34.00","34.00","18.70","18.36","34.00"
"BAY AREA","CHARGE","10000811","OCCULT BLOOD, FECES","82272","34.00","30.94","17.62","19.24","23.46","18.36","29.27","23.46","30.94","20.40","25.84","28.90","30.60","22.59","28.90","23.70","22.68","24.87","18.70","17.62","30.94"
"BAY AREA","CHARGE","10000813","OCCULT BLOOD FECAL IMMUNOASSAY","82274","76.00","69.16","34.12","34.12","34.12","41.04","65.44","52.44","69.16","45.60","57.76","64.60","68.40","14.48","64.60","52.97","42.47","50.23","41.80","14.48","69.16"
"BAY AREA","CHARGE","10000814","CADMIUM","82300","149.00","135.59","49.24","53.18","76.27","80.46","128.29","102.81","135.59","89.40","113.24","126.65","134.10","59.27","126.65","103.85","65.08","74.00","81.95","49.24","135.59"
"BAY AREA","CHARGE","10000815","CADMIUM URINE","82300","157.00","142.87","51.88","56.04","80.36","84.78","135.18","108.33","142.87","94.20","119.32","133.45","141.30","62.45","133.45","109.43","68.58","77.97","86.35","51.88","142.87"
"BAY AREA","CHARGE","10000816","VITAMIN D, 25-OH","82306","261.00","237.51","56.41","57.32","61.93","140.94","224.72","180.09","237.51","156.60","198.36","221.85","234.90","31.30","221.85","181.92","70.38","82.11","143.55","31.30","237.51"
"BAY AREA","CHARGE","10000817","CALCITONIN","82308","111.00","101.01","36.68","39.62","56.81","59.94","95.57","76.59","101.01","66.60","84.36","94.35","99.90","44.15","94.35","77.37","48.48","55.13","61.05","36.68","101.01"
"BAY AREA","CHARGE","10000818","CALCIUM SERUM","82310","83.00","75.53","22.66","22.76","22.93","44.82","71.46","57.27","75.53","49.80","63.08","70.55","74.70","21.57","70.55","57.85","32.24","37.10","45.65","21.57","75.53"
"BAY AREA","CHARGE","10000819","CALCIUM IONIZED","82330","105.00","95.55","38.34","42.60","72.45","56.70","90.41","72.45","95.55","63.00","79.80","89.25","94.50","63.19","89.25","73.19","61.32","71.59","57.75","38.34","95.55"
"BAY AREA","CHARGE","10000822","CALCIUM URINE","82340","99.00","90.09","16.42","16.42","16.42","53.46","85.24","68.31","90.09","59.40","75.24","84.15","89.10","6.65","84.15","69.00","21.69","25.68","54.45","6.65","90.09"
"BAY AREA","CHARGE","10000823","SRD CALCIUM URINE","82340","56.00","50.96","17.19","17.19","17.19","30.24","48.22","38.64","50.96","33.60","42.56","47.60","50.40","6.74","47.60","39.03","21.99","26.04","30.80","6.74","50.96"
"BAY AREA","CHARGE","10000824","CALCULI INFRARED SPECTROSCOPY","82365","137.00","124.67","22.20","22.32","78.98","73.98","117.96","94.53","124.67","82.20","104.12","116.45","123.30","51.94","116.45","95.49","46.45","53.96","75.35","22.20","124.67"
"BAY AREA","CHARGE","10000825","BICARBONATE URINE","82374","72.00","65.52","23.79","25.70","36.85","38.88","61.99","49.68","65.52","43.20","54.72","61.20","64.80","28.64","61.20","50.18","31.45","35.76","39.60","23.79","65.52"
"BAY AREA","CHARGE","10000826","CARBON DIOXIDE","82374","79.00","71.89","26.11","28.20","40.44","42.66","68.02","54.51","71.89","47.40","60.04","67.15","71.10","31.43","67.15","55.06","34.51","39.24","43.45","26.11","71.89"
"BAY AREA","CHARGE","10000827","CARBON MONOXIDE","82375","130.00","118.30","58.60","64.64","77.34","70.20","111.93","89.70","118.30","78.00","98.80","110.50","117.00","61.33","110.50","90.61","71.56","79.70","71.50","58.60","118.30"
"BAY AREA","CHARGE","10000829","CEA","82378","246.00","223.86","74.99","79.67","92.57","132.84","211.81","169.74","223.86","147.60","186.96","209.10","221.40","73.87","209.10","171.46","104.49","119.30","135.30","73.87","223.86"
"BAY AREA","CHARGE","10000830","CARNITINE FREE & TOTAL","82379","267.00","242.97","88.23","95.30","136.66","144.18","229.89","184.23","242.97","160.20","202.92","226.95","240.30","106.21","226.95","186.10","116.62","132.61","146.85","88.23","242.97"
"BAY AREA","CHARGE","10000831","CAROTENE","82380","118.00","107.38","38.99","42.12","60.40","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","46.94","100.30","82.25","51.54","58.60","64.90","38.99","107.38"
"BAY AREA","CHARGE","10000832","CATECHOLAMINES FRACT BLOOD","82384","289.00","262.99","95.50","103.15","147.92","156.06","248.83","199.41","262.99","173.40","219.64","245.65","260.10","114.96","245.65","201.43","126.23","143.53","158.95","95.50","262.99"
"BAY AREA","CHARGE","10000833","CATECHOLAMINES FRACT URINE","82384","289.00","262.99","95.50","103.15","147.92","156.06","248.83","199.41","262.99","173.40","219.64","245.65","260.10","114.96","245.65","201.43","126.23","143.53","158.95","95.50","262.99"
"BAY AREA","CHARGE","10000834","CERULOPLASMIN","82390","149.00","135.59","24.02","24.02","24.02","80.46","128.29","102.81","135.59","89.40","113.24","126.65","134.10","9.76","126.65","103.85","31.86","37.72","81.95","9.76","135.59"
"BAY AREA","CHARGE","10000835","IGF BINDING PROTEIN, CHEMILUM","82397","218.00","198.38","72.04","77.81","111.58","117.72","187.70","150.42","198.38","130.80","165.68","185.30","196.20","86.72","185.30","151.95","95.22","108.27","119.90","72.04","198.38"
"BAY AREA","CHARGE","10000837","CHLORIDE BLOOD","82435","92.00","83.72","30.40","32.84","47.09","49.68","79.21","63.48","83.72","55.20","69.92","78.20","82.80","36.60","78.20","64.12","40.18","45.69","50.60","30.40","83.72"
"BAY AREA","CHARGE","10000839","CHLORIDE URINE","82436","92.00","83.72","32.50","36.11","63.48","49.68","79.21","63.48","83.72","55.20","69.92","78.20","82.80","57.22","78.20","64.12","51.29","59.88","50.60","32.50","83.72"
"BAY AREA","CHARGE","10000840","CHLORIDE, OTHER SOURCE","82438","92.00","83.72","30.40","32.84","47.09","49.68","79.21","63.48","83.72","55.20","69.92","78.20","82.80","36.60","78.20","64.12","40.18","45.69","50.60","30.40","83.72"
"BAY AREA","CHARGE","10000842","CHOLESTEROL","82465","86.00","78.26","28.42","30.70","44.02","46.44","74.05","59.34","78.26","51.60","65.36","73.10","77.40","34.21","73.10","59.94","37.56","42.71","47.30","28.42","78.26"
"BAY AREA","CHARGE","10000843","CHOLINESTERASE SERUM","82480","97.00","88.27","32.05","34.62","49.65","52.38","83.52","66.93","88.27","58.20","73.72","82.45","87.30","38.59","82.45","67.61","42.37","48.17","53.35","32.05","88.27"
"BAY AREA","CHARGE","10000844","CHOLINESTERASE, RBC","82482","97.00","88.27","32.05","34.62","49.65","52.38","83.52","66.93","88.27","58.20","73.72","82.45","87.30","38.59","82.45","67.61","42.37","48.17","53.35","32.05","88.27"
"BAY AREA","CHARGE","10000846","HPLC QUANTITATIVE","82542","268.00","243.88","88.56","95.66","137.17","144.72","230.75","184.92","243.88","160.80","203.68","227.80","241.20","106.61","227.80","186.80","117.06","133.10","147.40","88.56","243.88"
"BAY AREA","CHARGE","10000849","CHROMIUM","82495","115.00","104.65","38.00","41.05","58.86","62.10","99.02","79.35","104.65","69.00","87.40","97.75","103.50","45.75","97.75","80.16","50.23","57.11","63.25","38.00","104.65"
"BAY AREA","CHARGE","10000850","CITRATE","82507","222.00","202.02","73.36","79.24","113.63","119.88","191.14","153.18","202.02","133.20","168.72","188.70","199.80","88.31","188.70","154.73","96.97","110.26","122.10","73.36","202.02"
"BAY AREA","CHARGE","10000851","SRD CITRATE","82507","222.00","202.02","68.15","68.15","68.15","119.88","191.14","153.18","202.02","133.20","168.72","188.70","199.80","26.72","188.70","154.73","87.19","103.22","122.10","26.72","202.02"
"BAY AREA","CHARGE","10000852","COLLAGEN CROSS LINKS","82523","209.00","190.19","69.07","74.60","106.98","112.86","179.95","144.21","190.19","125.40","158.84","177.65","188.10","83.14","177.65","145.67","91.29","103.80","114.95","69.07","190.19"
"BAY AREA","CHARGE","10000853","COPPER","82525","156.00","141.96","25.15","25.15","25.15","84.24","134.32","107.64","141.96","93.60","118.56","132.60","140.40","10.22","132.60","108.73","33.35","39.49","85.80","10.22","141.96"
"BAY AREA","CHARGE","10000855","COPPER URINE","82525","156.00","141.96","51.55","55.68","79.85","84.24","134.32","107.64","141.96","93.60","118.56","132.60","140.40","62.06","132.60","108.73","68.14","77.48","85.80","51.55","141.96"
"BAY AREA","CHARGE","10000856","CORTISOL, FREE","82530","191.00","173.81","63.12","68.17","97.76","103.14","164.45","131.79","173.81","114.60","145.16","162.35","171.90","75.98","162.35","133.13","83.43","94.86","105.05","63.12","173.81"
"BAY AREA","CHARGE","10000857","CORTISOL, SALIVARY","82533","208.00","189.28","68.74","74.24","106.46","112.32","179.09","143.52","189.28","124.80","158.08","176.80","187.20","82.74","176.80","144.98","90.85","103.30","114.40","68.74","189.28"
"BAY AREA","CHARGE","10000858","CORTISOL, TOTAL","82533","208.00","189.28","82.44","84.59","76.32","112.32","179.09","143.52","189.28","124.80","158.08","176.80","187.20","66.22","176.80","144.98","93.21","103.60","114.40","66.22","189.28"
"BAY AREA","CHARGE","10000860","CK TOTAL","82550","105.00","95.55","29.07","31.23","45.92","56.70","90.41","72.45","95.55","63.00","79.80","89.25","94.50","37.02","89.25","73.19","39.16","45.41","57.75","29.07","95.55"
"BAY AREA","CHARGE","10000861","CK ISOENZYMES","82552","95.00","86.45","31.39","33.91","48.63","51.30","81.80","65.55","86.45","57.00","72.20","80.75","85.50","37.79","80.75","66.22","41.50","47.18","52.25","31.39","86.45"
"BAY AREA","CHARGE","10000863","CK MB FRACTION","82553","227.00","206.57","75.01","81.02","116.19","122.58","195.45","156.63","206.57","136.20","172.52","192.95","204.30","90.30","192.95","158.22","99.15","112.74","124.85","75.01","206.57"
"BAY AREA","CHARGE","10000865","CREATININE BLOOD","82565","80.00","72.80","21.33","22.14","25.85","43.20","68.88","55.20","72.80","48.00","60.80","68.00","72.00","18.73","68.00","55.76","26.25","30.19","44.00","18.73","72.80"
"BAY AREA","CHARGE","10000867","CREATININE OTHER SOURCE","82570","80.00","72.80","26.44","28.55","40.95","43.20","68.88","55.20","72.80","48.00","60.80","68.00","72.00","31.82","68.00","55.76","34.94","39.73","44.00","26.44","72.80"
"BAY AREA","CHARGE","10000868","CREATININE URINE","82570","80.00","72.80","16.76","17.38","22.44","43.20","68.88","55.20","72.80","48.00","60.80","68.00","72.00","15.91","68.00","55.76","22.45","26.03","44.00","15.91","72.80"
"BAY AREA","CHARGE","10000869","SRDP CREATININE URINE","82570","80.00","72.80","24.56","24.56","24.56","43.20","68.88","55.20","72.80","48.00","60.80","68.00","72.00","9.63","68.00","55.76","31.42","37.20","44.00","9.63","72.80"
"BAY AREA","CHARGE","10000870","CREATININE CLEARANCE","82575","139.00","126.49","45.93","49.61","71.15","75.06","119.68","95.91","126.49","83.40","105.64","118.15","125.10","55.29","118.15","96.88","60.71","69.03","76.45","45.93","126.49"
"BAY AREA","CHARGE","10000871","CRYOFIBRINOGEN","82585","85.00","77.35","28.09","30.34","43.51","45.90","73.19","58.65","77.35","51.00","64.60","72.25","76.50","33.81","72.25","59.25","37.13","42.22","46.75","28.09","77.35"
"BAY AREA","CHARGE","10000872","CRYOGLOBULIN QUALITATIVE","82595","67.00","60.97","12.12","13.46","46.23","36.18","57.69","46.23","60.97","40.20","50.92","56.95","60.30","21.33","56.95","46.70","19.12","22.32","36.85","12.12","60.97"
"BAY AREA","CHARGE","10000873","CYANIDE","82600","152.00","138.32","50.23","54.25","77.80","82.08","130.87","104.88","138.32","91.20","115.52","129.20","136.80","60.46","129.20","105.94","66.39","75.49","83.60","50.23","138.32"
"BAY AREA","CHARGE","10000874","VITAMIN B-12","82607","177.00","161.07","40.21","41.74","59.43","95.58","152.40","122.13","161.07","106.20","134.52","150.45","159.30","31.56","150.45","123.37","55.56","64.36","97.35","31.56","161.07"
"BAY AREA","CHARGE","10000875","VITAMIN B-12 BINDING CAPACITY","82608","177.00","161.07","58.49","63.18","90.60","95.58","152.40","122.13","161.07","106.20","134.52","150.45","159.30","70.41","150.45","123.37","77.31","87.91","97.35","58.49","161.07"
