CHARGE_DESCRIPTION,ACTIVITY_TYPE,MRKS_CPT,MRKS_HCPCS,DRG_CODE,NDC,CHARGEMASTER_PRICE,AVERAGE CHARGES_INPATIENT DRGS,DISCOUNTED CASH PRICE,MEDICARE,BCBS,SUNFLOWER_HEALTH,SUNFLOWER_HEALTH_COM_EXCHANGE,AETNA_BETTER_HEALTH_OF_KANSAS,AETNA,PROVIDRS CARE NETWORK,UHC_MEDICARE_ADVANTAGE,HUMANA_MEDICARE ADVANTAGE,UNITED HEALTHCARE_UHC,CHRISTIAN HEALTH AID_CHA,MINIMUM_COMMERCIAL PRICE,MAXIMUM_COMMERCIAL PRICE
budesonide 0.5 Susp,Pharmacy,,,,00487-9701-30,15.46,,15.46,0,0,0,0,0,0,0,0,0,13.914000000000001,15.46,0,15.46
budesonide-formoterol Aerosol,Pharmacy,,A9270,,00186-0372-28,195.9,,195.9,0,0,0,0,0,0,0,0,0,176.31,195.9,0,195.9
bumetanide 0.25 mg/mL Sol,Pharmacy,,,,00641-6161-01,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
bumetanide 1 mg Tab,Pharmacy,,A9270,,00832-0541-11,2.31,,2.31,0,0,0,0,0,0,0,0,0,2.079,2.31,0,2.31
bumetanide 1 mg Tab [MRKS],Pharmacy,,A9270,,42799-0120-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
bumetanide 1. mg Tab,Pharmacy,,A9270,,00185-0129-01,2.7,,2.7,0,0,0,0,0,0,0,0,0,2.43,2.7,0,2.7
bumetanide 1. Soln,Pharmacy,,,,00641-6008-10,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
bupivacaine 0.25% Soln,Pharmacy,,,,00409-1160-01,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
bupivacaine Soln,Pharmacy,,,,00409-1162-02,12,,12,0,0,0,0,0,0,0,0,0,10.8,12,0,12
buPROPion 100 mg Tab,Pharmacy,,A9270,,68001-0309-00,2.05,,2.05,0,0,0,0,0,0,0,0,0,1.845,2.05,0,2.05
buPROPion 100 mg/12 hours Tab,Pharmacy,,A9270,,00185-0410-60,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 100 mg/12 hours Tab,Pharmacy,,A9270,,00591-3540-60,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 100 mg/12 hours Tab [MRKS],Pharmacy,,A9270,,68084-0697-01,1.92,,1.92,0,0,0,0,0,0,0,0,0,1.728,1.92,0,1.92
buPROPion 100. mg Tab,Pharmacy,,A9270,,00781-1064-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 150 mg/12 hours Tab,Pharmacy,,A9270,,43547-0289-50,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 150 mg/24 hours Tab,Pharmacy,,A9270,,68180-0319-02,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 150 mg/24 hours Tab,Pharmacy,,A9270,,00781-5528-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 150. mg Tab-ER,Pharmacy,,A9270,,43547-0289-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 200 mg/12 hours Tab [MRKS],Pharmacy,,A9270,,69097-0879-03,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 300 mg/24 hours Tab *NON-FORM*[MRKS],Pharmacy,,A9270,,42806-0349-05,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
buPROPion 75. mg Tab,Pharmacy,,A9270,,60505-0158-01,1.98,,1.98,0,0,0,0,0,0,0,0,0,1.782,1.98,0,1.98
busPIRone 10 mg Tab [MRKS],Pharmacy,,A9270,,64380-0742-07,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
busPIRone 10. mg Tab[MRKS],Pharmacy,,A9270,,16729-0202-16,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
busPIRone 15 mg Tab,Pharmacy,,A9270,,51079-0960-20,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
busPIRone 15 mg Tab [MRKS],Pharmacy,,A9270,,16729-0203-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
busPIRone 7.5 mg Tab [MRKS],Pharmacy,,A9270,,64380-0787-06,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
C Diff,General Lab,87493,,,,85.9,,85.9,37.27,74.57,37.27,40.99700000000001,37.27,50.27,55.905,37.27,31.6795,77.31,85.9,31.6795,85.9
C. difficile toxin B gene by PCR - AMS,General Lab,87493,,,,85.9,,85.9,37.27,74.57,37.27,40.99700000000001,37.27,50.27,55.905,37.27,31.6795,77.31,85.9,31.6795,85.9
C3 Complement AMS,General Lab,86161,,,,60,,60,12,55.02,12,13.200000000000001,12,17.2,18,12,10.2,54,60,10.2,60
C4 Complement AMS,General Lab,86161,,,,60,,60,12,55.02,12,13.200000000000001,12,17.2,18,12,10.2,54,60,10.2,60
CA 15-3 - AMS,General Lab,86301,,,,75,,75,20.81,53.97,20.81,22.891000000000002,20.81,29.81,31.214999999999996,20.81,17.688499999999998,67.5,75,17.688499999999998,75
CA 19-9 AMS,General Lab,86300,,,,55,,55,20.81,54.3,20.81,22.891000000000002,20.81,29.81,31.214999999999996,20.81,17.688499999999998,49.5,55,17.688499999999998,55
CA-125 AMS,General Lab,86304,,,,65,,65,20.81,54.23,20.81,22.891000000000002,20.81,29.81,31.214999999999996,20.81,17.688499999999998,58.5,65,17.688499999999998,65
CA-19-9,General Lab,86301,,,,75,,75,20.81,53.97,20.81,22.891000000000002,20.81,29.81,31.214999999999996,20.81,17.688499999999998,67.5,75,17.688499999999998,75
calcitonin 200. Int Unit Spray[MRKS],Pharmacy,,A9270,,60505-0823-06,142.5,,142.5,0,0,0,0,0,0,0,0,0,128.25,142.5,0,142.5
calcitriol 0.25 mcg Cap,Pharmacy,,A9270,,00054-0007-13,3.15,,3.15,0,0,0,0,0,0,0,0,0,2.835,3.15,0,3.15
calcitriol 0.5 mcg Cap,Pharmacy,,A9270,,64380-0724-06,2.05,,2.05,0,0,0,0,0,0,0,0,0,1.845,2.05,0,2.05
calcitriol 0.5 mcg Cap [MRKS],Pharmacy,,A9270,,69452-0208-20,1.95,,1.95,0,0,0,0,0,0,0,0,0,1.755,1.95,0,1.95
calcium acetate 667 mg Cap *NON-FORM* [MRKS],Pharmacy,,A9270,,65162-0590-20,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium carbonate 500 mg Tab [MRKS],Pharmacy,,A9270,,00536-1048-15,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium carbonate 600. mg Tab,Pharmacy,,A9270,,00904-3232-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium carbonate 750. mg Tab-Chew,Pharmacy,,A9270,,00536-1049-22,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium carbonate-magnesium chloride Tab-DR,Pharmacy,,A9270,,68585-0005-75,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium chloride 1000. Soln,Pharmacy,,,,76329-3304-01,16.27,,16.27,0,0,0,0,0,0,0,0,0,14.643,16.27,0,16.27
calcium gluconate 1000. Soln,Pharmacy,,J0610,,63323-0311-19,13.3,,13.3,3.979,3.47,3.979,4.3769,3.979,0,5.968500000000001,3.979,3.38215,11.97,13.3,0,13.3
calcium gluconate 5000. Soln,Pharmacy,,J0610,,00517-3950-25,415.4,,415.4,3.979,3.47,3.979,4.3769,3.979,0,5.968500000000001,3.979,3.38215,373.86,415.4,0,415.4
Calcium Ionized AMS,General Lab,82330,,,,69,,69,13.68,45.99,13.68,15.048,13.68,19.57,20.52,13.68,11.628,62.1,69,11.628,69
Calcium Level Total,General Lab,82310,,,,69,,69,5.16,10.95,5.16,5.676000000000001,5.16,7.39,7.74,5.16,4.386,62.1,69,4.386,69
calcium-vitamin D 500 mg-200 intl units Tab,Pharmacy,,A9270,,00904-5460-80,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium-vitamin D 600 mg-400 intl units Tab,Pharmacy,,A9270,,77333-0115-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium-vitamin D 600 mg-400 intl units Tab [MRKS],Pharmacy,,A9270,,00904-3233-93,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium-vitamin D 90 mg-25 mcg (1000 intl units) Tab [MRKS],Pharmacy,,A9270,,40985-0271-39,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
calcium-vitamin D Tab,Pharmacy,,A9270,,00536-3223-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
camphor/menthol/methyl salicylate topical Cream,Pharmacy,,A9270,,74300-0005-36,12.53,,12.53,0,0,0,0,0,0,0,0,0,11.277,12.53,0,12.53
candesartan 16. mg Tab,Pharmacy,,A9270,,00186-0016-28,5.52,,5.52,0,0,0,0,0,0,0,0,0,4.968,5.52,0,5.52
captopril 25 mg Tab,Pharmacy,,A9270,,60687-0315-21,4.91,,4.91,0,0,0,0,0,0,0,0,0,4.4190000000000005,4.91,0,4.91
captopril 25 mg Tab,Pharmacy,,A9270,,00904-5046-61,3.63,,3.63,0,0,0,0,0,0,0,0,0,3.267,3.63,0,3.63
captopril 25. mg Tab,Pharmacy,,A9270,,00378-3012-01,4.91,,4.91,0,0,0,0,0,0,0,0,0,4.4190000000000005,4.91,0,4.91
captopril 50 mg Tab [MRKS],Pharmacy,,A9270,,00781-8075-01,5.4,,5.4,0,0,0,0,0,0,0,0,0,4.86,5.4,0,5.4
carBAMazepine 100. mg Tab-Chew,Pharmacy,,A9270,,00904-3854-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carBAMazepine 200 mg Tab UD[MRKS],Pharmacy,,A9270,,13668-0268-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carBAMazepine 200. mg Tab[MRKS],Pharmacy,,A9270,,51672-4005-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carBAMazepine 400. mg Tab-ER,Pharmacy,,A9270,,51672-4125-01,7.88,,7.88,0,0,0,0,0,0,0,0,0,7.092,7.88,0,7.88
Carbamazepine AMS,General Lab,80156,,,,143.6,,143.6,14.57,90.72,14.57,16.027,14.57,20.85,21.855,14.57,12.3845,129.24,143.6,12.3845,143.6
carbamide peroxide otic 6.5% Sol [MRKS],Pharmacy,,A9270,,00904-6627-35,8.91,,8.91,0,0,0,0,0,0,0,0,0,8.019,8.91,0,8.91
carbidopa/entacapone/levodopa 50 mg-200 mg-200 mg Tab,Pharmacy,,A9270,,00078-0527-05,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carbidopa-levodopa 10 mg-100 mg Tab,Pharmacy,,A9270,,00378-0078-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carbidopa-levodopa 25 mg-100 mg Tab,Pharmacy,,A9270,,62756-0518-13,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carbidopa-levodopa 25 mg-100 mg Tab,Pharmacy,,A9270,,62756-0518-18,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carbidopa-levodopa 25 mg-100 mg Tab [MRKS],Pharmacy,,A9270,,62756-0461-88,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carbidopa-levodopa 25 mg-250 mg Tab,Pharmacy,,A9270,,00228-2540-50,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carbidopa-levodopa 50 mg-200 mg Tab [MRKS],Pharmacy,,A9270,,68001-0172-00,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carbidopa-levodopa 50 mg-200 mg Tab-ER [MRKS],Pharmacy,,A9270,,16729-0079-01,2.12,,2.12,0,0,0,0,0,0,0,0,0,1.9080000000000001,2.12,0,2.12
carbidopa-levodopa ER 25 mg-100 mg Tab [MRKS],Pharmacy,,A9270,,68084-0281-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Carbon Dioxide Level,General Lab,82374,,,,41.9,,41.9,4.88,10.4,4.88,5.368,4.88,7,7.32,4.88,4.148,37.71,41.9,4.148,41.9
Carcinoembryonic Antigen,General Lab,82378,,,,111,,111,18.96,70.14,18.96,20.856,18.96,27.17,28.44,18.96,16.116,99.9,111,16.116,111
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,Inpatient DRG,,,309,,,2332.7000000000003,2332.7000000000003,5299.651884,6697.35,5299.651884,5829.6170724,5299.651884,,,5299.651884,4239.7215072,2099.4300000000003,2332.7000000000003,2099.4300000000003,6697.35
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,Inpatient DRG,,,308,,,5481.275000000001,5481.275000000001,8481.281698,7557.3,8481.281698,9329.409867800001,8481.281698,,,8481.281698,6785.025358400001,4933.147500000001,5481.275000000001,4933.147500000001,9329.409867800001
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,Inpatient DRG,,,310,,,5821.33,5821.33,3948.9266239999997,4868.11,3948.9266239999997,4343.8192864,3948.9266239999997,,,3948.9266239999997,3159.1412992,5239.197,5821.33,3159.1412992,5821.33
carisoprodol 350 mg Tab,Pharmacy,,A9270,,00591-5513-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carisoprodol 350 mg Tab [MRKS],Pharmacy,,A9270,,50228-0109-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carisoprodol 350. mg Tab,Pharmacy,,A9270,,63739-0049-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carvedilol 12.5 mg Tab,Pharmacy,,A9270,,00904-6302-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carvedilol 3.125 mg Tab[MRKS],Pharmacy,,A9270,,68001-0153-03,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
carvedilol 6.25 mg Tab,Pharmacy,,A9270,,51079-0930-20,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
"Cath- Foley Catheter, 14 fr, 10cc Ballon",Supplies,,A4344,,,26.2,,26.2,0,0,0,0,0,0,15.719999999999999,0,0,23.58,26.2,0,26.2
"Cath- Foley Catheter, 14 fr, 10cc Ballon, Coude",Supplies,,A4340,,,54.8,,54.8,0,0,0,0,0,0,32.879999999999995,0,0,49.32,54.8,0,54.8
"Cath- Foley Catheter, 16 fr, 10cc Ballon",Supplies,,A4344,,,26.2,,26.2,0,0,0,0,0,0,15.719999999999999,0,0,23.58,26.2,0,26.2
"Cath- Foley Catheter, 16 fr, 10cc Ballon, Coude",Supplies,,A4340,,,79.2,,79.2,0,0,0,0,0,0,47.52,0,0,71.28,79.2,0,79.2
"Cath- Foley Catheter, 18 fr, 10cc Ballon, Coude",Supplies,,A4344,,,26.2,,26.2,0,0,0,0,0,0,15.719999999999999,0,0,23.58,26.2,0,26.2
"Cath- Foley Catheter, 18 fr, 30cc Ballon",Supplies,,A4344,,,32.2,,32.2,0,0,0,0,0,0,19.32,0,0,28.980000000000004,32.2,0,32.2
"Cath- Foley Catheter, 20 fr, 10cc Ballon, Coude",Supplies,,A4340,,,79.2,,79.2,0,0,0,0,0,0,47.52,0,0,71.28,79.2,0,79.2
"Cath- Foley Catheter, 24 fr, 30cc Ballon",Supplies,,A4344,,,30.7,,30.7,0,0,0,0,0,0,18.419999999999998,0,0,27.63,30.7,0,30.7
CEA AMS,General Lab,82378,,,,111,,111,18.96,70.14,18.96,20.856,18.96,27.17,28.44,18.96,16.116,99.9,111,16.116,111
cefaclor 500. mg Cap,Pharmacy,,A9270,,00143-9986-01,4.55,,4.55,0,0,0,0,0,0,0,0,0,4.095,4.55,0,4.55
cefadroxil 500. mg Cap[MRKS],Pharmacy,,A9270,,68180-0180-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
ceFAZolin 1. gm Powder-Inj,Pharmacy,,J0690,,00409-0805-01,12,,12,1.936,3.22,1.936,2.1296,1.936,0,2.904,1.936,1.6456,10.8,12,0,12
cefdinir 125 mg/5 mL Oral Susp 60 mL [MRKS],Pharmacy,,A9270,,65862-0218-60,41.85,,41.85,0,0,0,0,0,0,0,0,0,37.665,41.85,0,41.85
cefdinir 300 mg Cap,Pharmacy,,A9270,,68001-0150-06,3.61,,3.61,0,0,0,0,0,0,0,0,0,3.249,3.61,0,3.61
cefdinir 300. mg Cap[MRKS],Pharmacy,,A9270,,68001-0362-06,3.51,,3.51,0,0,0,0,0,0,0,0,0,3.159,3.51,0,3.51
cefdinir 3000. Powder-Recon,Pharmacy,,A9270,,16714-0393-01,42.19,,42.19,0,0,0,0,0,0,0,0,0,37.971,42.19,0,42.19
cefepime 1. gm Powder-Inj[MRKS],Pharmacy,,J0692,,60505-6144-00,12,,12,3.372,9.38,3.372,3.7092,3.372,0,5.058,3.372,2.8661999999999996,10.8,12,0,12
cefepime 2. gm Powder-Inj,Pharmacy,,J0692,,60505-0681-00,14.62,,14.62,6.744,18.76,6.744,7.4184,6.744,0,10.116,6.744,5.732399999999999,13.158,14.62,0,18.76
cefotaxime 1. gm Powder-Inj,Pharmacy,,J0690,,00143-9931-25,12,,12,0.968,1.61,0.968,1.0648,0.968,0,1.452,0.968,0.8228,10.8,12,0,12
cefOXitin 1. gm Powder-Inj,Pharmacy,,J0694,,60505-6025-05,12.69,,12.69,7.36,11.09,7.36,8.096000000000002,7.36,0,11.040000000000001,7.36,6.256,11.421,12.69,0,12.69
cefpodoxime 100. mg Tab,Pharmacy,,A9270,,00781-5438-20,11.4,,11.4,0,0,0,0,0,0,0,0,0,10.26,11.4,0,11.4
cefpodoxime 200. mg Tab,Pharmacy,,A9270,,00781-5439-01,14.47,,14.47,0,0,0,0,0,0,0,0,0,13.023000000000001,14.47,0,14.47
cefTAZidime 1. gm Powder-Inj,Pharmacy,,J0713,,00409-5082-52,13.56,,13.56,3.898,8.52,3.898,4.287800000000001,3.898,0,5.847,3.898,3.3133,12.204,13.56,0,13.56
cefTRIAXone 1 g Inj[MRKS],Pharmacy,,J0696,,63323-0346-10,12,,12,2.524,7.44,2.524,2.7764,2.524,0,3.786,2.524,2.1454,10.8,12,0,12
cefTRIAXone 1 g Pow [MRKS],Pharmacy,,J0696,,00409-7332-20,12,,12,2.524,7.44,2.524,2.7764,2.524,0,3.786,2.524,2.1454,10.8,12,0,12
cefTRIAXone 1. gm Powder-Inj,Pharmacy,,J0696,,00409-7332-01,12,,12,2.524,7.44,2.524,2.7764,2.524,0,3.786,2.524,2.1454,10.8,12,0,12
cefTRIAXone 500. mg Powder-Inj,Pharmacy,,J0696,,00409-7338-01,12,,12,1.262,3.72,1.262,1.3882,1.262,0,1.893,1.262,1.0727,10.8,12,0,12
cefuroxime 250. mg Tab,Pharmacy,,A9270,,68180-0302-20,5.66,,5.66,0,0,0,0,0,0,0,0,0,5.094,5.66,0,5.66
cefuroxime 500. mg Tab,Pharmacy,,A9270,,68180-0303-60,10.04,,10.04,0,0,0,0,0,0,0,0,0,9.036,10.04,0,10.04
cefuroxime 750. mg Powder-Inj,Pharmacy,,J0697,,00143-9979-22,12,,12,1.941,3.21,1.941,2.1351000000000004,1.941,0,2.9115,1.941,1.64985,10.8,12,0,12
celecoxib 200 mg Cap [MRKS],Pharmacy,,A9270,,62332-0142-71,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
celecoxib 200. mg Cap[MRKS],Pharmacy,,A9270,,60505-3849-05,6.14,,6.14,0,0,0,0,0,0,0,0,0,5.526,6.14,0,6.14
Cell Count w/ Diff Cerebrospinal Fluid,General Lab,89051,,,,45,,45,5.6,41.04,5.6,6.16,5.6,7.89,8.399999999999999,5.6,4.76,40.5,45,4.76,45
CELLULITIS W/O MCC,Inpatient DRG,,,603,,,6850.34375,6850.34375,5974.307328,7409.14,5974.307328,6571.7380608,5974.307328,,,5974.307328,4779.4458624,6165.309375,6850.34375,4779.4458624,7409.14
Cellulose tape preparation,Micro,87070,,,,35,,35,8.62,31.56,8.62,9.482,8.62,12.34,12.93,8.62,7.326999999999999,31.5,35,7.326999999999999,35
cephalexin 250 mg Cap,Pharmacy,,A9270,,68180-0121-02,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cephalexin 250 mg/5 mL Pow,Pharmacy,,A9270,,68180-0441-01,27,,27,0,0,0,0,0,0,0,0,0,24.3,27,0,27
cephalexin 250. mg Cap,Pharmacy,,A9270,,65862-0018-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cephalexin 2500. Powder-Recon,Pharmacy,,A9270,,00093-4175-73,33.84,,33.84,0,0,0,0,0,0,0,0,0,30.456000000000003,33.84,0,33.84
cephalexin 500 mg Cap,Pharmacy,,A9270,,60687-0163-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cephalexin 500 mg Cap UD[MRKS],Pharmacy,,A9270,,50268-0152-15,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cephalexin 5000. Powder-Recon,Pharmacy,,A9270,,00093-4177-73,30.76,,30.76,0,0,0,0,0,0,0,0,0,27.684,30.76,0,30.76
Cerebrospinal Fluid Culture,Micro,87205,,,,35,,35,4.27,14.4,4.27,4.697,4.27,6.11,6.404999999999999,4.27,3.6294999999999997,31.5,35,3.6294999999999997,35
cetirizine 10 mg Tab [MRKS],Pharmacy,,A9270,,00378-3637-05,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cetirizine 10. mg Tab [MRKS],Pharmacy,,A9270,,49348-0939-44,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
charcoal 50 g Oral Susp 240 mL [MRKS],Pharmacy,,A9270,,66689-0201-08,40.86,,40.86,0,0,0,0,0,0,0,0,0,36.774,40.86,0,40.86
charcoal Susp,Pharmacy,,A9270,,66689-0201-08,40.86,,40.86,0,0,0,0,0,0,0,0,0,36.774,40.86,0,40.86
Chlam/ GC Nucleic Acid Screen AMS,General Lab,87491,,,,75,,75,35.09,74.57,35.09,38.599000000000004,35.09,50.27,52.635000000000005,35.09,29.826500000000003,67.5,75,29.826500000000003,75
chlordiazePOXIDE 10. mg Cap,Pharmacy,,A9270,,51079-0375-20,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
chlordiazePOXIDE 5. mg Cap,Pharmacy,,A9270,,60429-0554-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Chloride Level,General Lab,82435,,,,32.6,,32.6,4.6,9.77,4.6,5.06,4.6,6.58,6.8999999999999995,4.6,3.9099999999999997,29.340000000000003,32.6,3.9099999999999997,32.6
chlorothiazide 250. mg Tab,Pharmacy,,A9270,,00378-0150-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
chlorproMAZINE 25. mg Tab,Pharmacy,,A9270,,51079-0519-20,12.31,,12.31,0,0,0,0,0,0,0,0,0,11.079,12.31,0,12.31
chlorproPAMIDE 250. mg Tab,Pharmacy,,A9270,,55289-0066-90,5.17,,5.17,0,0,0,0,0,0,0,0,0,4.6530000000000005,5.17,0,5.17
chlorthalidone 25 mg Tab *NON-FORM* [MRKS],Pharmacy,,A9270,,57664-0648-88,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
chlorthalidone 25 mg Tab [MRKS],Pharmacy,,A9270,,66689-0345-99,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
chlorzoxazone 500. mg Tab,Pharmacy,,A9270,,68387-0375-90,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cholecalciferol 1000. Int Unit Tab[MRKS],Pharmacy,,A9270,,00904-5824-60,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cholecalciferol 400 intl units Tab[MRKS],Pharmacy,,A9270,,74312-0011-40,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cholecalciferol 400 units Cap [MRKS],Pharmacy,,A9270,,11845-0118-31,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cholecalciferol 400. Int Unit Tab,Pharmacy,,A9270,,00904-5823-60,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
cholecalciferol Cap,Pharmacy,,A9270,,75834-0020-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Cholesterol,General Lab,82465,,,,18.9,,18.9,4.35,10.76,4.35,4.785,4.35,6.24,6.5249999999999995,4.35,3.6975,17.009999999999998,18.9,3.6975,18.9
cholestyramine 4 g/5.7 g Pow [MRKS],Pharmacy,,A9270,,00185-0939-98,8,,8,0,0,0,0,0,0,0,0,0,7.2,8,0,8
cholestyramine Powder-Recon,Pharmacy,,A9270,,49884-0465-65,8,,8,0,0,0,0,0,0,0,0,0,7.2,8,0,8
chondroitin-glucosamine 400 mg-500 mg Cap [MRKS],Pharmacy,,A9270,,00904-5481-18,3.45,,3.45,0,0,0,0,0,0,0,0,0,3.1050000000000004,3.45,0,3.45
chondroitin-glucosamine 400 mg-500 mg Cap [MRKS],Pharmacy,,A9270,,54458-0200-22,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,Inpatient DRG,,,190,,,9107.55,9107.55,7948.063453999999,10596.21,,8742.8697994,7948.063453999999,,,7948.063453999999,6358.4507631999995,8196.795,9107.55,6358.4507631999995,10596.21
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,Inpatient DRG,,,192,,,18557.75,18557.75,4914.235513999999,6977.56,,5405.659065399999,4914.235513999999,,,4914.235513999999,3931.3884111999996,16701.975000000002,18557.75,3931.3884111999996,18557.75
cinacalcet 30. mg Tab,Pharmacy,,A9270,,55513-0073-30,39.33,,39.33,0,0,0,0,0,0,0,0,0,35.397,39.33,0,39.33
ciprofloxacin 250. mg Tab,Pharmacy,,A9270,,63739-0700-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
ciprofloxacin 400. Soln,Pharmacy,,J0744,,00409-4777-50,12,,12,2.008,7.06,2.008,2.2088,2.008,0,3.012,2.008,1.7067999999999999,10.8,12,0,12
ciprofloxacin 500 mg Tab,Pharmacy,,A9270,,68084-0070-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
ciprofloxacin 500. mg Tab[MRKS],Pharmacy,,A9270,,16571-0412-50,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
ciprofloxacin ophthalmic 0.3% Sol  [MRKS],Pharmacy,,A9270,,69315-0308-05,40.05,,40.05,0,0,0,0,0,0,0,0,0,36.045,40.05,0,40.05
