street_registered,state_registered,count(1)
103 FRONT ST,AK,3
1500 PONY RUN RD,NC,3
2819 DAWSON ST.,AK,3
6943 GEMINI DR,AK,3
335 MAIN STREET LOOP,AK,3
3201 CENTRE PARK BLVD,NC,7
1978 HENDERSONVILLE RD  SUITE 130,NC,6
1 PLANTATION DRIVE,NC,5
MILE 173 GLENN HWY,AK,4
540 WATER STREETSUITE 302,AK,11
"1166 TOM PARKER'S WAY",AK,4
109 WILDLAND DRIVE,AK,5
2040 RICHARDSON HWY,AK,8
1008 FISH CREEK RD,AK,4
179 E. NELSON AVE,AK,5
9360 GLACIER HIGHWAY STE 202,AK,50
132 QUAIL CROFT DRIVE,NC,4
1210 HALIBUT POINT ROAD,AK,10
514 DANIELS ST #103,NC,21
915 W NORTHERN LIGHTS BLVD,AK,5
2905 BRAHMAN MEADOWS LN,NC,3
2728 GRAND UNION WAY,NC,4
1064 N LAKESIDE DRIVE,NC,5
3201 C ST STE 601,AK,4
109 MARINERS CIRCLE,NC,6
9803 NINE MILE CREEK ROAD,AK,3
13250 PEAKVIEW CIRCLE,AK,23
8420 AIRPORT BLVD STE 101,AK,10
600 PRINCESS CIR,AK,3
4254 SVEDLUND CIRCLE,AK,6
5960 FAIRVIEW ROAD  SUITE 400,NC,14
84 SPRINGBROOK ROAD,NC,3
6209 MIKE ST,AK,4
11871 GALLOWAY LOOP,AK,5
1416 GILLAM WY,AK,4
37060 CONNER RD,AK,3
664 INDUSTRIAL PARK DRIVE,NC,4
501 FERNDALE BLVD,NC,4
932 HENDERSONVILLE RD.  STE. 201,NC,6
13246 BRUNO RD,AK,3
5854 FARINGDON PLACE,NC,3
2626 GLENWOOD AVE SUITE 550,NC,15
1033 WADE AVENUE SUITE 202,NC,24
22185 STERLING HWY,AK,3
674 BAYWOOD ROAD,NC,3
11108 BELLS FLATS ROAD,AK,3
2225 MALVERN ROAD,NC,3
9121 ANSON WAY STE 200,NC,12
100 DIAS AVE,AK,3
"1600 A STREET, SUITE 101",AK,13
411 FRONT ST,AK,5
3968 WOLVERINE WAY,AK,3
2193 THREE SISTERS WAY,AK,8
636 HARRIS ST,AK,5
"401 W INT'L AIRPORT RD STE 31",AK,3
"8427 LAVIENTO DRIVE, SUITE 101",AK,11
645 G ST #735,AK,3
11986 WILDERNESS DRIVE,AK,3
4800 SIX FORKS RD STE 120,NC,3
828 EAST BLVD,NC,18
2490 S PADDOCK DR,AK,3
4014 COCKLEREECE DRIVE,NC,6
13320 CRESTVIEW DR,AK,6
3131 DELTA DR,AK,3
36774 FORAKER CT,AK,3
16743 CORONADO RD,AK,3
41753 OLD STERLING HWY,AK,4
"1577 C STREET, STE 101",AK,3
"540 WATER ST, STE 302",AK,3
5251 FAIRCHILD AVE,AK,3
39070 JENNIFER DR,AK,3
102 MIRIAM LANE,NC,3
2350 LONG DAIRY ROAD,NC,4
1009 WEST MARKET STREET,NC,3
1785 INIAKUK AVENUE,AK,3
420 N ASHE AVE,NC,5
3716 NATIONAL DRIVE SUITE 100,NC,5
4020 WESTCHASE BOULEVARD  SUITE 325,NC,11
8604 CLIFF CAMERON DR. STE 170,NC,6
6 WINTERBERRY COURT,NC,3
264 MERIDIAN DRIVE,NC,3
251 FISH DRIVE,NC,3
516-D RIVER HIGHWAY SUITE 198,NC,23
1648 ROSEBUD ROAD,NC,3
1811 SEA SWEPT RD,NC,3
2922 ORVILLE WRIGHT WAY  SUITE 110,NC,5
2721 OLD US 1 HWY,NC,3
9921 NEAR POINT DR,AK,4
200 TOWNE VILLAGE DRIVE,NC,20
3821 LA COSTA WAY,NC,4
5200 DOUGHTYMEWS LANE,NC,5
2802 SPENCERS GROVE RD,NC,3
101 BAINES COURT,NC,24
928 FARMINGTON ROAD,NC,3
1209 MCPHERSON STREET,NC,5
204 BLACK TIE LN,NC,3
301 E. MAIN ST.,NC,9
1013 INVESTMENT BLVD,NC,6
6475 N. CROATAN HWY SUITE 203,NC,5
810 CENTER ST BLDG 4,NC,3
3737 GLENWOOD AVENUE SUITE 400,NC,4
324 W. WENDOVER AVE. STE. 300,NC,88
1111 METROPOLITAN AVE  STE 700,NC,12
1111 METROPOLITAN AVE STE 700,NC,10
1111 METROPOLITAN AVE.  SUITE 700,NC,4
5520 LOUISBURG RD,NC,4
2303 W. MOREHEAD ST.  SUITE 200,NC,15
222 S CHURCH ST STE 100,NC,3
2529 SCHIEFFELIN RD,NC,3
2054 KILDAIRE FARM ROAD,NC,4
115 POINT COMFORT LANE,NC,3
416 MORSON STREET,NC,12
1483 BEAVER CREEK COMMONS DRIVE,NC,10
412 EAST COLONIAL AVENUE,NC,14
1014 SALMON WAY,AK,3
301 E. MAIN STREET,NC,17
9309 GLACIER HIGHWAYSUITE A-201,AK,9
3130 MANTLE RIDGE DRIVE,NC,3
4600 DUNDAS DRIVE,NC,8
8105 CLAYBROOKE COURT,NC,3
40655 OLD SALISBURY ROAD,NC,8
116 ELIZABETH DRIVE,NC,4
107 WESTDALE AVE.,NC,19
4892 PEPPER DR,NC,3
116 BYRON PLACE,NC,36
301 E MAIN ST,NC,19
100 LEONARD AVENUE,NC,9
1205 KINGS GRANT DR,NC,12
200 N WATER ST,NC,4
1775 GRAHAM AVENUE SUITE 201,NC,6
265 CHARLOTTE STREET  SUITE 2,NC,3
1001 CRESCENT GREEN,NC,3
2626 GLENWOOD AVE. SUITE 560,NC,6
134 CAPE FEAR DRIVE,NC,6
1800 W SUGAR CREEK RD,NC,5
2820 SELWYN AVE  SUITE 500,NC,54
1765 TOWN HOME DR,NC,3
101 CHARMWOOD CT,NC,3
6519 CISCAYNE PL,NC,3
206 WILSON STREET,NC,4
43 JORDAN LAKE COMMONS DRIVE,NC,4
307 N. HUGHES STREET,NC,3
17250 LANCASTER HIGHWAY SUITE 608,NC,20
2000 BEARCAT WAY SUITE 102,NC,4
2626 GLENWOOD AVE,NC,5
100 E CUMBERLAND ST,NC,15
5426 REGATTA WAY,NC,5
5915 FARRINGTON ROAD SUITE 202,NC,3
206 VANCE STREET,NC,3
4306 APPALOOSA LANE,NC,3
6 HEMLOCK RD,NC,3
3603 UNIVERSITY DRIVE,NC,11
1045 2ND AVENUE NW,NC,3
14413 HAMLETVILLE STREET,NC,3
ROUTE 1,NC,133
2117 LOWER LAKE RD,NC,3
5.5 MILE COPPER RIVER HWY.,AK,3
720 9TH AVENUE NW,NC,4
610 EAST MOREHEAD STREET  SUITE 100,NC,5
2700 GAMBELL ST STE 300,AK,14
106 WOODWINDS INDUSTRIAL COURT,NC,11
1151 BISCAYNE DRIVE,NC,3
717 K ST,AK,4
522 S LEXINGTON AVE,NC,24
510 QUEEN STREET,NC,3
210 S CHERRY STREET,NC,7
200 S COLLEGE ST  STE 200,NC,31
106 FOSTER AVE,NC,24
106 FOSTER AVENUE,NC,147
2115 BAGGINS LANE,NC,3
5520 CREEK PINE DRIVE,NC,3
903 LYTCHFIELD PLACE,NC,3
125 CHRISTENSEN DRIVE SUITE 1,AK,3
215 S. MAIN STREET  SUITE 301,NC,27
1151 KILDAIRE FARM RD,NC,3
56 WILLIAM REECE LANE,NC,3
301 E WOODLAWN RD  STE 1,NC,17
110 SOUTH STRATFORD ROAD  FIFTH FLOOR,NC,14
60 WALKER STREET,NC,4
1141 STONE KIRK DRIVE,NC,3
5207 SANDY BANKS ROAD,NC,3
236 MARTIN LUTHER KING JR BLVD,NC,3
101 LATTNER COURT,NC,3
22 HICKORY TRAIL,NC,3
1111 HENDERSONVILLE ROAD,NC,3
5808 VALLEY STREAM TRAIL,NC,5
5884 RIVERDALE DRIVE,NC,3
518 PINE CIRCLE ROAD GREEN ACRES,NC,3
3608 SHANNON ROAD  SUITE 105,NC,3
125 N MAIN ST,NC,3
331 ALCOVE ROAD  SUITE 300,NC,3
4200 PERFORMANCE ROAD,NC,4
331 ALCOVE ROAD THIRD FLOOR,NC,7
115 SOUTH QUEEN STREET,NC,3
801 N. WEST STREET,NC,7
4025 BLUEBERRY ROAD,NC,4
21441 OLD WIRE ROAD,NC,4
211 STATE STREET,NC,5
401 NORTH MAIN STREET,NC,4
255 OLIVET LANE,NC,3
160 MINE LAKE CT  SUITE 200,NC,34
517 LAUCHWOOD DRIVE,NC,6
206 PSI DRIVE,NC,6
6876 GOOSE POINT DRIVE,NC,3
804 GREEN VALLEY ROAD; SUITE 200,NC,5
2500 AUBURN STREET,NC,4
517 WEST FLEMING DRIVE,NC,3
341 KILMAYNE DRIVE SUITE 201,NC,26
3623 NORTH ELM STREET SUITE 200,NC,76
4125-G WALKER AVENUE,NC,65
121 PIEDMONT DR,NC,4
206 PSI DR,NC,3
2297 KIRBY LACKEY ROAD,NC,3
936 DR MARTIN LUTHER KING JR WAY STE 1D,NC,5
3800 SHAMROCK DRIVE,NC,9
2802 BENJAMIN COURT,NC,3
505 DUNGANNON BLVD,NC,3
219 EAST BLVD.,NC,4
5309 MONROE ROAD,NC,3
5410 US 19,NC,3
206 DEPOT STREET,NC,16
700 RIVERSIDE DRIVE,NC,3
3623 ANTONE WAY,AK,3
225 VALLEY RIVER AVE. SUITE A,NC,4
3763 GOLF DR NE,NC,16
125 COLVARD FARM RD,NC,6
339 SYLVAN ACRES ROAD,NC,3
18 PATTON CEMETARY RD,NC,3
3248 PATTON ROAD,NC,3
163 CLAY HOLLOW RD,NC,3
756 W KING ST,NC,6
X X,NC,69
434 HOSPITAL DRIVE,NC,3
4800 THE WOODS ROAD,NC,4
ROUTE 2,NC,86
104 ELK STREET,NC,12
107 WESTDALE AVENUE,NC,4
23975 NIKOLAI ST,AK,4
835 WEST KING STREET,NC,4
110 DUCHESS COURT,NC,3
3848 CROUSE SCHOOL ROAD,NC,4
2131 AYRSLEY TOWN BLVD SUITE 300,NC,9
175 CASUAL CORNER LANE,NC,3
1560 WESTBROOK PLAZA DRIVE,NC,31
329 EMMA ROAD,NC,3
250 HAWTHORNE DRIVE,NC,3
4052 PLANTATION DRIVE,NC,17
165 SKYLAND DRIVE,NC,3
127 WEST HARGETT STREET  SUITE 100,NC,66
410 BYRAMS FORD DR,NC,9
5605 CAREY PL,NC,3
317 RAMONA CT,NC,3
37 BRADDOCK WAY,NC,3
1608 HWY 221 NORTH,NC,15
1 GLENWOOD AVE,NC,3
202 N MAIN STREET,NC,4
202 N MAIN ST,NC,5
4305 VITEX ST,NC,3
164 SOUTH DEPOT STREET,NC,4
2 SOUTH CHURCH AVENUE,NC,4
8402 RICHLANDS HIGHWAY,NC,3
108 S MAIN ST,NC,6
768 WEST KING STREET,NC,4
5605 BAMBOO ROAD,NC,3
501 NORTH ASPEN STREET,NC,3
5308 OLIVE RD,NC,3
108 RIVERWOODS DRIVE,NC,4
980 HIGHWAY 105,NC,3
4318 CONIFER LN,AK,79
1401 MONKWOOD PLACE,NC,3
12941 MIDORI DRIVE,AK,4
7295 SLADESVILLE CREDLE RD,NC,3
3001 PANTHER RIDGE LANE,NC,13
"4000 OLD SEWARD HWY., SUITE 300",AK,3
756 WEST KING ST.,NC,5
2815 W SUGAR CREEK ROAD,NC,4
74 AVONDALE RD,NC,6
9360 GLACIER HWY. STE. 202,AK,4
4005 ASHEVILLE HWY,NC,3
101 AIRPORT ROAD,NC,4
55760 EAST END RD,AK,3
329 EMMA RD,NC,3
110 S WILLOW ST STE 102,AK,25
415 COLEMAN ST.,AK,3
230 MITKOF HWY,AK,5
2714 BRIDLE BROOK WAY,NC,5
1 MAIN ST,AK,3
125 COLVARD FARM ROAD,NC,15
589 WEST KING STREET,NC,8
698 LINDEN DRIVE  SUITE 106,NC,3
2820 SELWYN AVE  SUITE 618,NC,3
1224 RANCH HORSE DRIVE,NC,3
868 S MAIN ST,NC,4
1108 INDUSTRIAL DRIVE,NC,9
931-B SOUTH MAIN STREET #149,NC,10
1121 SITUS COURT  SUITE 130,NC,8
1392 SPRING HILL CIRCLE,NC,3
677 LLEWELLYN PL,NC,4
642 WEST KING STREET,NC,99
1612 MILITARY CUTOFF RD. SUITE 108,NC,41
3401 TUTTLE ROAD,NC,6
379 GRAND HIGHCLERE WAY,NC,3
170 WIND CHIME CT,NC,5
1025 GATEWOOD AVE,NC,3
3075 SHAWNEE ROAD,NC,4
1100 NW MAYNARD RD SUITE 130,NC,11
711 CLUB HOUSE DRIVE,NC,5
7701 RED ROCK DR.,NC,3
2901 COLTSGATE ROAD  SUITE 100,NC,6
1620 FAIRWAY DRIVE,NC,3
21004 TORRENCE CHAPEL RD,NC,4
4321 LASSITER AT NORTH HILLS AVENUE SUITE 250,NC,11
4321 LASSITER AT NORTH HILLS  SUITE 250,NC,24
125 PINE ST.,NC,5
404 N. MARSHALL STREET,NC,7
3276 PARK RD.,NC,3
561 OLD COUNTY HOME ROAD,NC,3
627 WOODS WAY,NC,3
950 N POLK ST,NC,4
15 PLEASANT HILL DRIVE,NC,4
575 DAVIDSON GATEWAY DRIVE,NC,9
240 ASKIN LANE,NC,3
513 E MAIN ST,NC,3
2507 SUGARLOAF ROAD,NC,4
640 STATESVILLE BLVD SUITE 1,NC,10
227 W 4TH STREET,NC,19
6104 MADDRY OAKS CT,NC,8
3708 MAYFAIR STREET STE 100,NC,4
2945 FOX GLOVE DRIVE,NC,3
100 N. GREENE STREET  SUITE 600,NC,35
621 N MAIN STREET,NC,3
301 COLLEGE STREET SUITE 110,NC,14
2840 PLAZA PLACE  SUITE 475,NC,45
4523 PARK ROAD  SUITE 201 A,NC,17
105-A BRADY COURT,NC,3
1836 W US HWY 421,NC,10
5614 RIVERDALE RD,NC,8
821 N STREET SUITE 208,AK,8
308 MARTIN LUTHER KING JR.  BLVD,NC,3
STE. 300 324 W. WENDOVER AVE.,NC,3
400 W NORTH STREET SUITE 112,NC,9
804 WAVERLY COURT NE,NC,3
101 WESTON OAKS COURT,NC,4
5915 FARRINGTON ROAD SUITE 104,NC,25
120 APPLECROSS RD.,NC,3
10100 PARK CEDAR DR STE 166,NC,3
5428 CASHION ROAD,NC,3
22 WINSTON STREET,NC,31
1552-F UNION ROAD,NC,3
52 RIDGEVIEW ROAD,NC,3
1011 CHARLES BLVD STE A,NC,3
1225 CRESCENT GREEN DRIVE  SUITE 250,NC,4
108 GATEWAY BOULEVARD  SUITE 104,NC,3
4934 WINDY HILL DR,NC,3
75 CHURCH STREET,NC,4
480 HIGHWAY 105 EXTENSION,NC,16
4530 PARK ROAD  SUITE 490,NC,6
2308 NORWOOD AVENUE,NC,7
450 N CHURCH STREET,NC,4
"101 E. 9TH AVE., STE 12-B",AK,4
109 ELWAY DRIVE,NC,7
5431 MONROE RD,NC,3
210 SW MARKET STREET,NC,5
160 MINE LAKE CT.  STE 200,NC,10
6841 N TONGASS HWY,AK,3
6353 BLENHEIM PLACE,NC,3
160 MINE LAKE CT.  STE. 200,NC,7
2179 EAST LYON STATION ROAD,NC,4
301 N. MAIN STREET  SUITE 801,NC,4
812 SALEM WOODS DRIVE,NC,40
"9360 GLACIER HIGHWAY, STE 202",AK,27
4131 N FARM FIELD PLACE,AK,5
1106 ANDERSON STREET,NC,5
9516 AUTUMN APPLAUSE DRIVE,NC,3
101 S. TRYON STREET  SUITE 2200,NC,8
3321 OGLE DR,NC,6
341 KILMAYNE DRIVE STE 201,NC,4
5409 GREEN FEATHER LANE,NC,4
7804 FAIRVIEW RD STE 229,NC,3
7802 BUDDY HOLLY RD,NC,3
1644 FERN HOLLOW TRAIL,NC,3
3420 WEST ZION CHURCH ROAD,NC,3
8480 HONEYCUTT ROAD  SUITE 200,NC,24
12846 LINDSEY CIRCLE,AK,3
101 E 9TH AVENUESUITE 12-B,AK,6
1400 OLD MILL CIRCLE STE C,NC,4
3708 LYCKAN PARKWAY SUITE 106,NC,26
1407 W 31ST AVE STE 800,AK,4
3605 GLENWOOD AVE  STE 500,NC,3
19 ARLINGTON STREET SUITE 1,NC,14
19 ARLINGTON ST  SUITE 1,NC,3
19 ARLINGTON STREET,NC,4
19 ARLINGTON STREET  SUITE 1,NC,3
129 MYSTERY HILL LANE,NC,5
138 STAMEY FARM ROAD,NC,3
8701 BRICKELL AVE,NC,3
9120 MORGAN STREET,NC,15
358 OLDE CHARTER CIRCLE,NC,3
2626 GLENWOOD AVE.  SUITE 550,NC,12
409 POLLOCK STREET,NC,3
615 S. COLLEGE STREET  SUITE 1430,NC,19
5620 CONCORD PKWY S STE 103,NC,27
104 3RD STREET NE,NC,3
905 SANDERSON DR.,NC,3
10955 WINDS CROSSING DR STE 100,NC,5
202 CHIPPOAKS DRIVE,NC,4
5540 CENTERVIEW DRIVE  SUITE 200,NC,23
201 E. MAIN STREET,NC,10
42 ASHEVILLE HWY,NC,4
5728 THISTLETON LANE,NC,5
1266 BREVARD ROAD,NC,4
1 FREEDOM LANE,NC,7
72 EUCLID BLVD.,NC,3
218 SOUTH MAIN STREET,NC,4
402 UPTON STREET,NC,4
709 QUAKER LANE,NC,3
442 1/2 EAST MAIN STREET,NC,7
1719 FUNNY CIDE DRIVE,NC,11
9507 WOOD VALLEY LANE,NC,3
808 CAPITAL CLUB BLDG,NC,3
8480 HONEYCUTT ROAD SUITE 200 #V295,NC,11
257 ABERCORN CIRCLE,NC,3
116 JAMES ROLLAND LN,NC,3
5552 CAROLINA BEACH RD SUITE B,NC,3
11704 REAMES ROAD,NC,4
300 N. MAIN STREET SUITE 300,NC,12
2376 HICKSWOOD RD STE 106,NC,3
2130 E DIMOND BLVD,AK,4
19545 GREENTREE WAY SUITE A,NC,3
417 CARATOKE HWY. UNIT D,NC,3
102 FOREST LANE,NC,6
312 JONESTOWN ROAD,NC,4
373A 2ND AVE,AK,6
133 FAYETTEVILLE STREET  SUITE 600,NC,7
319 S. SHARON AMITY ROAD  STE. 230,NC,6
335 N QUEEN STREET,NC,4
101 ZEBULON CT,NC,11
34 2ND STREET NW  4TH FLOOR,NC,6
5700 OLEANDER DRIVE,NC,38
1156 N MAIN STREET,NC,3
2 DAVIS DRIVE,NC,16
1849 N GARNETT ST,NC,3
100 AQUA VISTA DRIVE,NC,3
1204 NORTH LAKE PARK BLVD SUITE E,NC,8
5101 UNICON DRIVE SUITE A,NC,4
1720 HILLSBOROUGH STREET SUITE 200,NC,9
701 HAY STREET,NC,3
105 CHANDRA COURT,NC,3
100 E LAKE DR,NC,4
102 ANNA LAKE LANE,NC,7
4206 ROCK BRIDGE RD,NC,3
410 N BOYLAN AVE,NC,5
741 WIMBLETON DRIVE,NC,3
1400 SMITH RENO ROAD,NC,4
5221 LUNAR DR,NC,3
5701 THISTLETON LANE,NC,4
325 W PENNSYLVANIA AVE STE E,NC,8
415 BARBER LOOP,NC,3
110 OAKWOOD DRIVE  SUITE 500,NC,18
4925 W MARKET ST STE 1123,NC,5
2304 WESVILL COURT SUITE 100,NC,3
205 W ROCK CREEK ROAD,NC,3
2310 WEST PELICAN DRIVE,NC,3
1111 THORNROSE WAY,NC,3
150 FAYETTEVILLE ST STE 1011,NC,7
7220 WRIGHTSVILLE AVE  STE A,NC,3
253 ARGONNE DRIVE,NC,3
5300 ATLANTIC AVE SUITE 101,NC,5
11202 HARRIS RD,NC,4
16928 LANCASTER HIGHWAY STE 109,NC,4
500 S MAIN ST,NC,6
9630 GLACIER HIGHWAYSUITE 202,AK,8
3808 W GATE CITY BLVD SUITE F,NC,5
602 EAST ACADEMY STREET SUITE 205,NC,3
4909 STOUGH RD SW,NC,5
1701 SOUTH BLVD,NC,6
6463 WALTER WRIGHT ROAD,NC,3
9360 GLACIER HIGHWAYSTE. 202,AK,32
1640 OLD 421 SOUTH,NC,6
201 S. SALEM STREET,NC,5
5265 HILLTOP CT,NC,5
3417 HUNTING CREEK DR,NC,5
2810 GRESHAM GROVE LN APT 301,NC,3
1206 BRAWLEY SCHOOL RD,NC,5
1052 S CHURCH ST,NC,4
353 E SIX FORKS ROAD SUITE 250,NC,3
233 BEECH SLOPE CT,NC,4
2936 DOUGHCHEE AVE,AK,3
219 LOCHVIEW DR,NC,3
885 PARK SLOPE DRIVE,NC,4
1833 HOBSON ROAD,NC,3
118 N STERLING ST,NC,14
5720 SIX FORKS RD STE 102,NC,13
514 GRAVEL BROOK CT,NC,10
2111 LUTHERAN ST,NC,3
1802 COTTON GROVE RD,NC,3
221 DUNCAN HILL RD,NC,4
3540 TORINGDON WAY,NC,4
300 SOUTHTOWN CIR,NC,6
102 SOUTH CHERRY STREET,NC,3
2420 FARRINGTON POINT DR,NC,3
267 ROBINSON ROAD,NC,3
206 FAYETTEVILLE ST.,NC,3
5001 WESTON PARKWAY  STE 201,NC,18
420 JONESTOWN ROAD SUITE K,NC,3
8453 TWICKENHAM TER,NC,5
1801 BONNIBEE COURT,NC,20
1621 KIRKBY LANE,NC,3
1901 SHARON FOREST DR,NC,15
4401 BARCLAY DOWNS DRIVE  SUITE 200,NC,7
901 COLLEGE COURT,NC,5
3698 RAEBURN COURT,NC,3
161 PERU LANE,NC,5
132 HOLTS LANE,NC,3
20035 JETTON RD STE D,NC,33
3909 FOXFORD PLACE,NC,4
35905 RYAN LN,AK,4
4372 FERNCREEK DRIVE,NC,4
8591 PICKARDS MEADOW RD.,NC,9
R.F.D. 2,NC,3
3310 BRICES CREEK ROAD,NC,3
712 COUNTRY CLUB ROAD,NC,4
1617 OWEN DRIVE,NC,5
201 HAY STREET,NC,8
511 NC HIGHWAY 210 N,NC,7
310 S. WEST STREET  SUITE 100,NC,3
6920 CLIFFDALE ROAD,NC,4
4119-I ROSE LAKE DRIVE,NC,13
6729 FALLS OF NEUSE ROAD SUITE 200,NC,3
8514 MCALPINE PARK DRIVE  SUITE 210,NC,5
4601 CHARLOTTE PARK DRIVE SUITE 350,NC,12
2840 PLAZA PLACE  SUITE 200,NC,18
511 HIGHWAY 210 NORTH,NC,4
416 POLLOCK STREET  POST OFFICE DRAWER 889,NC,3
36275 MERE CIRCLE,AK,7
"9360 GLACIER HWY, STE. 202",AK,7
5668 REGENTS PARK ROAD,NC,3
1501 OLD COACH ROAD,NC,3
300 SOUTH MAIN ST,NC,5
8712 LINDHOLM DRIVE STE 300,NC,8
212 SOUTH TRYON ST. SUITE 1000,NC,3
115 N THIRD STREET SUITE 300,NC,3
853 OLD WINSTON ROAD  SUITE 118,NC,21
502 CARTHAGE ST,NC,4
630 WINDSOR PLACE,NC,4
575 DAVIDSON GATEWAY DRIVE  SUITE 200,NC,17
120 SAINT ALBANS DRIVE,NC,3
1002 VANDORA SPRINGS RD,NC,6
5121 KINGDOM WAY SUITE 200,NC,8
4957 ALBEMARLE ROAD,NC,24
853 OLD WINSTON RD  STE 118,NC,4
105 ISLAND DRIVE,NC,6
6101 CARNEGIE BLVD STE 400,NC,5
705 GRIFFITH STREET  SUITE 204,NC,36
791 ETON BLVD,AK,3
1361 CAMILLA DRIVE,NC,3
16501 D NORTHCROSS DRIVE,NC,23
377 S SWING ROAD,NC,4
589 FARRINGDOM ST,NC,4
319 S SHARON AMITY ROAD STE 230,NC,3
301 S. COLLEGE ST.  SUITE 3500,NC,5
803 EAST MAIN STREET,NC,6
10 S CARDINAL DR,NC,17
10 S. CARDINAL DR.,NC,4
815 ALEXWOOD DRIVE,NC,3
851 WASHINGTON STREET,NC,4
4040 ZION CHURCH ROAD,NC,3
166 CENTER STREET,NC,21
237 GRAVELY BRANCH RD,NC,4
6035 FAIRVIEW ROAD,NC,7
13925 BALLANTYNE CORPORATE PLACE  SUITE 200,NC,38
15720 BRIXHAM HILL AVENUE SUITE 203,NC,7
6736 FALLS OF NEUSE  SUITE 200,NC,5
6736 FALLS OF NEUSE ROAD  SUITE 200,NC,3
6736 FALLS OF NEUSE RD STE 200,NC,3
139 W MAIN ST,NC,3
547 KEISLER DRIVE SUITE 104,NC,3
120 DOGWOOD RD.,NC,4
913 VICKIE DRIVE,NC,6
3085 MOUNTIANWOOD CIR,AK,11
357 E PARKS HWY STE 200,AK,6
9303 CUB RUN DRIVE,NC,3
384 WHITE OAK RIDGE,NC,3
"1300 ST. MARY'S STREET",NC,4
5509 A  WEST FRIENDLY AVENUE  SUITE 101,NC,32
5509-A WEST FRIENDLY AVENUE  SUITE 101,NC,188
1515 WEST CORNWALLIS DR STE 101,NC,47
1515 CORNWALLIS DRIVE STE 101,NC,3
375 10TH AVENUE DR NE,NC,8
7 HICKORY CREEK CT,NC,3
107 WIND CHIME COURT,NC,5
2120 CUMBERLAND AVENUE,NC,3
2741 UNIVERSITY DR.,NC,5
3551 N AOKI DR,AK,3
808 SOUTH GROVE ST,NC,8
1340 ENVIRON WAY,NC,25
1030 HOMELAND AVE,NC,4
62 ROBIN HOOD ROAD,NC,5
3901 BOSCO RD,NC,3
209 DELBURG STREET  STE 203,NC,3
7772 SILVER VIEW LANE,NC,4
10900 ARLEY HALL COURT,NC,3
1619 COMMUNITY ROAD,NC,4
2522 W. DIXON BLVD,NC,5
222 SHANE DR,NC,4
12245 NATIONS FORD ROAD  SUITE 503,NC,11
751 W. FOURTH ST.  SUITE 400,NC,3
1598 WESTBROOK PLAZA DRIVE  SUITE 200,NC,12
175 FRYE BRIDGE RD,NC,5
235 E. INDEPENDENCE BLVD,NC,6
220 NOTTINGHAM DRIVE,NC,3
5014 HOLLOW ROCK ROAD,NC,13
322 FOX WALK PATH,NC,4
1432 BRIDFORD PKWY APT G,NC,3
6890 2ND STREET SW,NC,3
5950 FAIRVIEW RD SUITE 800,NC,4
670 MOUNTAIN BROOK ROAD,NC,3
4016 N CROATAN HWY,NC,5
209 CHURCHILL DRIVE,NC,3
104 LILY CROSSING,NC,5
7032 7TH ST,NC,5
5605 IVYGATE LANE,NC,3
811-3 CENTRAL AVENUE,NC,3
10314 KIRKMONT DRIVE,NC,4
71 JONESTOWN RD,NC,3
5306 SIX FORKS RD  SUITE 101,NC,46
1401 OLDE EDEN DRIVE,NC,4
3726 HORSESHOE FARM STREET,NC,3
4125-D WALKER AVENUE,NC,4
2100 CRESCENT AVENUE  SUITE 200,NC,6
371 S SWING RD,NC,4
514 DANIELS STREET #103,NC,6
542 WILLIAMSON ROAD SUITE A,NC,14
97511 FRANKLIN RIDGE,NC,4
500 S. MAIN ST.,NC,3
1119 7 LKS N  138 CARDINAL LN,NC,3
3883 DALLAS HIGH SHOALS HWY,NC,3
1219 N MAIN ST,NC,3
18141 WEST CATAWBA AVENUE,NC,3
114 W MAIN STREET,NC,9
1848 US HWY 74 WEST,NC,6
63 VERON COURT,NC,5
841 TIM CURRIN ROAD,NC,4
110 S STRATFORD ROAD  FIFTH FLOOR,NC,6
9121 ANSON WAY SUITE 222,NC,3
201 W. ASH ST.  STE. 1,NC,3
3025 CLINTON DR,AK,23
150 FAYETTEVILLE STREET  1011,NC,3
3450 SHANDY CT,AK,3
10383 SUTHERBY DR,NC,3
1230 LITTLE LAUREL ROAD,NC,5
105 CASHWELL DRIVE,NC,3
8204 FAZIO DRIVE,NC,4
8584 NC HWY 150 E,NC,13
1040 RANDOLPH ST STE 35,NC,3
599 CASTLE RISING ROAD,NC,4
4122 ARCKELTON DRIVE,NC,4
555 FAYETTEVILLE STREET  SUITE 300,NC,11
3227 SPOTTSWOOD STREET,NC,3
6410 MCCRIMMON PKWY,NC,6
209 FALCON DR,AK,3
20441 PTARMIGAN BLVD,AK,6
685 BIRCH ST,AK,3
2303 TULIK DRIVE,AK,3
4801 GLENWOOD AVENUE SUITE 200 PMB,NC,6
6895 N GLENN HWY,AK,13
4000 W DIMOND BLVD #4,AK,3
1150 S COLONY WAY STE 3 PMB 226,AK,4
1150 S COLONY WAY,AK,7
308 OLD STEESE HWY,AK,5
4000 W DIMOND BLVD STE #4,AK,3
8427 LAVIENTO DR STE 101,AK,5
4820 SPORTSMAN DRIVE,AK,4
302 ORCA INLET RD,AK,3
6535 MCGILL WAY,AK,4
420 6TH AVE,AK,3
"1227 W. 9TH AVE., SUITE 200",AK,3
