name,ccn,homepage_url,state_code,street,city,state,zip,beds,telephone
MIDWEST SURGICAL HOSPITAL LLC,280131,https://mwsurgicalhospital.com/,NE,7915 Farnam Drive,Omaha,NE,68114,19,(402) 399-1900
MONUMENT HEALTH LEAD-DEADWOOD HOSPITAL,431320,https://directory.monument.health/facility/sd/deadwood/61-charles-street,SD,61 Charles Street,Deadwood,SD,57732,18,(605) 717-6000
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,061336,https://www.avrmc.org/,CO,1100  Carson Avenue,La Junta,CO,81050,20,(719) 384-5412
PARIS REGIONAL MEDICAL CENTER,450196,https://parisregionalmedical.com/,TX,865 Deshong Drive,Paris,TX,75460,253,(903) 737-1111
BIG SANDY MEDICAL CENTER,271311,https://www.bsmc.org/,MT,166 Montana Avenue East,Big Sandy,MT,59520,8,(406) 378-2188
"CABELL HUNTINGTON HOSPITAL, INC",510055,https://www.cabellhuntington.org,WV,1340 Hal Greer Boulevard,Huntington,WV,25701,330,(304) 526-2000
THREE RIVERS HOSPITAL,501324,https://threerivershospital.net,WA,507 Hospital Way,Brewster,WA,98812,25,(509) 689-2517
"CORPUS CHRISTI MEDICAL CENTER,THE",450788,https://ccmedicalcenter.com/locations/corpus-christi-medical-center-doctors-regional/,TX,3315 South Alameda,Corpus Christi,TX,78411,421,(361) 761-1400
"GRACE MEDICAL CENTER, INC",210013,https://www.lifebridgehealth.org/Grace/Grace.aspx,MD,2000 West Baltimore Street,Baltimore,MD,21223,69,(410) 362-3000
AVERA SACRED HEART HOSPITAL,430012,https://www.avera.org/locations/sacred-heart/,SD,501 Summit Street,Yankton,SD,57078,262,(605) 668-8000
UNIVERSITY HOSPITALS PORTAGE MEDICAL CENTER,360078,https://www.uhhospitals.org/locations/uh-portage-medical-center,OH,6847 North Chestnut Street,Ravenna,OH,44266,187,(330) 297-0811
BAXTER REGIONAL MEDICAL CENTER,040027,https://www.baxterregional.org,AR,624 Hospital Drive,Mountain Home,AR,72653,211,(870) 508-1000
SWEDISH EDMONDS HOSPITAL,500026,https://www.swedish.org/locations/edmonds-campus#axzz2KiU4OVgU,WA,21601 76th Avenue West,Edmonds,WA,98026,188,(425) 640-4000
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,https://www.fshsanantonio.com/,TX,9522 Huebner Road,San Antonio,TX,78240,20,(210) 478-5400
DAYTON VA MEDICAL CENTER,36007F,https://www.dayton.va.gov,OH,4100 West Third Street,Dayton,OH,45428,0,(937) 268-6511
LAKEVIEW HOSPITAL,460042,https://mountainstar.com/locations/lakeview-hospital/,UT,630 East Medical Drive,Bountiful,UT,84010,92,(801) 299-2200
MEMORIAL HERMANN NORTHEAST HOSPITAL,450684,https://www.memorialhermann.org/locations/northeast,TX,18951 Memorial North,Humble,TX,77338,242,(281) 540-7700
COOKEVILLE REGIONAL MEDICAL CENTER,440059,https://www.crmchealth.org,TN,1 Medical Center Boulevard,Cookeville,TN,38501,231,(931) 528-2541
COVINGTON - A M G PHYSICAL REHABILITATION HOSPITAL,193097,https://amgihm.com/locations/covington/,LA,5025 Keystone Boulevard Suite 200,Covington,LA,70433,24,(985) 888-0301
ROOKS COUNTY HEALTH CENTER,171311,https://www.rookscountyhealthcenter.com,KS,1210 North Washington,Plainville,KS,67663,22,(785) 434-4553
CHARLESTON AREA MEDICAL CENTER,510022,https://www.camc.org/locations/camc-general-hospital,WV,501 Morris Street,Charleston,WV,25301,855,(304) 388-5432
ADVENTHEALTH ORLANDO,100007,https://www.adventhealth.com/hospital/adventhealth-orlando,FL,601 East Rollins Street,Orlando,FL,32803,"2,904",(407) 303-5600
COMMUNITY HOSPITAL SOUTH,150128,https://www.ecommunity.com/locations/community-hospital-south,IN,1402 East County Line Road ,Indianapolis,IN,46227,169,(317) 887-7000
WAYNE COUNTY HOSPITAL,161358,https://www.waynecountyhospital.org/,IA,417 South East Street,Corydon,IA,50060,25,(641) 872-2260
SYRACUSE AREA HEALTH,281309,https://www.syracuseareahealth.com,NE,2731 Healthcare Drive,Syracuse,NE,68446,10,(402) 269-2011
OSF SAINT ANTHONY'S HEALTH CENTER,140052,https://www.osfhealthcare.org/saint-anthonys/,IL,1 Saint Anthony's Way,Alton,IL,62002,49,(618) 465-2571
ST ANTHONY HOSPITAL,381319,https://www.sahpendleton.org,OR,2801 Saint Anthony Way,Pendleton,OR,97801,25,(541) 276-5121
HOLYOKE MEDICAL CENTER,220024,https://www.holyokehealth.com/Home,MA,575 Beech Street,Holyoke,MA,01040,196,(413) 534-2500
PALMS BEHAVIORAL HEALTH,454141,https://palmsbh.com/,TX,613 Victoria Lane,Harlingen,TX,78550,94,(956) 365-2600
BLUE MOUNTAIN HOSPITAL,381305,https://www.bluemountainhospital.org,OR,170 Ford Road,John Day,OR,97845,16,(541) 575-1311
KINDRED HOSPITAL - CHICAGO,142008,https://www.kindredhealthcare.com/locations/ltac/kindred-hospital-chicago-northlake-campus,IL,365 East North Avenue,Northlake,IL,60164,185,(708) 345-8100
VA HOSP,19048F,https://www.shreveport.va.gov,LA,510 East Stoner Avenue,Shreveport,LA,71101,0,(318) 221-8411
J D MCCARTY CENTER FOR CHILDREN,373300,https://www.jdmc.org,OK,2002 East Robinson Street,Norman,OK,73071,0,(405) 307-2800
ST FRANCIS HOSPITAL,440183,https://www.saintfrancishosp.com,TN,5959 Park Avenue,Memphis,TN,38119,422,(901) 765-1000
ALLEGIANCE BEHAVIORAL HEALTH CENTER OF PLAINVIEW,454101,https://ahmgt.com/locations/,TX,"2601 Dimmitt Road, Suite 400",Plainview,TX,79072,20,(806) 296-9191
KAISER FOUNDATION HOSPITAL - SOUTH BAY,050411,https://thrive.kaiserpermanente.org/care-near-you/southern-california/south-bay/locations/,CA,25825 South Vermont Avenue,Harbor City,CA,90710,257,(310) 325-5111
CAPITAL REGION MEDICAL CENTER,260047,https://www.crmc.org,MO,1125 Madison Street,Jefferson City,MO,65101,114,(573) 632-5000
GEISINGER-LEWISTOWN HOSPITAL,390048,https://www.geisinger.org/patient-care/find-a-location/geisinger-lewistown-hospital,PA,400 Highland Avenue,Lewistown,PA,17044,133,(717) 248-5411
SELECT SPECIALITY HOSPITAL-FORT SMITH INC,042006,https://www.selectspecialtyhospitals.com/locations-and-tours/ar/fort-smith/fort-smith/,AR,"1001 Towson Avenue, 6th Floor",Fort Smith,AR,72901,34,(479) 441-3980
ST CHARLES PRINEVILLE,381313,https://www.stcharleshealthcare.org/locations/st-charles-prineville,OR,384 Southeast Combs Flat Road,Prineville,OR,97754,16,(541) 447-6254
"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF YORK,",393037,https://www.encompasshealth.com/yorkrehab,PA,1850 Normandie Drive,York,PA,17408,90,(717) 767-6941
KINDRED HOSPITALS-DAYTON,362033,https://www.kindredhealthcare.com/locations/ltac/kindred-hospital-dayton,OH,707 South Edwin C. Moses Boulevard,Dayton,OH,45417,67,(937) 331-9265
COQUILLE VALLEY HOSPITAL DISTRICT,381312,https://www.cvhospital.org/,OR,940 East Fifth,Coquille,OR,97423,17,(541) 396-3101
FRANKLIN MEMORIAL HOSPITAL,200037,https://mainehealth.org/franklin-community-health-network/locations/franklin-memorial-hospital,ME,111 Franklin Health Commons,Farmington,ME,04938,48,(207) 778-6031
"EVEREST REHABILITATION HOSPITAL OKC, LLC",373036,https://www.mercy.net/practice/mercy-rehabilitation-hospital-oklahoma-city-south/,OK,7900 Mid-America Boulevard,Oklahoma City,OK,73135,36,(403) 731-8800
NORTH ALABAMA SPECIALTY HOSPITAL,012014,https://amgihm.com/locations/north-alabama/,AL,700 West Market Street 2nd Floor,Athens,AL,35611,31,(256) 262-6767
LOVELACE MEDICAL CENTER,320009,https://lovelace.com/location/lovelace-medical-center,NM,601 Dr. Martin Luther King Jr. Northeast,Albuquerque,NM,87102,293,(505) 727-8000
CARILION ROANOKE MEMORIAL HOSPITAL,490024,https://www.carilionclinic.org/locations/carilion-roanoke-memorial-hospital,VA,1906 Belleview Avenue,Roanoke,VA,24014,722,(540) 981-7000
SSM HEALTH ST MARY'S HOSPITAL - MADISON,520083,https://www.ssmhealth.com/locations/st-marys-hospital-madison,WI,700 South Park Street,Madison,WI,53715,374,(608) 251-6100
MEMORIAL MEDICAL CENTER,451356,https://www.mmcportlavaca.com/,TX,815 North Virginia Street,Port Lavaca,TX,77979,25,(361) 552-6713
SENTARA RMH MEDICAL CENTER,490004,https://www.sentara.com/hospitalslocations/locations/sentara-rmh-medical-center.aspx,VA,2010 Health Campus Drive,Harrisonburg,VA,22801,238,(540) 689-1000
CENTRAL PENINSULA GENERAL HOSPITAL,020024,https://www.cpgh.org/,AK,250 Hospital Place,Soldotna,AK,99669,109,(907) 714-4404
NORTHWEST  HEALTH- PORTER,150035,https://www.nwhealthporter.com/,IN,85 East US Highway 6,Valparaiso,IN,46383,252,(219) 983-8300
JAMAICA HOSPITAL MEDICAL CENTER,330014,https://www.jamaicahospital.org/,NY,8900 Vanwyck Expressway,Jamaica,NY,11418,607,(718) 206-6000
UNIVERSITY OF TOLEDO MEDICAL CENTER,360048,https://utmc.utoledo.edu/medicalservices/index.html,OH,3000 Arlington Avenue,Toledo,OH,43614,246,(419) 383-4000
THREE RIVERS HEALTH,230015,https://locations.beaconhealthsystem.org/mi/three-rivers/three-rivers-health-hospital,MI,701 South Health Parkway,Three Rivers,MI,49093,60,(269) 278-1145
CENTRAL TEXAS REHABILITATION HOSPITAL,673027,https://www.centraltexasrehabhospital.com/,TX,700 West 45 Street,Austin,TX,78751,50,(512) 407-2111
SAINT AGNES MEDICAL CENTER,050093,https://www.samc.com,CA,1303 East Herndon Avenue,Fresno,CA,93720,385,(559) 450-3000
"PINNACLE REGIONAL HOSPITAL, INC",170201,https://pinnacleregional.com/overlandpark/,KS,12850 Metcalf Ave,Overland Park,KS,66213,4,(913) 220-2866
SPARTANBURG MEDICAL CENTER,420007,https://www.spartanburgregional.com/locations/spartanburg-medical-center/,SC,101 East Wood Street,Spartanburg,SC,29303,701,(864) 560-6000
ST ANNE HOSPITAL,500011,https://www.chifranciscan.org/st-anne-hospital.html,WA,16251 Sylvester Road Southwest,Burien,WA,98166,115,(206) 244-9970
PAM SPECIALTY HOSPITAL OF SAN ANTONIO MEDICAL CEN,452059,https://pamhealth.com/index.php/facilities/find-facility/specialty-hospitals/pam-specialty-hospital-san-antonio-south-campus,TX,8902 Floyd Curl Drive,San Antonio,TX,78240,62,(210) 690-7000
DR JOHN C CORRIGAN MENTAL HEALTH CENTER,224028,https://www.mass.gov/service-details/southeast-area,MA,49 Hillside Street,Fall River,MA,02720,16,(508) 897-2000
BILLINGS CLINIC BROADWATER,271333,https://www.billingsclinic.com/billings-clinic-broadwater/,MT,110 North Oak Street,Townsend,MT,59644,25,(406) 266-3186
CENTURA ST CATHERINE HOSPITAL - DODGE CITY,170175,https://www.centura.org/location/st-catherine-hospital-dodge-city,KS,3001 Avenue A,Dodge City,KS,67801,60,(620) 225-8400
RUSSELL MEDICAL CENTER,010065,https://russellcares.com,AL,3316 Highway 280,Alexander City,AL,35010,45,(256) 329-7100
UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,330241,https://www.upstate.edu/hospital/,NY,750 East Adams Street,Syracuse,NY,13210,752,(315) 464-5540
NATCHITOCHES REGIONAL MEDICAL CENTER,190007,https://www.nrmchospital.org/,LA,501 Keyser Avenue,Natchitoches,LA,71457,208,(318) 214-4200
MINNEOLA DISTRICT HOSPITAL NBR 2,171368,https://minneolahealth.com/minneola-district-hospital/,KS,212 Main Street,Minneola,KS,67865,14,(620) 885-4264
PINE RIDGE IHS HOSPITAL,430098,https://www.ihs.gov/greatplains/index.cfm/healthcarefacilities/pineridge/,SD,East Highway 18,Pine Ridge,SD,57770,45,(605) 867-5131
UNION MEDICAL CENTER,420108,https://www.spartanburgregional.com/locations/union-medical-center/,SC,322 West South Street,Union,SC,29379,15,(864) 301-2000
AU MEDICAL CENTER,110034,https://www.augustahealth.org/locations/medical-center,GA,1120 15th Street,Augusta,GA,30912,464,(706) 721-2273
SPARROW CARSON HOSPITAL,230208,https://www.sparrow.org/our-hospitals-services/sparrow-hospitals/sparrow-carson-hospital,MI,406 East Elm Street,Carson City,MI,48811,48,(989) 584-3131
UNITY PSYCHIATRIC CARE-MEMPHIS,444024,https://www.unitypsych.com/memphis,TN,1505 North Second Street,Memphis,TN,38107,17,(901) 791-0600
ABBEVILLE AREA MEDICAL CENTER,421301,https://www.abbevilleareamc.com,SC,420 Thomson Circle,Abbeville,SC,29620,25,(864) 366-5011
HALIFAX REGIONAL MEDICAL CENTER INC,340151,https://locations.ecuhealth.org/roanokerapids/ecu-health-north-hospital.html,NC,250 Smith Church Road,Roanoke Rapids,NC,27870,114,(252) 535-8011
VIBRA REHABILITATION HOSPITAL OF AMARILLO,453096,https://vrhamarillo.com/,TX,7200 West 9th Ave,Amarillo,TX,79106,44,(806) 468-2900
PAM REHABILITATION HOSPITAL OF CENTENNIAL HILLS,293034,https://pamhealth.com/index.php/facilities/find-facility/rehabilitation-hospitals/pam-rehabilitation-hospital-centennial-hills,NV,6166 North Durango Drive,Las Vegas ,NV,89149,45,(725) 223-4100
BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,670060,https://bswhealthsunnyvale.com/,TX,231 South Collins Road,Sunnyvale,TX,75182,70,(972) 892-3000
BRISTOL HOSPITAL,070029,https://www.bristolhospital.org,CT,41 Brewster Road,Bristol,CT,06010,120,(860) 585-3000
NOVANT HEALTH REHABILITATION HOSPITAL,343027,https://www.encompasshealth.com/locations/novanthealthrehab,NC,2475 Hillcrest Center Circle,Winston-Salem,NC,27103,68,(336) 754-3500
"ST MARY'S SACRED HEART HOSPITAL, INC",110027,https://www.stmaryshealthcaresystem.org/locations/st-marys-sacred-heart-hospital,GA,367 Clear Creek Parkway,Lavonia ,GA,30553,56,(706) 356-7800
ARROWHEAD BEHAVIORAL HEALTH,364036,https://www.arrowheadbehavioral.com,OH,1725 Timber Line Road,Maumee,OH,43537,48,(419) 891-9333
COMMUNITY FIRST MEDICAL CENTER,140251,https://www.cfmedicalcenter.com/,IL,5645 West Addison Street,Chicago,IL,60634,279,(773) 282-7000
NOVANT HEALTH ROWAN MEDICAL CENTER,340015,https://www.novanthealth.org/rowan-medical-center.aspx,NC,612 Mocksville Avenue,Salisbury,NC,28144,219,(704) 210-5000
CLOUD COUNTY HEALTH CENTER,171349,https://www.cchc.com/,KS,1100 Highland Drive,Concordia,KS,66901,22,(785) 243-1234
OSAGE BEACH CENTER FOR BEHAVIORAL HEALTH,264031,https://osagebeachccd.com,MO,840 Passover Road,Osage Beach,MO,65065,16,(573) 302-0319
SANPETE VALLEY HOSPITAL - CAH,461303,https://intermountainhealthcare.org/locations/sanpete-valley-hospital/,UT,1100 South Medical Drive,Mount Pleasant,UT,84647,18,(435) 462-2441
CENTERPOINTE HOSPITAL OF COLUMBIA,264032,https://www.centerpointehospitalcolumbia.com/,MO,1201 International Drive,Columbia,MO,65202,72,(833) 592-8920
GUADALUPE REGIONAL MEDICAL CENTER,450104,https://www.grmedcenter.com/,TX,1215 Court Street,Seguin,TX,78155,139,(830) 379-2411
LMH,170137,https://www.lmh.org/locations/hospital-campus/,KS,325 Maine Street,Lawrence,KS,66044,136,(785) 505-5000
ADVOCATE GOOD SHEPHERD HOSPITAL,140291,https://www.advocatehealth.com/gshp/,IL,450 West Highway 22,Barrington,IL,60010,176,(847) 381-0123
SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,140034,https://www.ssmhealth.com/locations/st-marys-hospital-centralia,IL,400 North Pleasant Avenue,Centralia,IL,62801,116,(618) 436-8000
PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,050353,https://www.providence.org/locations/plcm-torrance,CA,4101 Torrance Boulevard,Torrance,CA,90503,442,(310) 540-7676
CASCADE BEHAVIORAL HOSPITAL,504011,https://www.cascadebh.com,WA,12844 Military Road South,Tukwila,WA,98168,137,(206) 244-0180
PAM SPECIALTY HOSPITAL OF SAN ANTONIO,452090,https://pamhealth.com/index.php/facilities/find-facility/specialty-hospitals/PAM-Specialty-Hospital-San-Antonio,TX,"5418 North Loop 1604 West, 3rd Floor",San Antonio,TX,78224,26,(210) 921-3550
MOBERLY REGIONAL MEDICAL CENTER,260074,https://www.moberlyregionalmedicalcenter.com,MO,1515 Union Avenue,Moberly,MO,65270,67,(660) 263-8400
WELLSPAN GOOD SAMARITAN HOSPITAL,390066,https://www.wellspan.org/offices-locations/wellspan-good-samaritan-hospital/,PA,252 South 4th Street,Lebanon,PA,17042,159,(717) 270-7500
TAMPA GENERAL HOSPITAL,100128,https://www.tgh.org,FL,1 Tampa General Circle,Tampa,FL,33606,957,(813) 844-7000
RICHLAND PARISH HOSPITAL-DELHI,191323,https://delhihospital.com/,LA,407 Cincinnati Street,Delhi,LA,71232,25,(318) 878-5171
PARKWOOD BEHAVIORAL HEALTH SYSTEM,254005,https://parkwoodbhs.com,MS,8135 Goodman Road,Olive Branch,MS,38654,108,(662) 895-4900
GUNNISON VALLEY HOSPITAL,461306,https://gvhospital.org,UT,64 East 100 North,Gunnison,UT,84634,25,(435) 528-7246
BULLOCK COUNTY HOSPITAL,010110,https://www.bullockcountyhospital.com/,AL,102 West Conecuh Avenue,Union Springs,AL,36089,54,(334) 738-2140
SWAIN COUNTY HOSPITAL,341305,https://www.myswaincommunity.com/,NC,45 Plateau Street,Bryson City,NC,28713,24,(828) 488-2155
BANNER OCOTILLO MEDICAL CENTER,030147,https://www.bannerhealth.com/locations/chandler/banner-ocotillo-medical-center?y_source=1_MTc5NzY0MjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,AZ,1405 South Alma School Road,Chandler,AZ,85286,94,(480) 256-7000
PARIS COMMUNITY HOSPITAL,141320,https://www.myhorizonhealth.org/locations/paris-community-hospital/,IL,721 East Court Street,Paris,IL,61944,25,(217) 465-4141
SPRINGFIELD HOSPITAL CENTER,214004,https://health.maryland.gov/springfield/Pages/home.aspx,MD,6655 Sykesville Road,Sykesville,MD,21784,522,(410) 970-7000
HOSPITAL SAN FRANCISCO,400098,https://hospitalsanfranciscopr.com/,PR,371 Avenida De Diego,San Juan,PR,00923,135,(787) 767-5100
CORAL SHORES BEHAVIORAL HEALTH,104080,https://www.coralshoresbehavioral.com,FL,5995 SE Community Drive,Stuart,FL,34997,80,(772) 403-4000
EVEREST REHABILITATION HOSPITAL NWA,043036,https://www.everestrehab.com/rogers.html,AR,4313 South Pleasant Crossing Boulevard,Rogers,AR,72758,36,(479) 341-4003
KINDRED HOSPITAL SPRING,452074,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-tomball,TX,505 Graham Drive,Tomball,TX,77375,258,(281) 255-5600
EATON RAPIDS MEDICAL CENTER,231324,https://www.eatonrapidsmedicalcenter.org,MI,1500 South Main Street,Eaton Rapids,MI,48827,20,(517) 663-2671
NORTH RUNNELS HOSPITAL,451315,https://northrunnelsmedicalcenter.com/,TX,7821 State Highway 153 East,Winters,TX,79567,12,(325) 754-4553
STILLWATER MEDICAL - PERRY,370139,https://www.stillwater-medical.org/locations/stillwater-medical-perry,OK,501 14th Street,Perry,OK,73077,26,(580) 336-3541
NORTH TEXAS MEDICAL CENTER,450090,https://www.ntmconline.net,TX,1900 Hospital Boulevard,Gainesville,TX,76240,35,(940) 665-1751
BAYAMON MEDICAL CENTER,400032,https://www.bayamon-medical.com/,PR,"Route 2, Km 11-7",Bayamon,PR,00959,253,(787) 620-8181
CONWAY REGIONAL REHABILITATION HOSPITAL,043033,https://www.conwayregional.org/locations/rehabilitation-hospital-therapy-centers,AR,2210 Robinson Avenue,Conway,AR,72034,26,(501) 932-3500
BRIGHTWELL BEHAVIORAL HEALTH,154066,https://www.brightwellbehavioral.com/,IN,1612 Blackiston View Drive,Clarksville,IN,47129,22,(812) 670-4760
LOWER UMPQUA HOSPITAL DISTRICT,381311,https://www.lowerumpquahospital.org,OR,600 Ranch Road,Reedsport,OR,97467,16,(541) 271-2171
UT HEALTH EAST TEXAS REHABILITATION HOSPITAL,453072,https://uthealthrehab.com/,TX,701 Olympic Plaza Circle,Tyler,TX,75701,49,(903) 596-3000
FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,140172,https://franciscanhealth.org/find-a-location/franciscan-health-olympia-fields-218593,IL,20201 South Crawford Avenue,Olympia Fields,IL,60461,178,(708) 747-4000
CLEAR VIEW BEHAVIORAL HEALTH,064027,https://clearviewbh.com/,CO,4770 Larimer Parkway,Johnstown,CO,80534,92,(970) 461-5061
WEBSTER GENERAL HOSPITAL/ SWING BED,250020,https://www.nmhs.net/locations/profile/north-mississippi-medical-center-eupora/,MS,70 Medical Plaza,Eupora,MS,39744,38,(662) 258-6221
WESTERN ARIZONA REGIONAL MEDICAL CENTER,030101,https://www.warmc.com,AZ,2735 Silver Creek Road,Bullhead City,AZ,86442,110,(928) 763-2273
UNIVERSITY OF MISSOURI HEALTH CARE,260141,https://www.muhealth.org/locations/university-hospital,MO,One Hospital Drive,Columbia,MO,65212,643,(573) 882-4141
THE JAMES B HAGGIN MEMORIAL HOSPITAL,181302,https://www.emhealth.org/our-hospitals/ephraim-mcdowell-james-b-haggin-hospital/,KY,464 Linden Avenue,Harrodsburg,KY,40330,25,(859) 734-5441
BOYS TOWN NATIONAL RESEARCH HOSPITAL,283300,https://www.boystownhospital.org/locations/boys-town-hospital-west,NE,14000 Boys Town Hospital Road,Boys Town,NE,68010,52,(531) 355-1234
LARNED STATE HOSPITAL,174006,https://www.kdads.ks.gov/state-hospitals-and-institutions/larned-state-hospital,KS,1301 Kansas Highway 264,Larned,KS,67550,99,(620) 285-2131
WESTERN PEAKS SPECIALTY HOSPITAL,462003,https://www.sdch.com,UT,401 South 400 East,Bountiful,UT,84010,124,(801) 295-2361
NORTHWEST SPECIALTY HOSPITAL,130066,https://www.northwestspecialtyhospital.com,ID,1593 Polston Avenue,Post Falls,ID,83854,32,(208) 262-2300
UPMC HAMOT,390063,https://www.upmc.com/locations/hospitals/hamot,PA,201 State Street,Erie,PA,16550,456,(814) 877-6000
GOOD SAMARITAN REGIONAL MEDICAL CENTER,380014,https://www.samhealth.org/find-a-location/g/good-samaritan-regional-medical-center,OR,3600 Northwest Samaritan Drive,Corvallis,OR,97330,185,(541) 768-5111
SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,100102,https://www.shandslakeshore.com/,FL,368 Northeast Franklin Street,Lake City,FL,32055,87,(386) 292-8000
KAISER FOUNDATION HOSPITAL - DOWNEY,050139,https://thrive.kaiserpermanente.org/care-near-you/southern-california/downey/locations/downey-medical-center/,CA,9333 Imperial Highway,Downey,CA,90242,352,(562) 657-9000
PIONEERS MEDICAL CENTER,061325,https://pioneershospital.org,CO,100 Pioneers Medical Center Drive,Meeker,CO,81641,46,(970) 878-5047
VANDERBILT STALLWORTH REHAB HOSPITAL,443028,https://www.encompasshealth.com/locations/vanderbiltstallworth,TN,2201 Children's Way,Nashville,TN,37212,80,(615) 320-7600
TOLEDO HOSPITAL THE,360068,https://www.promedica.org/location/promedica-toledo-hospital,OH,1 ProMedica Parkway,Toledo,OH,43606,846,(419) 291-4000
BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,670082,https://www.bswhealth.com/locations/mckinney/,TX,5252 West University Drive Highway 380 at Lake Forest Drive,McKinney,TX,75071,143,(469) 764-1000
GALLUP INDIAN MEDICAL CENTER,320061,https://www.ihs.gov/navajo/index.cfm/healthcarefacilities/gallup/,NM,516 East Nazhoni Boulevard,Gallup,NM,87301,74,(505) 722-1000
SANFORD CHAMBERLAIN MEDICAL CENTER,431329,https://www.sanfordhealth.org/locations/sanford-chamberlain-medical-center,SD,300 South Byron,Chamberlain,SD,57325,69,(605) 234-5511
ASCENSION SAINT THOMAS BEHAVIORAL HEALTH HOSPITAL,444030,https://www.saintthomasbehavioral.com/?utm_source=Google&utm_medium=organic&utm_campaign=listing&utm_term=brand,TN,300 Great Circle,Nashville,TN,37228,90,(888) 595-0037
KINDRED HOSPITAL MELBOURNE,102027,https://www.kindredhealthcare.com/locations/ltac/kindred-hospital-melbourne,FL,765 West Nasa Boulevard,Melbourne,FL,32901,47,(321) 733-5725
CRAWFORD MEMORIAL HOSPITAL,141343,https://www.crawfordmh.org,IL,1000 North Allen Street,Robinson,IL,62454,25,(618) 544-3131
MERCY REGIONAL MEDICAL CENTER,190167,https://www.mercyregionalmedicalcenter.com/,LA,800 East Main Street,Ville Platte,LA,70586,109,(337) 363-5684
LONESOME PINE HOSPITAL,490114,https://www.balladhealth.org/hospitals/lonesome-pine-big-stone-gap,VA,1990 Holton Avenue,Big Stone Gap,VA,24219,97,(276) 523-3111
CENTRAL MAINE MEDICAL CENTER,200024,https://www.cmhc.org/cmmc/,ME,300 Main Street,Lewiston,ME,04240,234,(207) 795-0111
ENCOMPASS HEALTH REHABILITATION HOSPITAL MANATI,403026,https://www.encompasshealth.com/manatirehab,PR,"Carretera #2, Kilometro 47.7",Manati,PR,00674,40,(787) 621-3800
ARISE AUSTIN MEDICAL CENTER,450871,https://www.arisemedicalcenter.com/,TX,3003 Bee Caves Road,Austin,TX,78746,21,(512) 314-3800
PERIMETER BEHAVIORAL HOSPITAL OF DALLAS,454149,https://www.perimeterhealthcare.com/dallas,TX,2696 West Walnut Street,Garland,TX,75042,77,(972) 370-5518
LUTHERAN HOSPITAL OF INDIANA,150017,https://www.lutheranhospital.com/,IN,7950 West Jefferson Boulevard,Fort Wayne,IN,46804,387,(260) 435-7001
METHODIST REHABILITATION HOSPITAL,673031,https://methodist-rehab.com,TX,3020 West Wheatland Road,Dallas,TX,75237,50,(972) 708-8600
METHODIST HOSPITALS OF MEMPHIS,440049,https://www.methodisthealth.org/locations/methodist-university-hospital,TN,1265 Union Avenue,Memphis,TN,38104,"1,329",(901) 516-7000
KIT CARSON COUNTY MEMORIAL HOSPITAL,061313,https://www.kcchsd.org/,CO,286 16th Street,Burlington,CO,80807,19,(719) 346-5311
CARLSBAD MEDICAL CENTER,320063,https://www.carlsbadmedicalcenter.com,NM,2430 West Pierce Street,Carlsbad,NM,88220,74,(575) 887-4100
HENRY MAYO NEWHALL  HOSPITAL,050624,https://www.henrymayo.com,CA,23845 McBean Parkway,Valencia,CA,91355,357,(661) 200-2000
BRYN MAWR REHABILITATION HOSPITAL,393025,https://www.mainlinehealth.org/locations/bryn-mawr-rehab-hospital,PA,414 Paoli Pike,Malvern,PA,19355,148,(484) 596-5400
COMMONWEALTH HEALTH CENTER,660001,https://www.chcc.health/,MP,Hospital Drive,Saipan,MP,96950,74,(670) 234-8950
NELL J REDFIELD MEMORIAL HOSPITAL,131303,https://www.oneidacountyhospital.com/,ID,150 North 200 West,Malad City,ID,83252,44,(208) 766-2231
BAPTIST BEAUMONT HOSPITAL,450346,https://www.bhset.net,TX,3080 College Street,Beaumont,TX,77701,378,(409) 212-5000
DHHS USPHS INDIAN HEALTH SERVICES,320070,https://www.ihs.gov/albuquerque/healthcarefacilities/acomacanoncitolaguna/,NM,80 B Veterans Boulevard ,Acoma,NM,87034,6,(505) 552-5300
FRANCISCAN HEALTH CRAWFORDSVILLE,150022,https://www.franciscanhealth.org/find-a-location/franciscan-health-crawfordsville-218585,IN,1710 Lafayette Road,Crawfordsville,IN,47933,40,(765) 362-2800
CITIZENS BAPTIST MEDICAL CENTER,010101,https://www.citizensbaptistmedicalcenter.com/,AL,604 Stone Avenue,Talladega,AL,35160,103,(833) 251-9896
ASCENSION ST VINCENT JENNINGS,151303,https://healthcare.ascension.org/locations/indiana/ineva/north-vernon-ascension-st-vincent-jennings,IN,301 Henry Street,North Vernon,IN,47265,25,(812) 352-4200
