Department Description,ChargeID,ChargeDesc,RevCode,Price,CPT_CODE,De-Identified Minimum Outpatient Allowable Rate,De-Identified Maximum Outpatient Allowable Rate,Medicare Outpatient Allowable Rate,Blue Cross Outpatient Allowable Rate,United Healthcare Outpatient Allowable Rate,Corizon Outpatient Allowable Rate,WPPA Outpatient Allowable Rate,Coventry Outpatient Allowable Rate
Purchasing,3253006,SUTURE J845G - VICRYL 4-0,270,$12.00,,$0.00,$11.40,$6.48,$0.00,$11.40,$6.12,$8.40,$11.40
Emergency Room,3300365,ER SIMPLE WOUND REPAIR TRUNK > 30.0CM,450,"$1,919.00",12007,$269.33,"$1,823.05","$1,036.26","$1,523.00","$1,823.05",$978.69,$269.33,"$1,823.05"
Medical Clinic,13131,COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,521,$765.00,13131,$390.15,$780.00,$413.10,$780.00,$726.75,$390.15,$518.76,$726.75
Laboratory,3550268,RL URINE ALBUMIN,300,$100.00,82042,$0.00,$95.00,$54.00,$0.00,$95.00,$51.00,$0.00,$95.00
Purchasing,3250206,CONTACT LENS CASE,990,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,311793,PF REPAIR INTERMEDIATE N/H/F/XTRNL GENT,983,$810.00,12045,$412.87,"$1,076.00",$437.40,"$1,076.00",$769.50,$413.10,$412.87,$769.50
Surgery,2064999,Unlisted proc nervous system,982,$0.00,64999,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Treatment Room,3326005,"TR TUBE THORACOSTOMY, OPEN",761,"$1,468.00",32551,$0.00,"$2,109.21",$792.72,$0.00,"$1,394.60",$748.68,"$2,109.21","$1,394.60"
Occupational Therapy,3950792,OT PROSTH/ORTHOTIC MGMT/TRAIN EA 15 MIN,430,$0.00,97763,$0.00,$28.92,$0.00,$28.92,$0.00,$0.00,$0.00,$0.00
Physical Therapy,3950119,PT ULTRASOUND/ELECT. STIM.,420,$0.00,97039,$0.00,$10.00,$0.00,$10.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3256653,MASTISOL LIQ ADHESIVE,270,$5.05,,$0.00,$4.80,$2.73,$0.00,$4.80,$2.58,$3.54,$4.80
Surgery,3064640,Injection treatment of nerve,982,$277.51,64640,$0.00,$263.63,$149.86,$0.00,$263.63,$141.53,$182.06,$263.63
Emergency Dept Pro-Fees,325622,PF CLOSED TREATMENT NAVICULA W/O MANIP,982,$720.00,25622,$367.20,"$1,440.00",$388.80,"$1,440.00",$684.00,$367.20,$446.13,$684.00
Pharmacy,4800766,PO FEXOFENADINE HCL TAB 60 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3220637,LAPAROSCOPY EXCISE LESIONS,360,"$5,975.00",58662,"$3,047.25","$7,590.66","$3,226.50","$5,011.00","$5,676.25","$3,047.25","$7,590.66","$5,676.25"
Pharmacy,4800811,INJ CEFEPIME IV 1 GM,636,$0.00,J0692   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252610,SLIPPERS HIGH FALL - 2XL,270,$4.00,,$0.00,$3.80,$2.16,$0.00,$3.80,$2.04,$2.80,$3.80
Purchasing,3252776,OMNITRACK  USAGE,270,$224.50,,$0.00,$213.28,$121.23,$0.00,$213.28,$114.50,$157.15,$213.28
Treatment Room,3320072,"TR AVULSION NAIL PLATE, SIMPLE",761,$233.00,11730,$104.00,$269.33,$125.82,$104.00,$221.35,$118.83,$269.33,$221.35
Medical Clinic,G0439    ,PPPS SUBSEQUENT VISIT,521,$0.00,G0439   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,11010,"DEBRIDE SKIN, W/REMOVAL FOREIGN MATERIAL",521,"$1,066.00",11010,$276.00,"$1,012.70",$575.64,$276.00,"$1,012.70",$543.66,$932.96,"$1,012.70"
Laboratory,3552640,"RL TISSUE CULT NEO DISORDER, BONE MARROW",310,$940.00,88237,$0.00,$893.00,$507.60,$0.00,$893.00,$479.40,$0.00,$893.00
Respiratory Therapy,3900991,SLEEP STUDY UNATT&RESP EFFT,920,$0.00,95806,$0.00,$209.33,$0.00,$204.00,$0.00,$0.00,$209.33,$0.00
Purchasing,3250630,EYE DRAPE 40 X 48,270,$33.00,,$0.00,$31.35,$17.82,$0.00,$31.35,$16.83,$23.10,$31.35
Respiratory Therapy,3900769,"CONTINUOUS AEROSOL TREATMENT, INITIAL",410,$0.00,94644,$0.00,$167.93,$0.00,$139.55,$0.00,$0.00,$167.93,$0.00
Surgery,3150666,ANESTHESIA ADD 15 MINS,370,$150.00,,$0.00,$142.50,$81.00,$0.00,$142.50,$76.50,$105.00,$142.50
Pharmacy,4800220,PO ACETAMINOPHEN DP HYDRAM H,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0089  ,RL QUANT. IMMUNOGLOBULINS,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Chemo,3210016,CH IV HYDRATION INITIAL 31-60 MIN,260,$207.00,96360,$105.57,$305.25,$111.78,$132.00,$196.65,$105.57,$305.25,$196.65
Emergency Dept Pro-Fees,311815,PF TREAT RADIUS FRACTURE,983,"$1,212.00",24655,$618.12,"$1,151.40",$654.48,"$1,106.00","$1,151.40",$618.12,$627.66,"$1,151.40"
Pharmacy,4801131,INJ ROCEPHIN 1 GM VL,636,$0.00,J0696   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558807,RL GLUTEN,300,$0.00,86003,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Dietary,5505144,FULL LIQUID DIET,991,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3064636,Destroy l/s facet jnt addl,982,$190.30,64636,$0.00,$180.79,$102.76,$0.00,$180.79,$97.05,$90.95,$180.79
Laboratory,3559029,RL BETA-2 GLYCOPROTEIN IGG,300,$0.00,86146,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252826,"""CAST PADDING 2"""" ROLL""",270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Laboratory,3550129,RL HISTONES,300,$154.00,83516,$0.00,$146.30,$83.16,$0.00,$146.30,$78.54,$0.00,$146.30
Purchasing,3250283,"""ESMARK BANDAGE 6""""""",270,$14.00,,$0.00,$13.30,$7.56,$0.00,$13.30,$7.14,$9.80,$13.30
Medical Clinic,57160,FITTING/INSERTION PESSARY,521,$0.00,57160,$0.00,$255.48,$0.00,$0.00,$0.00,$0.00,$255.48,$0.00
Medical Clinic,11000,"DEBRIDEMENT INFECTED SKIN, 0-10%",521,$113.00,11000,$57.63,$786.26,$61.02,$276.00,$107.35,$57.63,$786.26,$107.35
Purchasing,3259392,PNUEMONEEDLE 120 MM,270,$57.00,,$0.00,$54.15,$30.78,$0.00,$54.15,$29.07,$39.90,$54.15
Surgery,3320692,"OR EXCISION LESION TENDON SHEATH, TOE EA",360,"$4,172.00",28092,"$2,088.53","$3,963.40","$2,252.88","$2,837.00","$3,963.40","$2,127.72","$2,088.53","$3,963.40"
Pharmacy,4800173,INJ DIMETHYL SULFOXIDE 50PCT,636,$0.00,J1212   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Physical Therapy,3950194,PT SELF-CARE/HOME MGMT TRAINING 15 MIN,420,$0.00,97535,$0.00,$33.83,$0.00,$33.83,$0.00,$0.00,$0.00,$0.00
Radiology,3701299,CHEST - TWO VIEWS,324,$0.00,71046,$0.00,$149.28,$0.00,$149.28,$0.00,$0.00,$121.35,$0.00
Laboratory,3551872,LB PATERNITY COLLECT-LABCORP,300,$17.00,99999,$0.00,$16.15,$9.18,$0.00,$16.15,$8.67,$11.90,$16.15
Surgery,3326118,SMALL BOWEL ENDOSCOPY,360,"$1,225.00",44376,$624.75,"$2,437.53",$661.50,$997.00,"$1,163.75",$624.75,"$2,437.53","$1,163.75"
Pharmacy,3362105,INJ BOTULINUM TOXIN TYPE A,636,$23.00,J0585   ,$0.00,$21.85,$12.42,$0.00,$21.85,$11.73,$16.10,$21.85
Pharmacy,4801175,PO DIAZEPAM RECTAL 2.5 MG GEL UD,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,319084,PF BIOPSY BREAST W/US GUIDE ADD'L LESION,975,"$1,586.00",19084,$117.92,"$1,868.00",$856.44,"$1,868.00","$1,506.70",$808.86,$117.92,"$1,506.70"
Surgery,3064425,Inj aa/strd ii ih nerves,361,"$1,500.00",64425,$307.00,"$1,425.00",$810.00,$307.00,"$1,425.00",$765.00,$951.89,"$1,425.00"
Physical Therapy,3950507,"PT CONTRAST BATH, EA 15MIN",420,$0.00,97034,$0.00,$30.00,$0.00,$30.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3257842,MEDELA STARTER NURSING SYSTEM,270,$24.00,,$0.00,$22.80,$12.96,$0.00,$22.80,$12.24,$16.80,$22.80
Laboratory,LAB0081  ,CBC MAN DIFF,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,343760,PF REPLACEMENT GASTROSTOMY TUBE,975,$592.00,43760,$0.00,$562.40,$319.68,$0.00,$562.40,$301.92,$414.40,$562.40
Respiratory Therapy,3900766,OXIMETRY AMBULATORY TITRATION,460,$0.00,94761,$0.00,$16.97,$0.00,$16.97,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800108,IBUPROFEN  100 MG/5 ML UD,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Treatment Room,3326104,TR EXTERNAL CEPHALIC VERSION,761,"$3,421.00",59412,$0.00,"$3,934.82","$1,847.34",$0.00,"$3,249.95","$1,744.71","$3,934.82","$3,249.95"
Laboratory,3558887,RL NORPSEUDOEPHEDRINE,300,$0.00,83789,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255954,WRIST SPLINT UNIVERSAL,270,$48.00,L3908   ,$0.00,$45.60,$25.92,$0.00,$45.60,$24.48,$33.60,$45.60
Laboratory,3559106,LB C. DIFFICILE TOXIN,300,$0.00,87324,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,325650,PF FRACTURE WRIST,982,"$2,118.00",25650,$480.17,"$2,012.10","$1,143.72","$1,440.00","$2,012.10","$1,080.18",$480.17,"$2,012.10"
Laboratory,3550874,LB VALLEY HOPE CMP,300,$95.00,80053,$0.00,$90.25,$51.30,$0.00,$90.25,$48.45,$0.00,$90.25
Laboratory,3558977,2-0H-3 METHYLVALETIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800774,INJ TRASTUZUMAB 440 MG PER 20 ML,636,$0.00,J9355   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800907,INJ LEXISCAN 0.4 MG PER 5 ML,636,$0.00,J2785   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255192,WRIST AND THUMB SPLINT UNIV,274,$39.00,L3807   ,$0.00,$37.05,$21.06,$0.00,$37.05,$19.89,$27.30,$37.05
Medical Clinic,99496,TRANS CARE MNGT 7 DAY DISCH,521,$0.00,99496,$0.00,$178.11,$0.00,$0.00,$0.00,$0.00,$178.11,$0.00
Purchasing,3253535,MARLEX MESH PERFIX PLUG M,278,$475.00,C1781   ,$0.00,$451.25,$256.50,$0.00,$451.25,$242.25,$332.50,$451.25
Laboratory,3550059,RL PESTICIDE TOX SCREEN,300,$189.00,80299,$0.00,$179.55,$102.06,$0.00,$179.55,$96.39,$0.00,$179.55
Emergency Dept Pro-Fees,364450,PERIPH NERVE BLOCK,981,$0.00,64450,$0.00,$851.00,$0.00,$851.00,$0.00,$0.00,$64.83,$0.00
Purchasing,3255324,ADMISSION KIT-DENTURES,270,$7.00,,$0.00,$6.65,$3.78,$0.00,$6.65,$3.57,$4.90,$6.65
Emergency Dept Pro-Fees,346260,"PF HEMORRHOIDECTOMY, INT/EXT > 2 COLUMNS",982,"$1,523.00",46260,$746.48,"$2,841.00",$822.42,"$2,841.00","$1,446.85",$776.73,$746.48,"$1,446.85"
Laboratory,3559069,RL LUPUS ANTICOAG HEX,300,$0.00,85598,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558758,RL FACTOR IX,300,$0.00,85250,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,320550,PF INJ TENDON SHEATH/LIGAMENT APONEUROSI,982,$171.00,20550,$59.35,$162.45,$92.34,$141.00,$162.45,$87.21,$59.35,$162.45
Laboratory,3551922,RL ACUTE HEPATITIS PROFILE,300,$391.00,80074,$0.00,$371.45,$211.14,$0.00,$371.45,$199.41,$0.00,$371.45
Pharmacy,4800984,INJ BENDAMUSTINE 25 MG PER 8 ML,636,$0.00,J9033   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3320693,OR ARTHROSCOPY KNEE LATERAL RELEASE,360,"$4,393.00",29873,"$2,240.43","$4,245.60","$2,372.22","$2,987.00","$4,173.35","$2,240.43","$4,245.60","$4,173.35"
Midwest Pain Solutions,2064451,Njx aa/strd nrv nrvtg si jt,761,"$3,750.00",64451,$539.76,"$3,562.50","$2,025.00",$539.76,"$3,562.50","$1,912.50",$951.89,"$3,562.50"
Medical Clinic,11055,"PARING/CUTTING CORN/CALLUS, SINGLE",521,$80.00,11055,$40.80,$269.33,$43.20,$234.00,$76.00,$40.80,$269.33,$76.00
Pharmacy,4800321,PO BISACODYL TAB 5 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800522,PO NYSTATIN TRIAM ACET CREAM,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,327842,PF REDUCTION DISCLOCATED ANK,982,"$1,569.00",27842,$770.08,"$1,490.55",$847.26,"$1,067.00","$1,490.55",$800.19,$770.08,"$1,490.55"
Laboratory,3559049,RL VITAMIN B6,300,$0.00,84207,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550702,LB WET PREP,300,$94.00,87210,$0.00,$89.30,$50.76,$0.00,$89.30,$47.94,$0.00,$89.30
Laboratory,3553590,IN HOUSE D-Dimer (Coagulation test),300,$149.00,85379,$0.00,$141.55,$80.46,$0.00,$141.55,$75.99,$0.00,$141.55
Medical Clinic,99205,OFFICE VISIT NEW PATIENT LEVEL 5,521,$0.00,99205,$0.00,$167.00,$0.00,$167.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,3360656,INJ IMITREX 6 MG,636,$231.00,J3030   ,$0.00,$219.45,$124.74,$0.00,$219.45,$117.81,$161.70,$219.45
Pharmacy,4800981,RACE EPINEPHRINE HCL INH 2.5 %,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3251926,WALKING BOOT XS,274,$169.00,L4360   ,$0.00,$160.55,$91.26,$0.00,$160.55,$86.19,$118.30,$160.55
Laboratory,3559154,PHENYLPROPIONYLGLYCINE CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3257596,KNEE BRACE HINGED MD,270,$83.00,L1820   ,$0.00,$78.85,$44.82,$0.00,$78.85,$42.33,$58.10,$78.85
Pharmacy,4801132,INJ ROCEPHIN 500 MG VL,636,$0.00,J0696   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3700086,IVP,320,$0.00,74400,$0.00,$476.56,$0.00,$476.56,$0.00,$0.00,$267.83,$0.00
Surgery,3150642,NJX AA&/STRD GR OCPL NRV,360,$400.00,64405,$204.00,$391.76,$216.00,$316.00,$380.00,$204.00,$391.76,$380.00
Emergency Dept Pro-Fees,364721,PF NEUROPLASTY MEDIAN NERV CARPAL TUNNEL,982,$0.00,64721,$0.00,"$1,608.00",$0.00,"$1,608.00",$0.00,$0.00,$677.04,$0.00
Laboratory,3551913,RL DNA PROBE,300,$236.00,88271,$0.00,$224.20,$127.44,$0.00,$224.20,$120.36,$0.00,$224.20
Surgery,3160019,OR RECOVERY ROOM FIRST HOUR,710,$430.00,,$0.00,$408.50,$232.20,$0.00,$408.50,$219.30,$301.00,$408.50
Emergency Dept Pro-Fees,323930,PF I & D ARM OR ELBOW,982,"$2,029.00",23930,$0.00,"$1,927.55","$1,095.66",$0.00,"$1,927.55","$1,034.79",$333.34,"$1,927.55"
Radiology,3700058,ISOTOPE MECKELS,343,$0.00,A9512   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3256421,TOURNIQUET DISP 30X4,270,$65.00,,$0.00,$61.75,$35.10,$0.00,$61.75,$33.15,$45.50,$61.75
Pharmacy,4800724,PO ATORVASTATIN CALCIUM TAB 10 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250400,I-GEL AIRWAY 4.0,270,$100.00,,$0.00,$95.00,$54.00,$0.00,$95.00,$51.00,$70.00,$95.00
Radiology,3701240,DEXA BONE DENSITY SCAN AXIAL,320,$0.00,77080,$0.00,$196.00,$0.00,$196.00,$0.00,$0.00,$163.46,$0.00
Purchasing,3257107,C-SECTION W/ IOBAN DRAPE,270,$79.80,,$0.00,$75.81,$43.09,$0.00,$75.81,$40.70,$55.86,$75.81
Laboratory,3558737,RL WHEAT (F4) IGE,300,$0.00,86003,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253684,TED HOSE THIGHHIGH SM.REG,270,$26.50,,$0.00,$25.18,$14.31,$0.00,$25.18,$13.52,$18.55,$25.18
Medical Clinic,99381,PREVENTIVE MED NEW PT < 1 Y/O,521,$0.00,99381,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252065,GELFOAM GELATIN SPONGE,270,$31.50,,$0.00,$29.93,$17.01,$0.00,$29.93,$16.07,$22.05,$29.93
Purchasing,3250370,CLAW II  PLATE TACK,270,$537.00,,$0.00,$510.15,$289.98,$0.00,$510.15,$273.87,$375.90,$510.15
Laboratory,3550068,LB OSMOLALITY SERUM,300,$106.00,83930,$0.00,$100.70,$57.24,$0.00,$100.70,$54.06,$0.00,$100.70
Pharmacy,4809998,NFD-NON FORMULARY DRUG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3259756,MOUTH RINSE,990,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550086,RL KETOSTEROIDS 24 HR URINE,300,$88.00,83586,$0.00,$83.60,$47.52,$0.00,$83.60,$44.88,$0.00,$83.60
Medical Clinic,11641,EXC MAL LESION FACE 0.6-1.0CM,521,$544.00,11641,$277.44,$932.96,$293.76,$651.00,$516.80,$277.44,$932.96,$516.80
Laboratory,3551443,LB MG (MAGNESIUM),300,$74.00,83735,$0.00,$70.30,$39.96,$0.00,$70.30,$37.74,$0.00,$70.30
Pharmacy,4801151,INJ METHYLPREDNISOLONE 80 MG PER ML,636,$0.00,J1030   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0103  ,RL THYROGLOBULIN QT,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800525,PO BETA CAROTENE TAB,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0104  ,RL HIV 1/2 AB DIFF,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550694,"RL T3, TOTAL",300,$75.00,84480,$0.00,$71.25,$40.50,$0.00,$71.25,$38.25,$0.00,$71.25
Laboratory,LAB0006  ,GTT 4,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252702,HEEL & ELBOW PROTECTOR PR,270,$23.00,E0191   ,$0.00,$21.85,$12.42,$0.00,$21.85,$11.73,$16.10,$21.85
Pharmacy,4800898,PO OXYBUTYNIN ER TAB 5 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3251480,CATH. TROCAR. 28 FR.,270,$48.00,,$0.00,$45.60,$25.92,$0.00,$45.60,$24.48,$33.60,$45.60
Medical Clinic,11104,PUNCH BIOPSY OF SINGLE LESION,521,$195.00,11104,$99.45,$633.00,$105.30,$633.00,$185.25,$99.45,$518.76,$185.25
Laboratory,3559045,RL AMPHETAMINES 5 OR MORE,300,$0.00,80326,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250937,O2/CO2 NASAL FILTERLINE ADULT,270,$30.50,,$0.00,$28.98,$16.47,$0.00,$28.98,$15.56,$21.35,$28.98
Laboratory,3550043,RL EPSTEIN BARR EA,300,$161.00,86663,$0.00,$152.95,$86.94,$0.00,$152.95,$82.11,$0.00,$152.95
Outpatient Clinic,3558074,OP PACEMAKER EVAL MULT,510,$0.00,93281,$0.00,$55.73,$0.00,$38.00,$0.00,$0.00,$55.73,$0.00
Laboratory,3559048,RL GENERAL TOX PANEL,300,$0.00,G0483   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3559026,"RL PROTEIN, TOTAL PERITONEAL FLUID",300,$0.00,84157,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4810014,OP ALBUTEROL 3MG INH,636,$0.00,J7620   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800006,ACETAMINOPHEN/CODIENE TAB 300/30 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Speech Therapy,4050128,ST MEMORY CURNT STAT,440,$0.00,G9168   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,3809964,REMDESIVIR  (veklury)100 MG VIAL,636,$0.00,J3490   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,25111,"EXCISION GANGLION, WRIST, PRIMARY",521,"$1,178.00",25111,$600.78,"$2,307.00",$636.12,"$2,307.00","$1,119.10",$600.78,"$2,088.53","$1,119.10"
Medical Clinic,65220,REMOVE FB CORNEA W/O SLIT LAMP,521,$0.00,65220,$0.00,$536.00,$0.00,$536.00,$0.00,$0.00,$405.33,$0.00
Laboratory,3558825,RL METHYLMELONIC ACID (MMA),300,$0.00,83921,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250062,ACAPELLA BLUE PEDIATRIC - HOSP TREATMENT,270,$141.00,E0484   ,$0.00,$133.95,$76.14,$0.00,$133.95,$71.91,$98.70,$133.95
Pharmacy,4800336,BETAMETHASONE DIPROPIONATE CREAM 0.05%,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
MRI,3700200,MRI T-SPINE W/O CONTRAST,610,$0.00,72146,$0.00,$521.00,$0.00,$521.00,$0.00,$0.00,$345.20,$0.00
Radiology,3700078,CYSTOGRAM MIN 3 VIEWS,320,$0.00,74430,$0.00,$552.18,$0.00,$345.00,$0.00,$0.00,$552.18,$0.00
Outpatient Clinic,3358069,OP FRACTURE PHALANX W/O MANIP,510,"$1,178.00",26720,$38.00,"$1,119.10",$636.12,$38.00,"$1,119.10",$600.78,$309.29,"$1,119.10"
Laboratory,LAB0044  ,17-KETOSTERIODS-24H,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3701318,INJECTION FOR HIP X-RAY,320,$0.00,27093,$0.00,$307.00,$0.00,$307.00,$0.00,$0.00,$0.00,$0.00
Chemo,3210012,CH DECLOT IMPLANTED VASCULAR DEVICE,260,$865.00,36593,$0.00,$821.75,$467.10,$0.00,$821.75,$441.15,$466.13,$821.75
Treatment Room,3326097,TR DEBRIDEMENT SUBQ FIRST 20 SQ CM,761,$444.00,11042,$226.44,$518.76,$239.76,$276.00,$421.80,$226.44,$518.76,$421.80
Pharmacy,4800666,PO CETIRIZINE HCL TAB 10 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3150616,ARTHRSCPY KNEE W/MENISCUS RPR MEDIA/LAT,360,"$4,699.00",29882,"$2,396.49","$4,553.00","$2,537.46","$4,553.00","$4,464.05","$2,396.49","$4,245.60","$4,464.05"
Radiology,3701304,CHEST - 3 VIEWS,324,$0.00,71047,$0.00,$155.40,$0.00,$155.40,$0.00,$0.00,$121.35,$0.00
Pharmacy,4801028,INJ BCG LIVE IRR 50 MG,636,$0.00,J9031   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801011,INJ SYNVISC ONE 48 MG PER 6 ML,636,$0.00,J7325   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252900,LAPAROTOMY PACK,270,$26.00,,$0.00,$24.70,$14.04,$0.00,$24.70,$13.26,$18.20,$24.70
Laboratory,3558908,RL SICKLE CELL SCREENING,300,$0.00,85660,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252693,HIP EASE,270,$121.00,,$0.00,$114.95,$65.34,$0.00,$114.95,$61.71,$84.70,$114.95
Nursing,3693245,EXT ECG >7D <15D REC SCAN A/R,731,$0.00,93245,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550643,LB SGOT,300,$48.00,84450,$0.00,$45.60,$25.92,$0.00,$45.60,$24.48,$0.00,$45.60
Emergency Room,3300331,ER IV PUSH EACH SEQUENTIAL NEW DRUG,450,$74.00,96375,$37.74,$70.30,$39.96,$43.00,$70.30,$37.74,$60.00,$70.30
Purchasing,3251431,FEMALE LL TRANSFER DEVICE,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Purchasing,3254608,GLOVE CHEMO MEDIUM,270,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,11311,SHAVING EPIDERMAL LESION FACE 0.6-1.0CM,521,$199.00,11311,$74.00,$269.33,$107.46,$74.00,$189.05,$101.49,$269.33,$189.05
Purchasing,3251604,CRUTCH PURCHASE - QUICK FIT 4'7 TO 6-7,270,$82.50,E0114   ,$0.00,$78.38,$44.55,$0.00,$78.38,$42.08,$57.75,$78.38
Laboratory,3552763,RL TC HISTO STAIN W/FROZEN,310,$335.00,88314,$0.00,$318.25,$180.90,$0.00,$318.25,$170.85,$0.00,$318.25
Purchasing,3250054,BI-PAP CIRCUIT,271,$19.00,,$0.00,$18.05,$10.26,$0.00,$18.05,$9.69,$13.30,$18.05
